“	``
gay	JJ
assembly	NN
.	.
and	CC
so	RB
forth	RB
and	CC
so	RB
on	RB
.	.
there	EX
was	VBD
a	DT
buzz	NN
of	IN
gratification	NN
from	IN
time	NN
to	IN
time	NN
during	IN
the	DT
reading	NN
,	,
accompanied	VBN
by	IN
whispered	VBN
ejaculations	NNS
of	IN
“	``
how	WRB
sweet	JJ
!	.
”	''
“	``
how	WRB
eloquent	JJ
!	.
”	''
“	``
so	RB
true	JJ
!	.
”	''
etc	FW
.	FW
,	,
and	CC
after	IN
the	DT
thing	NN
had	VBD
closed	VBN
with	IN
a	DT
peculiarly	RB
afflicting	VBG
sermon	NN
the	DT
applause	NN
was	VBD
enthusiastic	JJ
.	.
then	RB
arose	VBD
a	DT
slim	JJ
,	,
melancholy	JJ
girl	NN
,	,
whose	WP$
face	NN
had	VBD
the	DT
“	``
interesting	JJ
”	''
paleness	NN
that	WDT
comes	VBZ
of	IN
pills	NNS
and	CC
indigestion	NN
,	,
and	CC
read	VBD
a	DT
“	``
poem	NN
.	.
”	''
two	CD
stanzas	NNS
of	IN
it	PRP
will	MD
do	VB
“	``
a	DT
missouri	NNP
maiden	NN
's	POS
farewell	NN
to	IN
alabama	NNP
“	``
alabama	NNP
,	,
goodbye	UH
!	.
i	PRP
love	VBP
thee	PRP
well	RB
!	.
but	CC
yet	RB
for	IN
a	DT
while	NN
do	VBP
i	PRP
leave	VB
thee	PRP
now	RB
!	.
sad	JJ
,	,
yes	UH
,	,
sad	JJ
thoughts	NNS
of	IN
thee	PRP
my	PRP$
heart	NN
doth	MD
swell	VB
,	,
and	CC
burning	JJ
recollections	NNS
throng	VBP
my	PRP$
brow	NN
!	.
for	IN
i	PRP
have	VBP
wandered	VBN
through	IN
thy	PRP$
flowery	JJ
woods	NNS
;	:
have	VBP
roamed	VBN
and	CC
read	VBN
near	IN
tallapoosa	NNP
's	POS
stream	NN
;	:
have	VBP
listened	VBN
to	IN
tallassee	NNP
's	POS
warring	VBG
floods	NNS
,	,
and	CC
wooed	VBD
on	IN
coosa	NNP
's	POS
side	NN
aurora	NNP
's	POS
beam	NN
.	.
“	``
yet	CC
shame	VB
i	PRP
not	RB
to	TO
bear	VB
an	DT
o'erfull	JJ
heart	NN
,	,
nor	CC
blush	VB
to	TO
turn	VB
behind	IN
my	PRP$
tearful	JJ
eyes	NNS
;	:
'	``
tis	VBZ
from	IN
no	DT
stranger	NN
land	NN
i	PRP
now	RB
must	MD
part	VB
,	,
'	IN
tis	VBZ
to	IN
no	DT
strangers	NNS
left	VBN
i	PRP
yield	VBP
these	DT
sighs	NNS
.	.
welcome	JJ
and	CC
home	NN
were	VBD
mine	PRP
within	IN
this	DT
state	NN
,	,
whose	WP$
vales	NNS
i	PRP
leave	VBP
whose	WP$
spires	NNS
fade	VBP
fast	RB
from	IN
me	PRP
and	CC
cold	JJ
must	MD
be	VB
mine	PRP$
eyes	NNS
,	,
and	CC
heart	NN
,	,
and	CC
tete	NNP
,	,
when	WRB
,	,
dear	JJ
alabama	NNP
!	.
they	PRP
turn	VBP
cold	JJ
on	IN
thee	PRP
!	.
”	''
there	EX
were	VBD
very	RB
few	JJ
there	RB
who	WP
knew	VBD
what	WP
“	``
tete	NNP
”	''
meant	VBD
,	,
but	CC
the	DT
poem	NN
was	VBD
very	RB
satisfactory	JJ
,	,
nevertheless	RB
.	.
next	RB
appeared	VBD
a	DT
dark	JJ
-	HYPH
complexioned	JJ
,	,
black	JJ
-	HYPH
eyed	JJ
,	,
black	JJ
-	HYPH
haired	JJ
young	JJ
lady	NN
,	,
who	WP
paused	VBD
an	DT
impressive	JJ
moment	NN
,	,
assumed	VBD
a	DT
tragic	JJ
expression	NN
,	,
and	CC
began	VBD
to	TO
read	VB
in	IN
a	DT
measured	JJ
,	,
solemn	JJ
tone	NN
“	``
a	DT
vision	NN
“	``
dark	JJ
and	CC
tempestuous	JJ
was	VBD
night	NN
.	.
around	IN
the	DT
throne	NN
on	IN
high	JJ
not	RB
a	DT
single	JJ
star	NN
quivered	VBD
;	:
but	CC
the	DT
deep	JJ
intonations	NNS
of	IN
the	DT
heavy	JJ
thunder	NN
constantly	RB
vibrated	VBD
upon	IN
the	DT
ear	NN
;	:
whilst	IN
the	DT
terrific	JJ
lightning	NN
revelled	VBD
in	IN
angry	JJ
mood	NN
through	IN
the	DT
cloudy	JJ
chambers	NNS
of	IN
heaven	NNP
,	,
seeming	VBG
to	TO
scorn	VB
the	DT
power	NN
exerted	VBN
over	IN
its	PRP$
terror	NN
by	IN
the	DT
illustrious	JJ
franklin	NNP
!	.
even	RB
the	DT
boisterous	JJ
winds	NNS
unanimously	RB
came	VBD
forth	RB
from	IN
their	PRP$
mystic	JJ
homes	NNS
,	,
and	CC
blustered	VBD
about	RB
as	IN
if	IN
to	TO
enhance	VB
by	IN
their	PRP$
aid	NN
the	DT
wildness	NN
of	IN
the	DT
scene	NN
.	.
“	``
at	IN
such	PDT
a	DT
time	NN
,	,
so	RB
dark	JJ
,	,
so	RB
dreary	JJ
,	,
for	IN
human	JJ
sympathy	NN
my	PRP$
very	JJ
spirit	NN
sighed	VBD
;	:
but	CC
instead	RB
thereof	RB
,	,
this	DT
nightmare	NN
occupied	VBD
some	DT
ten	CD
pages	NNS
of	IN
manuscript	NN
and	CC
wound	VBD
up	RP
with	IN
a	DT
sermon	NN
so	RB
destructive	JJ
of	IN
all	DT
hope	NN
to	IN
non	NNS
-	NNS
presbyterians	NNS
that	IN
it	PRP
took	VBD
the	DT
first	JJ
prize	NN
.	.
this	DT
composition	NN
was	VBD
considered	VBN
to	TO
be	VB
the	DT
very	RB
finest	JJS
effort	NN
of	IN
the	DT
evening	NN
.	.
the	DT
mayor	NN
of	IN
the	DT
village	NN
,	,
in	IN
delivering	VBG
the	DT
prize	NN
to	IN
the	DT
author	NN
of	IN
it	PRP
,	,
made	VBD
a	DT
warm	JJ
speech	NN
in	IN
which	WDT
he	PRP
said	VBD
that	IN
it	PRP
was	VBD
by	IN
far	RB
the	DT
most	RBS
“	``
eloquent	JJ
”	''
thing	NN
he	PRP
had	VBD
ever	RB
listened	VBN
to	IN
,	,
and	CC
that	IN
daniel	NNP
webster	NNP
himself	PRP
might	MD
well	RB
be	VB
proud	JJ
of	IN
it	PRP
.	.
it	PRP
may	MD
be	VB
remarked	VBN
,	,
in	IN
passing	NN
,	,
that	IN
the	DT
number	NN
of	IN
compositions	NNS
in	IN
which	WDT
the	DT
word	NN
“	``
beauteous	JJ
”	''
was	VBD
over	RB
-	HYPH
fondled	VBN
,	,
and	CC
human	JJ
experience	NN
referred	VBD
to	IN
as	IN
“	``
life	NN
's	POS
page	NN
,	,
”	''
was	VBD
up	RB
to	IN
the	DT
usual	JJ
average	NN
.	.
that	DT
broke	VBD
up	RP
the	DT
meeting	NN
.	.
the	DT
boys	NNS
were	VBD
avenged	VBN
.	.
vacation	NN
had	VBD
come	VBN
.	.
note	VB
the	DT
pretended	JJ
“	``
compositions	NNS
”	''
quoted	VBN
in	IN
this	DT
chapter	NN
are	VBP
taken	VBN
without	IN
alteration	NN
from	IN
a	DT
volume	NN
entitled	VBN
“	``
prose	NN
and	CC
poetry	NN
,	,
by	IN
a	DT
western	JJ
lady	NN
”	''
but	CC
they	PRP
are	VBP
exactly	RB
and	CC
precisely	RB
after	IN
the	DT
schoolgirl	NN
pattern	NN
,	,
and	CC
hence	RB
are	VBP
much	RB
happier	JJR
than	IN
any	DT
mere	JJ
imitations	NNS
could	MD
be	VB
.	.
chapter	NN
xxii	CD
during	IN
three	CD
days	NNS
tom	NNP
was	VBD
deeply	RB
concerned	JJ
about	IN
the	DT
judge	NN
's	POS
condition	NN
and	CC
hungry	JJ
for	IN
news	NN
of	IN
it	PRP
.	.
sometimes	RB
his	PRP$
hopes	NNS
ran	VBD
high	JJ
so	RB
high	RB
that	IN
he	PRP
would	MD
venture	VB
to	TO
get	VB
out	RP
his	PRP$
regalia	NN
and	CC
practise	VB
before	IN
the	DT
looking	NN
-	HYPH
glass	NN
.	.
but	CC
the	DT
judge	NN
had	VBD
a	DT
most	RBS
discouraging	JJ
way	NN
of	IN
fluctuating	VBG
.	.
at	IN
last	RB
he	PRP
was	VBD
pronounced	VBN
upon	IN
the	DT
mend	NN
and	CC
then	RB
convalescent	JJ
.	.
tom	NNP
was	VBD
disgusted	VBN
;	:
and	CC
felt	VBD
a	DT
sense	NN
of	IN
injury	NN
,	,
too	RB
.	.
he	PRP
handed	VBD
in	RP
his	PRP$
resignation	NN
at	IN
once	RB
and	CC
that	DT
night	NN
the	DT
judge	NN
suffered	VBD
a	DT
relapse	NN
and	CC
died	VBD
.	.
tom	NNP
resolved	VBD
that	IN
he	PRP
would	MD
never	RB
trust	VB
a	DT
man	NN
like	IN
that	DT
again	RB
.	.
the	DT
funeral	NN
was	VBD
a	DT
fine	JJ
thing	NN
.	.
the	DT
cadets	NNS
paraded	VBD
in	IN
a	DT
style	NN
calculated	VBN
to	TO
kill	VB
the	DT
late	JJ
member	NN
with	IN
envy	NN
.	.
tom	NNP
was	VBD
a	DT
free	JJ
boy	NN
again	RB
,	,
however	RB
there	EX
was	VBD
something	NN
in	IN
that	DT
.	.
he	PRP
could	MD
drink	VB
and	CC
swear	VB
,	,
now	RB
but	CC
found	VBD
to	IN
his	PRP$
surprise	NN
that	IN
he	PRP
did	VBD
not	RB
want	VB
to	TO
.	.
the	DT
simple	JJ
fact	NN
that	IN
he	PRP
could	MD
,	,
took	VBD
the	DT
desire	NN
away	RB
,	,
and	CC
the	DT
charm	NN
of	IN
it	PRP
.	.
tom	NNP
presently	RB
wondered	VBD
to	TO
find	VB
that	IN
his	PRP$
coveted	VBN
vacation	NN
was	VBD
beginning	VBG
to	TO
hang	VB
a	DT
little	JJ
heavily	RB
on	IN
his	PRP$
hands	NNS
.	.
he	PRP
attempted	VBD
a	DT
diary	NN
but	CC
nothing	NN
happened	VBD
during	IN
three	CD
days	NNS
,	,
and	CC
so	RB
he	PRP
abandoned	VBD
it	PRP
.	.
the	DT
first	JJ
of	IN
all	PDT
the	DT
negro	JJ
minstrel	NN
shows	NNS
came	VBD
to	IN
town	NN
,	,
and	CC
made	VBD
a	DT
sensation	NN
.	.
tom	NNP
and	CC
joe	NNP
harper	NNP
got	VBD
up	RP
a	DT
band	NN
of	IN
performers	NNS
and	CC
were	VBD
happy	JJ
for	IN
two	CD
days	NNS
.	.
