"	``
let	VB
me	PRP
go	VB
!	.
tu'n	VBP
me	PRP
loose	JJ
,	,
yo	PRP
'	VBG
!	.
"	''
her	PRP$
head	NN
,	,
not	RB
looking	VBG
at	IN
him	PRP
.	.
"	``
yo	PRP
'	VBP
ain	VBP
'	VB
grievin	VBG
'	TO
foh	VBG
yo	PRP
'	''
ma	NN
?	.
"	''
again	RB
she	PRP
shook	VBD
her	PRP$
head	NN
.	.
"	``
because	IN
,	,
"	''
said	VBD
gideon	NNP
,	,
smiling	VBG
down	RP
at	IN
her	PRP
,	,
"	``
i	PRP
ain	VBP
'	RB
got	VBN
no	DT
beeg	NN
club	NN
like	IN
she	PRP
has	VBZ
.	.
"	''
a	DT
soft	JJ
and	CC
smothered	VBN
giggle	NN
answered	VBD
him	PRP
,	,
and	CC
this	DT
time	NN
vashti	NNP
looked	VBD
up	RP
and	CC
laid	VBD
her	PRP$
head	NN
against	IN
him	PRP
with	IN
a	DT
small	JJ
sigh	NN
of	IN
contentment	NN
.	.
gideon	NNP
felt	VBD
very	RB
tender	JJ
,	,
very	RB
important	JJ
,	,
at	IN
peace	NN
with	IN
himself	PRP
and	CC
all	PDT
the	DT
world	NN
.	.
he	PRP
rounded	VBD
a	DT
jutting	VBG
point	NN
,	,
and	CC
stretched	VBD
out	RP
a	DT
black	JJ
hand	NN
,	,
pointing	VBG
.	.
hindu	NNP
tales	NNS
from	IN
the	DT
sanskrit	NNP
the	DT
magic	JJ
pitcher	NN
.	.
1	LS
.	.
what	WP
do	VBP
you	PRP
think	VB
had	VBD
become	VBN
of	IN
subha	NNP
datta	NNP
?	.
2	LS
.	.
what	WP
would	MD
you	PRP
have	VB
done	VBN
when	WRB
he	PRP
did	VBD
not	RB
come	VB
back	RB
?	.
the	DT
woodcutter	NN
could	MD
not	RB
say	VB
a	DT
word	NN
,	,
but	CC
just	RB
gazed	VBD
and	CC
gazed	VBD
at	IN
them	PRP
,	,
till	IN
one	CD
of	IN
them	PRP
said	VBD
to	IN
him	PRP
"	``
who	WP
are	VBP
you	PRP
,	,
and	CC
what	WP
are	VBP
you	PRP
doing	VBG
in	IN
the	DT
very	JJ
depths	NNS
of	IN
the	DT
forest	NN
where	WRB
we	PRP
have	VBP
never	RB
before	RB
seen	VBN
a	DT
man	NN
?	.
"	''
"	``
i	PRP
am	VBP
only	RB
a	DT
poor	JJ
woodcutter	NN
,	,
"	''
he	PRP
replied	VBD
,	,
"	``
come	VB
to	TO
get	VB
some	DT
wood	NN
to	TO
sell	VB
,	,
so	IN
as	IN
to	TO
give	VB
my	PRP$
wife	NN
and	CC
children	NNS
something	NN
to	TO
eat	VB
and	CC
some	DT
clothes	NNS
to	TO
wear	VB
.	.
"	''
"	``
that	DT
is	VBZ
a	DT
very	RB
stupid	JJ
thing	NN
to	TO
do	VB
,	,
"	''
said	VBD
one	CD
of	IN
the	DT
girls	NNS
.	.
"	``
you	PRP
ca	MD
n't	RB
get	VB
much	JJ
money	NN
that	DT
way	NN
.	.
if	IN
you	PRP
will	MD
only	RB
stop	VB
with	IN
us	PRP
we	PRP
will	MD
have	VB
your	PRP$
wife	NN
and	CC
children	NNS
looked	VBD
after	RP
for	IN
you	PRP
much	RB
better	RBR
than	IN
you	PRP
can	MD
do	VB
it	PRP
yourself	PRP
.	.
"	''
3	LS
.	.
what	WP
would	MD
you	PRP
have	VB
said	VBN
if	IN
you	PRP
had	VBD
been	VBN
the	DT
woodcutter	NN
?	.
4	LS
.	.
do	VBP
you	PRP
think	VB
the	DT
fairies	NNS
really	RB
meant	VBD
that	IN
they	PRP
could	MD
do	VB
as	IN
they	PRP
offered	VBD
?	.
subha	NNP
datta	NNP
,	,
though	IN
he	PRP
certainly	RB
did	VBD
love	VB
his	PRP$
wife	NN
and	CC
children	NNS
,	,
was	VBD
so	RB
tempted	VBN
at	IN
the	DT
idea	NN
of	IN
stopping	VBG
in	IN
the	DT
forest	NN
with	IN
the	DT
beautiful	JJ
girls	NNS
that	IN
,	,
after	IN
hesitating	VBG
a	DT
little	JJ
while	NN
,	,
he	PRP
said	VBD
,	,
"	``
yes	UH
,	,
i	PRP
will	MD
stop	VB
with	IN
you	PRP
,	,
if	IN
you	PRP
are	VBP
quite	RB
sure	JJ
all	DT
will	MD
be	VB
well	RB
with	IN
my	PRP$
dear	JJ
ones	NNS
.	.
"	''
"	``
you	PRP
need	MD
not	RB
be	VB
afraid	JJ
about	IN
that	DT
,	,
"	''
said	VBD
another	DT
of	IN
the	DT
girls	NNS
.	.
"	``
we	PRP
are	VBP
fairies	NNS
,	,
you	PRP
see	VBP
,	,
and	CC
we	PRP
can	MD
do	VB
all	DT
sorts	NNS
of	IN
wonderful	JJ
things	NNS
.	.
it	PRP
is	VBZ
not	RB
even	RB
necessary	JJ
for	IN
us	PRP
to	TO
go	VB
where	WRB
your	PRP$
dear	JJ
ones	NNS
are	VBP
.	.
we	PRP
shall	MD
just	RB
wish	VB
them	PRP
everything	NN
they	PRP
want	VBP
,	,
and	CC
they	PRP
will	MD
get	VB
it	PRP
.	.
and	CC
the	DT
first	JJ
thing	NN
to	TO
be	VB
done	VBN
is	VBZ
to	TO
give	VB
you	PRP
some	DT
food	NN
.	.
you	PRP
must	MD
work	VB
for	IN
us	PRP
in	IN
return	NN
,	,
of	IN
course	NN
.	.
"	``
subha	NNP
datta	NNP
at	IN
once	RB
replied	VBD
,	,
"	``
i	PRP
will	MD
do	VB
anything	NN
you	PRP
wish	VBP
.	.
"	''
"	``
well	UH
,	,
begin	VB
by	IN
sweeping	VBG
away	RB
all	PDT
the	DT
dead	JJ
leaves	NNS
from	IN
the	DT
clearing	NN
,	,
and	CC
then	RB
we	PRP
will	MD
all	RB
sit	VB
down	RP
and	CC
eat	VB
together	RB
.	.
"	''
subha	NNP
datta	NNP
was	VBD
very	RB
glad	JJ
that	IN
what	WP
he	PRP
was	VBD
asked	VBN
to	TO
do	VB
was	VBD
so	RB
easy	JJ
.	.
he	PRP
began	VBD
by	IN
cutting	VBG
a	DT
branch	NN
from	IN
a	DT
tree	NN
,	,
and	CC
with	IN
it	PRP
he	PRP
swept	VBD
the	DT
floor	NN
of	IN
what	WP
was	VBD
to	TO
be	VB
the	DT
dining	NN
-	HYPH
room	NN
.	.
then	RB
he	PRP
looked	VBD
about	RB
for	IN
the	DT
food	NN
,	,
but	CC
he	PRP
could	MD
see	VB
nothing	NN
but	IN
a	DT
great	JJ
big	JJ
pitcher	NN
standing	VBG
in	IN
the	DT
shade	NN
of	IN
a	DT
tree	NN
,	,
the	DT
branches	NNS
of	IN
which	WDT
hung	VBD
over	IN
the	DT
clearing	NN
.	.
so	RB
he	PRP
said	VBD
to	IN
one	CD
of	IN
the	DT
fairies	NNS
,	,
"	``
will	MD
you	PRP
show	VB
me	PRP
where	WRB
the	DT
food	NN
is	VBZ
,	,
and	CC
exactly	RB
where	WRB
you	PRP
would	MD
like	VB
me	PRP
to	TO
set	VB
it	PRP
out	RP
?	.
"	''
at	IN
these	DT
questions	NNS
all	PDT
the	DT
fairies	NNS
began	VBD
to	TO
laugh	VB
,	,
and	CC
the	DT
sound	NN
of	IN
their	PRP$
laughter	NN
was	VBD
like	IN
the	DT
tinkling	NN
of	IN
a	DT
number	NN
of	IN
bells	NNS
.	.
5	CD
.	.
what	WP
was	VBD
there	EX
to	TO
laugh	VB
at	IN
in	IN
the	DT
questions	NNS
of	IN
subha	NNP
datta	NNP
?	.
6	LS
.	.
what	WP
is	VBZ
your	PRP$
idea	NN
of	IN
a	DT
fairy	NN
?	.
when	WRB
the	DT
fairies	NNS
saw	VBD
how	WRB
astonished	JJ
subha	NNP
datta	NNP
was	VBD
at	IN
the	DT
way	NN
they	PRP
laughed	VBD
,	,
it	PRP
made	VBD
them	PRP
laugh	VB
still	RB
more	RBR
,	,
and	CC
they	PRP
seized	VBD
each	DT
other	JJ
's	POS
hands	NNS
again	RB
and	CC
whirled	VBD
round	RB
and	CC
round	RB
,	,
laughing	VBG
all	PDT
the	DT
time	NN
.	.
poor	JJ
subha	NNP
datta	NNP
,	,
who	WP
was	VBD
very	RB
tired	JJ
and	CC
hungry	JJ
,	,
began	VBD
to	TO
get	VB
unhappy	JJ
and	CC
to	TO
wish	VB
he	PRP
had	VBD
gone	VBN
straight	RB
home	RB
after	RB
all	RB
.	.
he	PRP
stooped	VBD
down	RP
to	TO
pick	VB
up	RP
his	PRP$
axe	NN
,	,
and	CC
was	VBD
just	RB
about	JJ
to	TO
turn	VB
away	RB
with	IN
it	PRP
,	,
when	WRB
the	DT
fairies	NNS
stopped	VBD
their	PRP$
mad	JJ
whirl	NN
and	CC
cried	VBD
to	IN
him	PRP
to	TO
stop	VB
.	.
so	RB
he	PRP
waited	VBD
,	,
and	CC
one	CD
of	IN
them	PRP
said	VBD
"	``
we	PRP
do	VBP
n't	RB
have	VB
to	TO
bother	VB
about	IN
fetching	VBG
this	DT
and	CC
fetching	VBG
that	DT
.	.
you	PRP
see	VBP
that	DT
big	JJ
pitcher	NN
.	.
well	UH
,	,
we	PRP
get	VBP
all	DT
our	PRP$
food	NN
and	CC
everything	NN
else	RB
we	PRP
want	VBP
out	IN
of	IN
it	PRP
.	.
we	PRP
just	RB
have	VBP
to	TO
wish	VB
as	IN
we	PRP
put	VBP
our	PRP$
hands	NNS
in	IN
,	,
and	CC
there	RB
it	PRP
is	VBZ
.	.
it	PRP
's	VBZ
a	DT
magic	JJ
pitcher	NN
the	DT
only	JJ
one	NN
there	EX
is	VBZ
in	IN
the	DT
whole	JJ
wide	JJ
world	NN
.	.
you	PRP
get	VBP
the	DT
food	NN
you	PRP
would	MD
like	VB
to	TO
have	VB
first	RB
,	,
and	CC
then	RB
wewill	PRP
tell	VB
you	PRP
what	WP
we	PRP
want	VBP
.	.
"	''
subha	NNP
datta	NNP
could	MD
hardly	RB
believe	VB
his	PRP$
ears	NNS
when	WRB
he	PRP
heard	VBD
that	DT
.	.
down	RB
he	PRP
threw	VBD
his	PRP$
axe	NN
,	,
and	CC
hastened	VBD
to	TO
put	VB
his	PRP$
hand	NN
in	IN
the	DT
pitcher	NN
,	,
wishing	VBG
for	IN
the	DT
food	NN
he	PRP
was	VBD
used	VBN
to	IN
.	.
he	PRP
loved	VBD
curried	VBN
rice	NN
and	CC
milk	NN
,	,
lentils	NNS
,	,
fruit	NN
and	CC
vegetables	NNS
,	,
and	CC
very	RB
soon	RB
he	PRP
had	VBD
a	DT
beautiful	JJ
meal	NN
spread	VBN
out	RP
for	IN
himself	PRP
on	IN
the	DT
ground	NN
.	.
then	RB
the	DT
fairies	NNS
called	VBD
out	RP
,	,
one	CD
after	IN
the	DT
other	JJ
,	,
what	WP
they	PRP
wanted	VBD
for	IN
food	NN
,	,
things	NNS
the	DT
woodcutter	NN
had	VBD
never	RB
heard	VBN
of	IN
or	CC
seen	VBN
,	,
which	WDT
made	VBD
him	PRP
quite	RB
discontented	JJ
with	IN
what	WP
he	PRP
had	VBD
chosen	VBN
for	IN
himself	PRP
.	.
7	LS
.	.
what	WP
would	MD
you	PRP
have	VB
wished	VBN
for	IN
if	IN
you	PRP
had	VBD
had	VBN
a	DT
magic	JJ
pitcher	NN
?	.
8	LS
.	.
would	MD
it	PRP
be	VB
a	DT
good	JJ
thing	NN
,	,
do	VBP
you	PRP
think	VB
,	,
to	TO
be	VB
able	JJ
to	TO
get	VB
food	NN
without	IN
working	VBG
for	IN
it	PRP
or	CC
paying	VBG
for	IN
it	PRP
?	.
9	LS
.	.
what	WP
sort	NN
of	IN
man	NN
do	VBP
you	PRP
think	VB
subha	NNP
datta	NNP
was	VBD
from	IN
what	WP
this	DT
story	NN
tells	VBZ
you	PRP
about	IN
him	PRP
?	.
10	LS
.	.
what	WP
do	VBP
you	PRP
think	VB
was	VBD
the	DT
chief	JJ
cause	NN
of	IN
his	PRP$
becoming	VBG
discontented	JJ
after	IN
he	PRP
had	VBD
been	VBN
in	IN
the	DT
service	NN
of	IN
the	DT
fairies	NNS
for	IN
a	DT
few	JJ
days	NNS
?	.
then	RB
subha	NNP
datta	NNP
was	VBD
very	RB
much	RB
frightened	JJ
lest	IN
they	PRP
should	MD
really	RB
send	VB
him	PRP
away	RB
;	:
so	RB
he	PRP
told	VBD
them	PRP
about	IN
his	PRP$
dream	NN
and	CC
that	IN
he	PRP
was	VBD
afraid	JJ
his	PRP$
dear	JJ
ones	NNS
were	VBD
starving	VBG
for	IN
want	NN
of	IN
the	DT
money	NN
lie	PRP
used	VBD
to	TO
earn	VB
for	IN
them	PRP
.	.
"	``
do	VBP
n't	RB
worry	VB
about	IN
them	PRP
,	,
"	''
was	VBD
the	DT
reply	NN
"	``
we	PRP
will	MD
let	VB
your	PRP$
wife	NN
know	VB
what	WP
keeps	VBZ
you	PRP
away	RB
.	.
we	PRP
will	MD
whisper	VB
in	IN
her	PRP$
ear	NN
when	WRB
she	PRP
is	VBZ
asleep	JJ
,	,
and	CC
she	PRP
will	MD
be	VB
so	RB
glad	JJ
to	TO
think	VB
of	IN
your	PRP$
happiness	NN
that	IN
she	PRP
will	MD
forget	VB
her	PRP$
own	JJ
troubles	NNS
.	.
"	''
11	LS
.	.
do	VBP
you	PRP
think	VB
what	WP
the	DT
fairies	NNS
said	VBD
to	IN
the	DT
woodcutter	NN
was	VBD
likely	JJ
to	TO
comfort	VB
him	PRP
about	IN
his	PRP$
wife	NN
and	CC
children	NNS
?	.
12	LS
.	.
if	IN
you	PRP
had	VBD
been	VBN
in	IN
subha	NNP
datta	NNP
's	POS
place	NN
what	WP
would	MD
you	PRP
have	VB
said	VBN
to	IN
the	DT
fairies	NNS
when	WRB
they	PRP
made	VBD
this	DT
promise	NN
?	.
subha	NNP
datta	NNP
was	VBD
very	RB
much	RB
cheered	VBN
by	IN
the	DT
sympathy	NN
of	IN
the	DT
fairies	NNS
,	,
so	RB
much	RB
so	RB
that	IN
he	PRP
decided	VBD
to	TO
stop	VB
with	IN
them	PRP
for	IN
a	DT
little	JJ
longer	JJR
at	IN
least	JJS
.	.
now	RB
and	CC
then	RB
he	PRP
felt	VBD
restless	JJ
,	,
but	CC
on	IN
the	DT
whole	NN
the	DT
time	NN
passed	VBD
pleasantly	RB
,	,
and	CC
the	DT
pitcher	NN
was	VBD
a	DT
daily	JJ
delight	NN
to	IN
him	PRP
.	.
13	CD
.	.
was	VBD
it	PRP
a	DT
good	JJ
or	CC
a	DT
bad	JJ
thing	NN
for	IN
the	DT
boys	NNS
that	IN
their	PRP$
father	NN
did	VBD
not	RB
come	VB
back	RB
?	.
14	CD
.	.
if	IN
you	PRP
think	VBP
it	PRP
was	VBD
a	DT
good	JJ
thing	NN
,	,
will	MD
you	PRP
explain	VB
why	WRB
?	.
and	CC
if	IN
it	PRP
was	VBD
a	DT
bad	JJ
thing	NN
,	,
why	WRB
you	PRP
think	VBP
it	PRP
was	VBD
?	.
the	DT
fairies	NNS
saw	VBD
he	PRP
was	VBD
really	RB
in	IN
earnest	NN
this	DT
time	NN
,	,
so	RB
they	PRP
consented	VBD
to	TO
let	VB
him	PRP
go	VB
;	:
but	CC
they	PRP
were	VBD
kind	JJ
-	HYPH
hearted	JJ
people	NNS
and	CC
felt	VBD
they	PRP
ought	MD
to	TO
pay	VB
him	PRP
in	IN
some	DT
way	NN
for	IN
all	DT
he	PRP
had	VBD
done	VBN
for	IN
them	PRP
.	.
they	PRP
consulted	VBD
together	RB
,	,
and	CC
then	RB
one	CD
of	IN
them	PRP
told	VBD
him	PRP
they	PRP
wished	VBD
to	TO
make	VB
him	PRP
a	DT
present	NN
before	IN
he	PRP
went	VBD
away	RB
,	,
and	CC
they	PRP
would	MD
give	VB
him	PRP
whatever	WP
he	PRP
asked	VBD
for	IN
.	.
15	CD
.	.
what	WP
do	VBP
you	PRP
think	VB
it	PRP
was	VBD
that	WDT
made	VBD
subha	NNP
datta	NNP
determine	VB
to	TO
go	VB
home	RB
when	WRB
he	PRP
found	VBD
his	PRP$
wife	NN
and	CC
children	NNS
could	MD
do	VB
without	IN
him	PRP
?	.
16	LS
.	.
what	WP
would	MD
you	PRP
have	VB
chosen	VBN
if	IN
the	DT
fairies	NNS
had	VBD
told	VBN
you	PRP
you	PRP
could	MD
have	VB
anything	NN
you	PRP
liked	VBD
?	.
directly	RB
the	DT
woodcutter	NN
heard	VBD
he	PRP
could	MD
have	VB
anything	NN
he	PRP
asked	VBD
for	IN
,	,
he	PRP
cried	VBD
,	,
"	``
i	PRP
will	MD
have	VB
the	DT
magic	JJ
pitcher	NN
.	.
"	''
17	LS
.	.
would	MD
you	PRP
have	VB
been	VBN
tempted	VBN
to	TO
give	VB
up	RP
the	DT
pitcher	NN
when	WRB
you	PRP
saw	VBD
the	DT
jewels	NNS
and	CC
the	DT
robes	NNS
?	.
18	LS
.	.
what	WP
made	VBD
subha	NNP
datta	NNP
so	RB
determined	JJ
to	TO
have	VB
the	DT
pitcher	NN
?	.
even	RB
when	WRB
they	PRP
were	VBD
all	DT
back	RB
again	RB
in	IN
the	DT
clearing	NN
the	DT
fairies	NNS
did	VBD
not	RB
quite	RB
give	VB
up	RP
hope	NN
of	IN
keeping	VBG
their	PRP$
pitcher	NN
.	.
this	DT
time	NN
they	PRP
gave	VBD
other	JJ
reasons	NNS
why	WRB
subha	NNP
datta	NNP
should	MD
not	RB
have	VB
it	PRP
.	.
"	``
it	PRP
will	MD
break	VB
very	RB
easily	RB
,	,
"	''
they	PRP
told	VBD
him	PRP
,	,
"	``
and	CC
then	RB
it	PRP
will	MD
be	VB
no	DT
good	NN
to	IN
you	PRP
or	CC
any	DT
one	NN
else	RB
.	.
but	CC
if	IN
you	PRP
take	VBP
some	DT
of	IN
the	DT
money	NN
,	,
you	PRP
can	MD
buy	VB
anything	NN
you	PRP
like	VBP
with	IN
it	PRP
.	.
if	IN
you	PRP
take	VBP
some	DT
of	IN
the	DT
jewels	NNS
you	PRP
can	MD
sell	VB
them	PRP
for	IN
lots	NNS
of	IN
money	NN
.	.
"	``
"	``
no	UH
!	.
no	UH
!	.
no	UH
!	.
"	''
cried	VBD
the	DT
woodcutter	NN
.	.
"	``
the	DT
pitcher	NN
!	.
the	DT
pitcher	NN
!	.
i	PRP
will	MD
have	VB
the	DT
pitcher	NN
!	.
"	''
"	``
very	RB
well	RB
then	RB
,	,
take	VB
,	,
the	DT
pitcher	NN
,	,
"	''
they	PRP
sadly	RB
answered	VBD
,	,
"	``
and	CC
never	RB
let	VB
us	PRP
see	VB
your	PRP$
face	NN
again	RB
!	.
"	''
so	RB
they	PRP
all	DT
left	VBD
off	RP
crying	VBG
and	CC
went	VBD
away	RB
hand	NN
in	IN
hand	NN
.	.
fairies	NNS
do	VBP
not	RB
want	VB
very	RB
much	JJ
to	TO
eat	VB
.	.
they	PRP
can	MD
live	VB
on	IN
fruit	NN
and	CC
dew	NN
,	,
and	CC
they	PRP
never	RB
let	VB
anything	NN
make	VB
them	PRP
sad	JJ
for	IN
long	RB
at	IN
a	DT
time	NN
.	.
they	PRP
go	VBP
out	IN
of	IN
this	DT
story	NN
now	RB
,	,
but	CC
you	PRP
need	MD
not	RB
be	VB
unhappy	JJ
about	IN
them	PRP
,	,
because	IN
you	PRP
may	MD
be	VB
very	RB
sure	JJ
that	IN
they	PRP
got	VBD
no	DT
real	JJ
harm	NN
from	IN
their	PRP$
generosity	NN
to	IN
subha	NNP
datta	NNP
in	IN
letting	VBG
him	PRP
take	VB
the	DT
pitcher	NN
.	.
19	CD
.	.
do	VBP
you	PRP
think	VB
the	DT
woodcutter	NN
was	VBD
wrong	JJ
to	TO
ask	VB
for	IN
the	DT
pitcher	NN
?	.
20	LS
.	.
what	WP
would	MD
have	VB
been	VBN
the	DT
best	JJS
thing	NN
for	IN
subha	NNP
datta	NNP
to	TO
ask	VB
for	IN
,	,
if	IN
he	PRP
had	VBD
decided	VBN
to	TO
let	VB
the	DT
fairies	NNS
keep	VB
their	PRP$
pitcher	NN
?	.
21	LS
.	.
what	WP
would	MD
you	PRP
have	VB
thought	VBN
about	IN
this	DT
wonderful	JJ
supply	NN
of	IN
food	NN
,	,
if	IN
you	PRP
had	VBD
been	VBN
one	CD
of	IN
the	DT
woodcutter	NN
's	POS
children	NNS
?	.
22	LS
.	.
was	VBD
it	PRP
a	DT
good	JJ
thing	NN
for	IN
those	DT
children	NNS
to	TO
have	VB
all	PDT
this	DT
food	NN
without	IN
working	VBG
for	IN
it	PRP
?	.
if	IN
not	RB
,	,
why	WRB
was	VBD
it	PRP
not	RB
a	DT
good	JJ
thing	NN
?	.
