yes	UH
"	``
no	DT
harm	NN
if	IN
we	PRP
have	VBP
.	.
"	''
in	IN
a	DT
little	JJ
while	NN
,	,
back	RB
came	VBD
the	DT
man	NN
with	IN
an	DT
ox	NN
so	RB
fat	JJ
and	CC
big	JJ
,	,
the	DT
lad	NN
had	VBD
never	RB
seen	VBN
its	PRP$
like	NN
,	,
and	CC
he	PRP
gave	VBD
it	PRP
one	CD
blow	NN
with	IN
his	PRP$
fist	NN
under	IN
the	DT
ear	NN
,	,
and	CC
down	RB
it	PRP
fell	VBD
dead	JJ
on	IN
the	DT
floor	NN
.	.
when	WRB
that	DT
was	VBD
done	VBN
,	,
he	PRP
took	VBD
it	PRP
up	RP
by	IN
all	PDT
the	DT
four	CD
legs	NNS
and	CC
laid	VBD
it	PRP
on	IN
the	DT
glowing	VBG
embers	NNS
,	,
and	CC
turned	VBD
it	PRP
and	CC
twisted	VBD
it	PRP
about	RB
till	IN
it	PRP
was	VBD
burnt	VBN
brown	JJ
outside	RB
.	.
"	``
well	UH
!	.
i	PRP
must	MD
just	RB
go	VB
and	CC
get	VB
a	DT
bit	NN
of	IN
supper	NN
too	RB
;	:
"	''
and	CC
so	RB
he	PRP
went	VBD
to	IN
the	DT
table	NN
and	CC
ate	VBD
up	RP
the	DT
whole	JJ
ox	NN
hoofs	NNS
,	,
and	CC
horns	NNS
,	,
and	CC
all	DT
and	CC
drained	VBD
the	DT
cask	NN
to	IN
the	DT
last	JJ
drop	NN
,	,
and	CC
then	RB
went	VBD
back	RB
and	CC
sat	VBD
on	IN
the	DT
bench	NN
.	.
"	``
as	IN
for	IN
beds	NNS
,	,
"	''
he	PRP
said	VBD
,	,
"	``
i	PRP
do	VBP
n't	RB
know	VB
what	WP
's	VBZ
to	TO
be	VB
done	VBN
.	.
ihave	PRP
only	RB
got	VBN
one	CD
bed	NN
and	CC
a	DT
cradle	NN
;	:
but	CC
we	PRP
could	MD
get	VB
on	RP
pretty	RB
well	RB
if	IN
you	PRP
would	MD
sleep	VB
in	IN
the	DT
cradle	NN
,	,
and	CC
then	RB
your	PRP$
mother	NN
might	MD
lie	VB
in	IN
the	DT
bed	NN
yonder	RB
.	.
"	``
"	``
thank	VBP
you	PRP
kindly	RB
,	,
thatwill	MD
do	VB
nicely	RB
,	,
"	''
said	VBD
the	DT
lad	NN
;	:
and	CC
with	IN
that	DT
he	PRP
pulled	VBD
off	RP
his	PRP$
clothes	NNS
and	CC
lay	VBD
down	RP
in	IN
the	DT
cradle	NN
;	:
but	CC
,	,
to	TO
tell	VB
you	PRP
the	DT
truth	NN
,	,
it	PRP
was	VBD
quite	RB
as	RB
big	JJ
as	IN
a	DT
four	CD
-	HYPH
poster	NN
.	.
as	IN
for	IN
the	DT
old	JJ
dame	NN
,	,
she	PRP
had	VBD
to	TO
follow	VB
the	DT
man	NN
who	WP
showed	VBD
her	PRP
to	IN
bed	NN
,	,
though	IN
she	PRP
was	VBD
out	IN
of	IN
her	PRP$
wits	NNS
for	IN
fear	NN
.	.
"	``
well	UH
!	,
"	''
thought	VBD
the	DT
lad	NN
to	IN
himself	PRP
,	,
"	``
'	PRP
twill	MD
never	RB
do	VB
to	TO
go	VB
to	IN
sleep	NN
yet	RB
.	.
ihad	PRP
or	CC
would	MD
best	RBS
lie	VB
awake	RB
and	CC
listen	VB
how	WRB
things	NNS
go	VBP
as	IN
the	DT
night	NN
wears	VBZ
on	RP
.	.
"	``
so	RB
,	,
after	IN
a	DT
while	NN
,	,
the	DT
man	NN
began	VBD
to	TO
talk	VB
to	IN
the	DT
old	JJ
dame	NN
,	,
and	CC
at	IN
last	RB
he	PRP
said	VBD
"	``
we	PRP
two	CD
might	MD
live	VB
here	RB
so	RB
happily	RB
together	RB
,	,
could	MD
we	PRP
only	RB
be	VB
rid	VBN
of	IN
this	DT
son	NN
of	IN
yours	NNS
.	.
"	''
"	``
but	CC
do	VBP
you	PRP
know	VB
how	WRB
to	TO
settle	VB
him	PRP
?	.
is	VBZ
that	DT
what	WP
youare	PRP
thinking	VBG
of	IN
?	.
"	''
said	VBD
she	PRP
.	.
"	``
nothing	NN
easier	JJR
,	,
"	''
said	VBD
he	PRP
;	:
at	IN
any	DT
rate	NN
he	PRP
would	MD
try	VB
.	.
he	PRP
would	MD
just	RB
say	VB
he	PRP
wished	VBD
the	DT
old	JJ
dame	NN
would	MD
stay	VB
and	CC
keep	VB
house	NN
for	IN
him	PRP
a	DT
day	NN
or	CC
two	CD
,	,
and	CC
then	RB
he	PRP
would	MD
take	VB
the	DT
lad	NN
out	RP
with	IN
him	PRP
up	IN
the	DT
hill	NN
to	TO
quarry	NN
corner	NN
-	HYPH
stones	NNS
,	,
and	CC
roll	VB
down	RP
a	DT
great	JJ
rock	NN
on	IN
him	PRP
.	.
all	PDT
this	DT
the	DT
lad	NN
lay	VBD
and	CC
listened	VBD
to	IN
.	.
"	``
oh	UH
!	.
"	''
said	VBD
the	DT
lad	NN
to	IN
the	DT
troll	NN
,	,
"	``
now	RB
i	PRP
see	VBP
what	WP
you	PRP
mean	VBP
to	TO
do	VB
with	IN
me	PRP
.	.
you	PRP
want	VBP
to	TO
crush	VB
me	PRP
to	IN
death	NN
;	:
so	RB
just	RB
go	VB
down	RP
yourself	PRP
and	CC
look	VB
after	IN
the	DT
cracks	NNS
and	CC
refts	NNS
in	IN
the	DT
rock	NN
,	,
and	CC
iwill	MD
stand	VB
up	RP
above	RB
.	.
"	``
the	DT
troll	NN
did	VBD
not	RB
dare	VB
to	TO
do	VB
otherwise	RB
than	IN
the	DT
lad	NN
bade	VBD
him	PRP
,	,
and	CC
the	DT
end	NN
of	IN
it	PRP
was	VBD
that	IN
the	DT
lad	NN
rolled	VBD
down	RP
a	DT
great	JJ
rock	NN
,	,
which	WDT
fell	VBD
upon	IN
the	DT
troll	NN
and	CC
broke	VBD
one	CD
of	IN
his	PRP$
thighs	NNS
.	.
"	``
well	UH
!	.
you	PRP
are	VBP
in	IN
a	DT
sad	JJ
plight	NN
,	,
"	''
said	VBD
the	DT
lad	NN
,	,
as	IN
he	PRP
strode	VBD
down	RB
,	,
lifted	VBD
up	RP
the	DT
rock	NN
,	,
and	CC
set	VBD
the	DT
man	NN
free	JJ
.	.
after	IN
that	DT
he	PRP
had	VBD
to	TO
put	VB
him	PRP
on	IN
his	PRP$
back	NN
and	CC
carry	VB
him	PRP
home	RB
;	:
so	RB
he	PRP
ran	VBD
with	IN
him	PRP
as	RB
fast	RB
as	IN
a	DT
horse	NN
,	,
and	CC
shook	VBD
him	PRP
so	IN
that	IN
the	DT
troll	NN
screamed	VBD
and	CC
screeched	VBD
as	IN
if	IN
a	DT
knife	NN
were	VBD
run	VBN
into	IN
him	PRP
.	.
and	CC
when	WRB
he	PRP
got	VBD
home	RB
,	,
they	PRP
had	VBD
to	TO
put	VB
the	DT
troll	NN
to	IN
bed	NN
,	,
and	CC
there	RB
he	PRP
lay	VBD
in	IN
a	DT
sad	JJ
pickle	NN
.	.
when	WRB
the	DT
night	NN
wore	VBD
on	RP
,	,
the	DT
troll	NN
began	VBD
to	TO
talk	VB
to	IN
the	DT
old	JJ
dame	NN
again	RB
,	,
and	CC
to	TO
wonder	VB
how	WRB
ever	RB
they	PRP
could	MD
be	VB
rid	VBN
of	IN
the	DT
lad	NN
.	.
"	``
well	RB
,	,
"	''
said	VBD
the	DT
old	JJ
dame	NNP
,	,
"	``
if	IN
you	PRP
ca	MD
n't	RB
hit	VB
on	IN
a	DT
plan	NN
to	TO
get	VB
rid	VBN
of	IN
him	PRP
,	,
iam	PRP
sure	JJ
i	PRP
ca	MD
n't	RB
.	.
"	''
"	``
let	VB
me	PRP
see	VB
,	,
"	''
said	VBD
the	DT
troll	NN
;	:
"	``
ihave	NNP
got	VBD
twelve	CD
lions	NNS
in	IN
a	DT
garden	NN
;	:
if	IN
they	PRP
could	MD
only	RB
get	VB
hold	NN
of	IN
the	DT
lad	NN
,	,
theyhad	PRP
or	CC
would	MD
soon	RB
tear	VB
him	PRP
to	IN
pieces	NNS
.	.
"	''
so	RB
the	DT
old	JJ
dame	NN
said	VBD
it	PRP
would	MD
be	VB
easy	JJ
enough	RB
to	TO
get	VB
him	PRP
there	RB
.	.
she	PRP
would	MD
sham	VB
sick	JJ
,	,
and	CC
say	VB
she	PRP
felt	VBD
so	RB
poorly	RB
,	,
nothing	NN
would	MD
do	VB
her	PRP
any	DT
good	NN
but	CC
lion	NN
's	POS
milk	NN
.	.
all	DT
that	WDT
the	DT
lad	NN
lay	VBD
and	CC
listened	VBD
to	IN
;	:
and	CC
when	WRB
he	PRP
got	VBD
up	RP
in	IN
the	DT
morning	NN
his	PRP$
mother	NN
said	VBD
she	PRP
was	VBD
worse	JJR
than	IN
she	PRP
looked	VBD
,	,
and	CC
she	PRP
thought	VBD
she	PRP
should	MD
never	RB
be	VB
right	JJ
again	RB
unless	IN
she	PRP
could	MD
get	VB
some	DT
lion	NN
's	POS
milk	NN
.	.
"	``
then	RB
iam	PRP
afraid	JJ
you	PRP
will	MD
be	VB
poorly	JJ
a	DT
long	JJ
time	NN
,	,
mother	NN
,	,
"	''
said	VBD
the	DT
lad	NN
,	,
"	``
for	IN
iam	PRP
sure	JJ
i	PRP
do	VBP
n't	RB
know	VB
where	WRB
any	DT
is	VBZ
to	TO
be	VB
got	VBN
.	.
"	''
"	``
now	RB
,	,
mother	NN
,	,
you	PRP
will	MD
soon	RB
be	VB
well	JJ
,	,
"	''
said	VBD
the	DT
lad	NN
,	,
when	WRB
he	PRP
went	VBD
in	RP
,	,
"	``
for	IN
here	RB
is	VBZ
the	DT
lion	NN
's	POS
milk	NN
.	.
"	''
he	PRP
had	VBD
just	RB
milked	VBN
a	DT
drop	NN
in	IN
the	DT
pail	NN
.	.
but	CC
the	DT
troll	NN
,	,
as	IN
he	PRP
lay	VBD
in	IN
bed	NN
,	,
swore	VBD
it	PRP
was	VBD
all	DT
a	DT
lie	NN
.	.
he	PRP
was	VBD
sure	JJ
the	DT
lad	NN
was	VBD
not	RB
the	DT
man	NN
to	TO
milk	VB
lions	NNS
.	.
when	WRB
the	DT
lad	NN
heard	VBD
that	DT
,	,
he	PRP
forced	VBD
the	DT
troll	NN
to	TO
get	VB
out	IN
of	IN
bed	NN
,	,
threw	VBD
open	RP
the	DT
door	NN
,	,
and	CC
all	PDT
the	DT
lions	NNS
rose	VBD
up	RP
and	CC
seized	VBD
the	DT
troll	NN
,	,
and	CC
at	IN
last	RB
the	DT
lad	NN
had	VBD
to	TO
make	VB
them	PRP
leave	VB
their	PRP$
hold	NN
.	.
that	DT
night	NN
the	DT
troll	NN
began	VBD
to	TO
talk	VB
to	IN
the	DT
old	JJ
dame	NN
again	RB
.	.
"	``
iam	VB
sure	JJ
i	PRP
ca	MD
n't	RB
tell	VB
how	WRB
to	TO
put	VB
this	DT
lad	NN
out	IN
of	IN
the	DT
way	NN
he	PRP
is	VBZ
so	RB
awfully	RB
strong	JJ
;	:
ca	MD
n't	RB
you	PRP
think	VB
of	IN
some	DT
way	NN
?	.
"	''
"	``
no	UH
,	,
"	''
said	VBD
the	DT
old	JJ
dame	NNP
,	,
"	``
if	IN
you	PRP
ca	MD
n't	RB
tell	VB
,	,
iam	PRP
sure	JJ
i	PRP
ca	MD
n't	RB
.	.
"	''
"	``
well	UH
!	,
"	''
said	VBD
the	DT
troll	NN
,	,
"	``
i	PRP
have	VBP
two	CD
brothers	NNS
in	IN
a	DT
castle	NN
;	:
they	PRP
are	VBP
twelve	CD
times	NNS
as	RB
strong	JJ
as	IN
i	PRP
am	VBP
,	,
and	CC
that	DT
's	VBZ
why	WRB
i	PRP
was	VBD
turned	VBN
out	RP
and	CC
had	VBD
to	TO
put	VB
up	RP
with	IN
this	DT
farm	NN
.	.
they	PRP
hold	VBP
that	DT
castle	NN
,	,
and	CC
round	IN
it	PRP
there	EX
is	VBZ
an	DT
orchard	NN
with	IN
apples	NNS
in	IN
it	PRP
,	,
and	CC
whoever	WP
eats	VBZ
those	DT
apples	NNS
sleeps	VBZ
for	IN
three	CD
days	NNS
and	CC
three	CD
nights	NNS
.	.
if	IN
we	PRP
could	MD
only	RB
get	VB
the	DT
lad	NN
to	TO
go	VB
for	IN
the	DT
fruit	NN
,	,
he	PRP
would	MD
n't	RB
be	VB
able	JJ
to	TO
keep	VB
from	IN
tasting	VBG
the	DT
apples	NNS
,	,
and	CC
as	RB
soon	RB
as	IN
ever	RB
he	PRP
fell	VBD
asleep	JJ
my	PRP$
brothers	NNS
would	MD
tear	VB
him	PRP
in	IN
pieces	NNS
.	.
"	``
the	DT
old	JJ
dame	NN
said	VBD
she	PRP
would	MD
sham	VB
sick	JJ
,	,
and	CC
say	VB
she	PRP
could	MD
never	RB
be	VB
herself	PRP
again	RB
unless	IN
she	PRP
tasted	VBD
those	DT
apples	NNS
;	:
for	IN
she	PRP
had	VBD
set	VBN
her	PRP$
heart	NN
on	IN
them	PRP
.	.
all	PDT
this	DT
the	DT
lad	NN
lay	VBD
and	CC
listened	VBD
to	IN
.	.
when	WRB
the	DT
morning	NN
came	VBD
the	DT
old	JJ
dame	NN
was	VBD
so	RB
poorly	RB
that	IN
she	PRP
could	MD
n't	RB
utter	VB
a	DT
word	NN
but	CC
groans	NNS
and	CC
sighs	NNS
.	.
she	PRP
was	VBD
sure	JJ
she	PRP
should	MD
never	RB
be	VB
well	JJ
again	RB
,	,
unless	IN
she	PRP
had	VBD
some	DT
of	IN
those	DT
apples	NNS
that	WDT
grew	VBD
in	IN
the	DT
orchard	NN
near	IN
the	DT
castle	NN
where	WRB
the	DT
man	NN
's	POS
brothers	NNS
lived	VBD
;	:
only	RB
she	PRP
had	VBD
no	DT
one	NN
to	TO
send	VB
for	IN
them	PRP
.	.
"	``
you	PRP
may	MD
thank	VB
your	PRP$
stars	NNS
you	PRP
were	VBD
n't	RB
in	IN
that	DT
tussle	NN
,	,
else	RB
you	PRP
must	MD
have	VB
lost	VBD
your	PRP$
life	NN
.	.
"	``
"	``
what	WP
!	.
i	PRP
lose	VBP
my	PRP$
life	NN
!	.
no	DT
fear	NN
of	IN
that	DT
,	,
i	PRP
think	VBP
,	,
"	''
said	VBD
the	DT
lad	NN
.	.
so	RB
she	PRP
begged	VBD
him	PRP
to	TO
come	VB
in	RB
,	,
that	IN
she	PRP
might	MD
talk	VB
with	IN
him	PRP
,	,
for	IN
she	PRP
had	VBD
n't	RB
seen	VBN
a	DT
christian	JJ
soul	NN
ever	RB
since	IN
she	PRP
came	VBD
there	RB
.	.
but	CC
when	WRB
she	PRP
opened	VBD
the	DT
door	NN
the	DT
lions	NNS
wanted	VBD
to	TO
go	VB
in	RB
too	RB
,	,
but	CC
she	PRP
got	VBD
so	RB
frightened	JJ
that	IN
she	PRP
began	VBD
to	TO
scream	VB
,	,
and	CC
so	RB
the	DT
lad	NN
let	VBD
them	PRP
lie	VB
outside	RB
.	.
then	RB
the	DT
two	CD
talked	VBD
and	CC
talked	VBD
,	,
and	CC
the	DT
lad	NN
asked	VBD
how	WRB
it	PRP
came	VBD
that	IN
she	PRP
,	,
who	WP
was	VBD
so	RB
lovely	JJ
,	,
could	MD
put	VB
up	RP
with	IN
those	DT
ugly	JJ
trolls	NNS
.	.
she	PRP
never	RB
wished	VBD
it	PRP
,	,
she	PRP
said	VBD
;	:
'	``
twas	RB
quite	RB
against	IN
her	PRP$
will	NN
.	.
they	PRP
had	VBD
seized	VBN
her	PRP
by	IN
force	NN
,	,
and	CC
she	PRP
was	VBD
the	DT
king	NN
of	IN
arabia	NNP
's	POS
daughter	NN
.	.
so	RB
they	PRP
talked	VBD
on	RP
,	,
and	CC
at	IN
last	RB
she	PRP
asked	VBD
him	PRP
what	WP
he	PRP
would	MD
do	VB
;	:
whether	IN
she	PRP
should	MD
go	VB
back	RB
home	RB
,	,
or	CC
whether	IN
he	PRP
would	MD
have	VB
her	PRP
to	TO
wife	NN
.	.
of	RB
course	RB
he	PRP
would	MD
have	VB
her	PRP
,	,
and	CC
she	PRP
should	MD
n't	RB
go	VB
home	RB
.	.
after	IN
that	DT
they	PRP
went	VBD
round	IN
the	DT
castle	NN
,	,
and	CC
at	IN
last	RB
they	PRP
came	VBD
to	IN
a	DT
great	JJ
hall	NN
,	,
where	WRB
the	DT
trolls	NNS
'	POS
two	CD
great	JJ
swords	NNS
hung	VBD
high	RB
up	RB
on	IN
the	DT
wall	NN
.	.
"	``
i	PRP
wonder	VBP
if	IN
you	PRP
are	VBP
man	NN
enough	JJ
to	TO
wield	VB
one	CD
of	IN
these	DT
,	,
"	''
said	VBD
the	DT
princess	NN
.	.
"	``
who	WP
?	.
i	PRP
?	.
"	''
said	VBD
the	DT
lad	NN
.	.
"	``
'	MD
twould	MD
be	VB
a	DT
pretty	JJ
thing	NN
if	IN
i	PRP
could	MD
n't	RB
wield	VB
one	CD
of	IN
these	DT
.	.
"	''
with	IN
that	DT
he	PRP
put	VBD
two	CD
or	CC
three	CD
chairs	NNS
one	CD
a	IN
-	HYPH
top	NN
of	IN
the	DT
other	JJ
,	,
jumped	VBD
up	RP
,	,
and	CC
touched	VBD
the	DT
biggest	JJS
sword	NN
with	IN
his	PRP$
finger	NN
tips	NNS
,	,
tossed	VBD
it	PRP
up	RP
in	IN
the	DT
air	NN
,	,
and	CC
caught	VBD
it	PRP
again	RB
by	IN
the	DT
hilt	NN
;	:
leapt	VBD
down	RB
,	,
and	CC
at	IN
the	DT
same	JJ
time	NN
dealt	VBD
such	PDT
a	DT
blow	NN
with	IN
it	PRP
on	IN
the	DT
floor	NN
that	IN
the	DT
whole	JJ
hall	NN
shook	VBD
.	.
after	IN
he	PRP
had	VBD
thus	RB
got	VBN
down	RP
,	,
he	PRP
thrust	VBD
the	DT
sword	NN
under	IN
his	PRP$
arm	NN
and	CC
carried	VBD
it	PRP
about	RB
with	IN
him	PRP
.	.
