who	WP
"	``
do	VB
not	RB
fly	VB
from	IN
me	PRP
as	IN
a	DT
dove	NN
flies	VBZ
from	IN
a	DT
hawk	NN
.	.
i	PRP
am	VBP
no	DT
rude	JJ
peasant	NN
,	,
but	CC
one	CD
of	IN
the	DT
gods	NNPS
and	CC
i	PRP
know	VBP
all	DT
things	NNS
,	,
present	JJ
or	CC
future	JJ
.	.
it	PRP
is	VBZ
for	IN
love	NN
that	WDT
i	PRP
pursue	VBP
you	PRP
,	,
and	CC
i	PRP
am	VBP
miserable	JJ
in	IN
the	DT
fear	NN
that	IN
you	PRP
may	MD
fall	VB
and	CC
hurt	VB
yourself	PRP
on	IN
these	DT
stones	NNS
and	CC
i	PRP
shall	MD
have	VB
been	VBN
the	DT
cause	NN
of	IN
your	PRP$
hurt	NN
.	.
pray	VB
run	VB
slower	RBR
and	CC
i	PRP
will	MD
follow	VB
more	RBR
slowly	RB
!	.
"	''
but	CC
daphne	NNP
was	VBD
deaf	JJ
to	IN
the	DT
youth	NN
's	POS
entreating	VBG
words	NNS
.	.
on	IN
she	PRP
sped	VBD
,	,
the	DT
wind	NN
blowing	VBG
her	PRP$
green	JJ
garments	NNS
,	,
and	CC
her	PRP$
hair	NN
streaming	VBG
loosely	RB
behind	IN
her	PRP
.	.
it	PRP
was	VBD
,	,
at	IN
last	RB
,	,
like	IN
the	DT
fleet	NN
running	VBG
hound	NN
pursuing	VBG
the	DT
hare	NN
;	:
the	DT
youth	NN
was	VBD
swifter	JJR
and	CC
gained	VBD
on	IN
her	PRP
.	.
his	PRP$
panting	VBG
breath	NN
touched	VBD
her	PRP$
neck	NN
.	.
in	IN
her	PRP$
terror	NN
she	PRP
did	VBD
not	RB
stop	VB
to	TO
understand	VB
that	IN
he	PRP
pursued	VBD
her	PRP
only	RB
because	IN
he	PRP
loved	VBD
her	PRP
so	RB
much	RB
and	CC
that	IN
he	PRP
would	MD
not	RB
do	VB
her	PRP
any	DT
harm	NN
.	.
at	IN
last	RB
she	PRP
came	VBD
to	IN
the	DT
edge	NN
of	IN
a	DT
stream	NN
.	.
on	IN
one	CD
side	NN
of	IN
daphne	NNP
were	VBD
the	DT
croaking	VBG
frogs	NNS
and	CC
the	DT
water	NN
reeds	NNS
and	CC
the	DT
deeper	JJR
waters	NNS
beyond	RB
.	.
on	IN
the	DT
other	JJ
side	NN
was	VBD
her	PRP$
pursuer	NN
.	.
daphne	NNP
called	VBD
to	IN
her	PRP$
father	NN
,	,
the	DT
river	NN
god	NNP
,	,
"	``
help	VB
me	PRP
,	,
peneus	NNP
!	.
open	VB
the	DT
earth	NN
to	TO
take	VB
me	PRP
into	IN
it	PRP
out	IN
of	IN
sight	NN
and	CC
sound	NN
!	.
"	''
but	CC
the	DT
god	NNP
of	IN
light	NN
and	CC
music	NN
knew	VBD
what	WP
was	VBD
better	JJR
far	RB
for	IN
daphne	NNP
than	IN
this	DT
.	.
he	PRP
touched	VBD
her	PRP$
fair	JJ
form	NN
and	CC
it	PRP
stiffened	VBD
and	CC
her	PRP$
feet	NNS
stood	VBD
firmly	RB
upon	IN
the	DT
bank	NN
of	IN
the	DT
stream	NN
.	.
her	PRP$
body	NN
was	VBD
suddenly	RB
enclosed	VBN
in	IN
tender	JJ
bark	NN
and	CC
her	PRP$
hair	NN
became	VBD
leaves	NNS
.	.
her	PRP$
arms	NNS
were	VBD
long	JJ
,	,
drooping	VBG
branches	NNS
and	CC
her	PRP$
face	NN
changed	VBD
to	IN
the	DT
form	NN
of	IN
a	DT
tree	NN
top	NN
.	.
there	EX
had	VBD
never	RB
been	VBN
a	DT
tree	NN
like	IN
the	DT
one	CD
into	IN
which	WDT
daphne	NNP
was	VBD
transformed	VBN
,	,
the	DT
green	JJ
laurel	NN
tree	NN
.	.
the	DT
young	JJ
god	NN
looked	VBD
at	IN
her	PRP
and	CC
saw	VBD
how	WRB
fair	JJ
a	DT
work	NN
of	IN
his	PRP$
hands	NNS
was	VBD
this	DT
changing	NN
of	IN
a	DT
nymph	NN
.	.
the	DT
tree	NN
would	MD
never	RB
fade	VB
,	,
but	CC
would	MD
stretch	VB
its	PRP$
green	JJ
top	NN
up	RP
toward	IN
the	DT
sky	NN
to	TO
feel	VB
the	DT
light	NN
that	WDT
he	PRP
would	MD
pour	VB
down	RP
on	IN
it	PRP
.	.
when	WRB
the	DT
wind	NN
touched	VBD
the	DT
laurel	NN
's	POS
leaves	NNS
they	PRP
would	MD
sing	VB
as	IN
his	PRP$
lyre	NN
sang	VBD
.	.
"	``
come	VB
and	CC
see	VB
what	WDT
beauty	NN
i	PRP
have	VBP
given	VBN
to	IN
the	DT
nymph	NN
,	,
daphne	NNP
,	,
whom	WP
i	PRP
loved	VBD
,	,
"	''
he	PRP
called	VBD
,	,
and	CC
out	IN
of	IN
the	DT
forest	NN
came	VBD
a	DT
brave	JJ
young	JJ
huntress	NN
,	,
a	DT
deer	NN
walking	VBG
quite	RB
unafraid	JJ
at	IN
her	PRP$
side	NN
.	.
it	PRP
was	VBD
diana	NNP
,	,
his	PRP$
sister	NN
,	,
and	CC
she	PRP
hung	VBD
her	PRP$
quiver	NN
of	IN
arrows	NNS
on	IN
the	DT
laurel	NN
tree	NN
and	CC
led	VBD
the	DT
deer	NN
to	IN
a	DT
shelter	NN
underneath	IN
its	PRP$
branches	NNS
.	.
"	``
this	DT
shall	MD
be	VB
my	PRP$
tree	NN
,	,
"	''
he	PRP
said	VBD
putting	VBG
his	PRP$
hands	NNS
on	IN
the	DT
laurel	NN
.	.
"	``
i	PRP
will	MD
wear	VB
it	PRP
for	IN
my	PRP$
crown	NN
,	,
and	CC
when	WRB
the	DT
great	JJ
roman	JJ
conquerors	NNS
lead	VBP
their	PRP$
troops	NNS
to	IN
the	DT
capitol	NN
in	IN
triumphal	JJ
pomp	NN
it	PRP
shall	MD
be	VB
woven	VBN
into	IN
wreaths	NNS
for	IN
their	PRP$
brows	NNS
.	.
as	IN
eternal	JJ
youth	NN
is	VBZ
mine	PRP$
,	,
the	DT
laurel	NN
shall	MD
always	RB
be	VB
green	JJ
and	CC
its	PRP$
leaves	NNS
shall	MD
never	RB
wither	VB
.	.
"	``
the	DT
sun	NN
began	VBD
to	TO
sink	VB
behind	IN
the	DT
hills	NNS
and	CC
the	DT
youth	NN
saw	VBD
the	DT
light	NN
fade	VB
in	IN
terror	NN
.	.
he	PRP
could	MD
give	VB
the	DT
laurel	NN
the	DT
brightness	NN
of	IN
day	NN
but	CC
he	PRP
had	VBD
no	DT
power	NN
to	TO
keep	VB
it	PRP
safe	JJ
through	IN
the	DT
darkness	NN
of	IN
night	NN
.	.
just	RB
then	RB
a	DT
silver	JJ
ball	NN
appeared	VBD
in	IN
the	DT
purple	JJ
sky	NN
rising	VBG
higher	RBR
and	CC
higher	RBR
and	CC
sending	VBG
down	RP
long	JJ
white	JJ
beams	NNS
to	TO
brighten	VB
the	DT
dusk	NN
.	.
"	``
diana	NNP
,	,
see	VB
,	,
there	EX
is	VBZ
a	DT
light	NN
in	IN
the	DT
evening	NN
sky	NN
!	.
"	''
the	DT
youth	NN
exclaimed	VBD
,	,
but	CC
his	PRP$
sister	NN
had	VBD
disappeared	VBN
.	.
diana	NNP
,	,
the	DT
huntress	NN
,	,
was	VBD
now	RB
diana	NNP
,	,
the	DT
moon	NN
,	,
the	DT
queen	NN
of	IN
the	DT
darkness	NN
and	CC
shedding	VBG
her	PRP$
light	NN
on	IN
the	DT
laurel	NN
tree	NN
that	WDT
her	PRP$
brother	NN
,	,
apollo	NNP
,	,
the	DT
god	NN
of	IN
the	DT
sun	NN
,	,
loved	VBD
so	RB
much	RB
.	.
the	DT
frogs	NNS
along	IN
the	DT
river	NN
bank	NN
croaked	VBD
harshly	RB
and	CC
could	MD
not	RB
understand	VB
any	DT
of	IN
these	DT
wonders	NNS
that	WDT
had	VBD
come	VBN
to	TO
pass	VB
right	RB
beside	IN
them	PRP
.	.
they	PRP
had	VBD
missed	VBN
a	DT
wonder	NN
when	WRB
they	PRP
were	VBD
rustics	NNS
,	,
too	RB
.	.
there	EX
are	VBP
some	DT
people	NNS
like	IN
that	DT
.	.
they	PRP
,	,
too	RB
,	,
would	MD
see	VB
only	RB
a	DT
ragged	JJ
,	,
weary	JJ
stranger	NN
with	IN
her	PRP$
tired	JJ
babies	NNS
,	,
not	RB
worth	JJ
the	DT
trouble	NN
of	IN
helping	VBG
,	,
when	WRB
those	DT
little	JJ
ones	NNS
might	MD
be	VB
an	DT
apollo	NNP
and	CC
a	DT
diana	NNP
,	,
the	DT
gods	NNS
of	IN
the	DT
day	NN
and	CC
the	DT
night	NN
.	.
when	WRB
phaeton	NNP
's	POS
chariot	NN
ran	VBD
away	RB
.	.
"	``
you	PRP
are	VBP
only	RB
boasting	VBG
,	,
phaeton	NNP
.	.
i	PRP
do	VBP
n't	RB
believe	VB
for	IN
a	DT
moment	NN
that	IN
your	PRP$
father	NN
is	VBZ
apollo	NNP
,	,
the	DT
god	NN
of	IN
light	NN
,	,
"	''
cycnus	NNP
,	,
one	CD
of	IN
his	PRP$
schoolmates	NNS
,	,
said	VBD
to	IN
the	DT
lad	NN
who	WP
had	VBD
just	RB
made	VBN
this	DT
proud	JJ
statement	NN
.	.
"	``
it	PRP
is	VBZ
true	JJ
,	,
"	''
phaeton	NNP
replied	VBD
.	.
"	``
you	PRP
wo	MD
n't	RB
believe	VB
me	PRP
because	IN
i	PRP
am	VBP
alone	JJ
here	RB
in	IN
greece	NNP
,	,
cared	VBN
for	IN
by	IN
one	CD
of	IN
the	DT
nymphs	NNS
and	CC
learning	VBG
the	DT
lessons	NNS
that	WDT
all	DT
greek	JJ
boys	NNS
do	VBP
.	.
i	PRP
shall	MD
show	VB
you	PRP
,	,
though	RB
.	.
i	PRP
will	MD
take	VB
my	PRP$
way	NN
to	IN
the	DT
home	NN
of	IN
the	DT
gods	NNS
and	CC
present	VB
myself	PRP
to	IN
my	PRP$
father	NN
.	.
"	''
it	PRP
glittered	VBD
with	IN
gold	NN
and	CC
precious	JJ
stones	NNS
,	,
and	CC
phaeton	NNP
made	VBD
his	PRP$
way	NN
inside	RB
through	IN
heavy	JJ
doors	NNS
of	IN
solid	JJ
silver	NN
.	.
he	PRP
had	VBD
heard	VBN
of	IN
the	DT
beautiful	JJ
workmanship	NN
of	IN
vulcan	NNP
who	WP
had	VBD
designed	VBN
apollo	NNP
's	POS
palace	NN
,	,
but	CC
when	WRB
he	PRP
stood	VBD
beneath	IN
the	DT
polished	JJ
ivory	NN
ceilings	NNS
of	IN
the	DT
throne	NN
room	NN
it	PRP
was	VBD
more	RBR
wonderful	JJ
than	IN
anything	NN
he	PRP
had	VBD
ever	RB
imagined	VBN
.	.
apollo	NNP
,	,
in	IN
a	DT
royal	JJ
purple	JJ
robe	NN
,	,
sat	VBD
on	IN
the	DT
throne	NN
that	WDT
was	VBD
as	RB
bright	JJ
as	IN
if	IN
it	PRP
had	VBD
been	VBN
cut	VBN
from	IN
a	DT
solid	JJ
diamond	NN
,	,
and	CC
about	IN
him	PRP
stood	VBD
his	PRP$
attendants	NNS
who	WP
helped	VBD
him	PRP
in	IN
making	VBG
the	DT
earth	NN
a	DT
pleasant	JJ
,	,
fruitful	JJ
habitation	NN
for	IN
men	NNS
.	.
on	IN
apollo	NNP
's	POS
right	JJ
hand	NN
and	CC
on	IN
his	PRP$
left	NN
stood	VBD
the	DT
days	NNS
,	,
the	DT
months	NNS
,	,
and	CC
the	DT
years	NNS
,	,
and	CC
at	IN
regular	JJ
intervals	NNS
the	DT
hours	NNS
.	.
spring	NN
was	VBD
there	RB
,	,
her	PRP$
head	NN
crowned	VBN
with	IN
flowers	NNS
,	,
and	CC
summer	NN
who	WP
wore	VBD
a	DT
garland	NN
formed	VBN
of	IN
spears	NNS
of	IN
ripened	JJ
grain	NN
.	.
autumn	NN
stood	VBD
beside	IN
apollo	NNP
,	,
his	PRP$
feet	NNS
stained	VBN
with	IN
the	DT
juice	NN
of	IN
the	DT
grape	NN
,	,
and	CC
there	EX
was	VBD
icy	JJ
winter	NN
,	,
his	PRP$
hair	NN
stiffened	VBN
with	IN
hoar	JJ
frost	NN
.	.
there	EX
was	VBD
nothing	NN
hidden	VBN
from	IN
apollo	NNP
in	IN
the	DT
whole	JJ
world	NN
and	CC
he	PRP
saw	VBD
phaeton	NNP
the	DT
instant	NN
he	PRP
entered	VBD
the	DT
hall	NN
.	.
"	``
what	WP
is	VBZ
your	PRP$
errand	NN
here	RB
,	,
rash	NNP
lad	NN
?	.
"	''
he	PRP
asked	VBD
sternly	RB
.	.
phaeton	NNP
went	VBD
closer	RBR
and	CC
knelt	VBD
at	IN
the	DT
foot	NN
of	IN
the	DT
throne	NN
.	.
"	``
oh	UH
,	,
my	PRP$
father	NN
,	,
light	NN
of	IN
the	DT
boundless	JJ
world	NN
!	.
"	''
he	PRP
said	VBD
.	.
"	``
i	PRP
want	VBP
to	TO
be	VB
known	VBN
as	IN
your	PRP$
son	NN
.	.
give	VB
me	PRP
some	DT
proof	NN
by	IN
which	WDT
i	PRP
can	MD
show	VB
mortals	NNS
and	CC
the	DT
gods	NNS
as	RB
well	RB
that	IN
i	PRP
am	VBP
not	RB
of	IN
the	DT
earth	NN
but	CC
have	VBP
a	DT
place	NN
with	IN
you	PRP
on	IN
mount	NNP
olympus	NNP
!	.
"	''
apollo	NNP
was	VBD
pleased	VBN
with	IN
the	DT
pleading	NN
of	IN
the	DT
youth	NN
and	CC
,	,
laying	VBG
aside	RP
the	DT
crown	NN
of	IN
bright	JJ
beams	NNS
that	WDT
he	PRP
wore	VBD
on	IN
his	PRP$
head	NN
,	,
stretched	VBD
out	RP
his	PRP$
arms	NNS
and	CC
embraced	VBD
phaeton	NNP
.	.
"	``
my	PRP$
son	NN
,	,
you	PRP
do	VBP
not	RB
deserve	VB
to	TO
be	VB
disowned	VBN
,	,
"	''
he	PRP
said	VBD
.	.
"	``
to	TO
put	VB
an	DT
end	NN
to	IN
your	PRP$
doubts	NNS
ask	VB
whatever	WDT
favor	NN
you	PRP
like	VBP
of	IN
me	PRP
and	CC
the	DT
gift	NN
shall	MD
be	VB
yours	PRP$
.	.
"	``
it	PRP
was	VBD
wonderful	JJ
;	:
phaeton	NNP
had	VBD
never	RB
,	,
in	IN
his	PRP$
dreams	NNS
even	RB
,	,
expected	VBN
so	RB
great	JJ
a	DT
boon	NN
as	IN
this	DT
.	.
but	CC
he	PRP
was	VBD
as	RB
reckless	JJ
and	CC
ambitious	JJ
as	IN
many	PDT
a	DT
boy	NN
of	IN
to	IN
-	HYPH
day	NN
who	WP
fancies	VBZ
himself	PRP
able	JJ
to	TO
carry	VB
on	RP
his	PRP$
father	NN
's	POS
work	NN
without	IN
all	PDT
the	DT
skill	NN
and	CC
experience	NN
which	WDT
earned	VBD
his	PRP$
success	NN
.	.
he	PRP
knew	VBD
at	IN
once	RB
the	DT
desire	NN
that	WDT
was	VBD
closest	JJS
to	IN
his	PRP$
heart	NN
.	.
"	``
for	IN
one	CD
day	NN
only	RB
,	,
father	NN
,	,
let	VB
me	PRP
drive	VB
your	PRP$
chariot	NN
?	.
"	''
phaeton	NNP
begged	VBD
.	.
apollo	NNP
drew	VBD
back	RB
in	IN
dismay	NN
.	.
"	``
i	PRP
spoke	VBD
rashly	RB
,	,
"	''
he	PRP
said	VBD
.	.
"	``
that	DT
is	VBZ
the	DT
one	CD
request	NN
i	PRP
ought	MD
to	TO
refuse	VB
you	PRP
.	.
it	PRP
is	VBZ
not	RB
a	DT
safe	JJ
adventure	NN
or	CC
suited	VBN
to	IN
your	PRP$
youth	NN
and	CC
strength	NN
,	,
phaeton	NNP
.	.
your	PRP$
arms	NNS
are	VBP
mortal	JJ
and	CC
you	PRP
ask	VBP
what	WP
is	VBZ
beyond	IN
mortal	NN
's	POS
power	NN
.	.
you	PRP
aspire	VBP
to	TO
do	VB
that	DT
which	WDT
even	RB
the	DT
gods	NNS
can	MD
not	RB
accomplish	VB
.	.
no	DT
one	NN
but	IN
myself	PRP
,	,
not	RB
even	RB
jupiter	NNP
whose	WP$
terrible	JJ
right	JJ
arm	NN
hurls	VBZ
the	DT
thunderbolts	NNS
and	CC
the	DT
lightning	NN
,	,
may	MD
drive	VB
the	DT
flaming	VBG
chariot	NN
of	IN
day	NN
.	.
"	``
"	``
why	WRB
is	VBZ
it	PRP
so	RB
difficult	JJ
a	DT
task	NN
?	.
"	''
phaeton	NNP
asked	VBD
,	,
determined	JJ
not	RB
to	TO
give	VB
up	RP
.	.
apollo	NNP
explained	VBD
to	IN
him	PRP
with	IN
great	JJ
patience	NN
.	.
