"	``
the	DT
token	NN
he	PRP
leaves	VBZ
with	IN
us	PRP
must	MD
be	VB
the	DT
most	RBS
important	JJ
thing	NN
to	IN
him	PRP
in	IN
his	PRP$
possession	NN
.	.
i	PRP
see	VBP
the	DT
old	JJ
man	NN
has	VBZ
a	DT
wen	NN
on	IN
his	PRP$
right	JJ
cheek	NN
.	.
now	RB
mortal	JJ
men	NNS
consider	VBP
such	PDT
a	DT
wen	NN
very	RB
fortunate	JJ
.	.
let	VB
my	PRP$
lord	NN
take	VB
the	DT
lump	NN
from	IN
the	DT
old	JJ
man	NN
's	POS
right	JJ
cheek	NN
,	,
and	CC
he	PRP
will	MD
surely	RB
come	VB
to	IN
-	HYPH
morrow	NN
,	,
if	IN
only	RB
to	TO
get	VB
that	DT
back	RB
.	.
"	``
"	``
ah	UH
,	,
you	PRP
are	VBP
the	DT
old	JJ
man	NN
of	IN
yesterday	NN
,	,
"	''
said	VBD
the	DT
demon	NN
chief	NN
.	.
"	``
thank	VBP
you	PRP
for	IN
coming	VBG
,	,
you	PRP
must	MD
dance	VB
for	IN
us	PRP
soon	RB
.	.
"	''
the	DT
old	JJ
man	NN
now	RB
stood	VBD
up	RP
and	CC
opened	VBD
his	PRP$
fan	NN
and	CC
began	VBD
to	TO
dance	VB
.	.
but	CC
he	PRP
had	VBD
never	RB
learned	VBN
to	TO
dance	VB
,	,
and	CC
knew	VBD
nothing	NN
about	IN
the	DT
necessary	JJ
gestures	NNS
and	CC
different	JJ
positions	NNS
.	.
he	PRP
thought	VBD
that	IN
anything	NN
would	MD
please	VB
the	DT
demons	NNS
,	,
so	CC
he	PRP
just	RB
hopped	VBD
about	RB
,	,
waving	VBG
his	PRP$
arms	NNS
and	CC
stamping	VBG
his	PRP$
feet	NNS
,	,
imitating	VBG
as	RB
well	RB
as	IN
he	PRP
could	MD
any	DT
dancing	NN
he	PRP
had	VBD
ever	RB
seen	VBN
.	.
the	DT
oni	NNPS
were	VBD
very	RB
dissatisfied	JJ
at	IN
this	DT
exhibition	NN
,	,
and	CC
said	VBD
amongst	IN
themselves	PRP
"	``
how	WRB
badly	RB
he	PRP
dances	VBZ
to	IN
-	HYPH
day	NN
!	.
"	''
then	RB
to	IN
the	DT
old	JJ
man	NN
the	DT
demon	NN
chief	NN
said	VBD
"	``
your	PRP$
performance	NN
to	IN
-	HYPH
day	NN
is	VBZ
quite	RB
different	JJ
from	IN
the	DT
dance	NN
of	IN
yesterday	NN
.	.
we	PRP
do	VBP
n't	RB
wish	VB
to	TO
see	VB
any	DT
more	JJR
of	IN
such	JJ
dancing	NN
.	.
we	PRP
will	MD
give	VB
you	PRP
back	RB
the	DT
pledge	NN
you	PRP
left	VBD
with	IN
us	PRP
.	.
you	PRP
must	MD
go	VB
away	RB
at	IN
once	RB
.	.
"	''
he	PRP
put	VBD
up	RP
first	RB
one	CD
hand	NN
and	CC
then	RB
the	DT
other	JJ
to	IN
each	DT
side	NN
of	IN
his	PRP$
face	NN
to	TO
make	VB
sure	JJ
if	IN
he	PRP
were	VBD
not	RB
dreaming	VBG
a	DT
horrible	JJ
nightmare	NN
.	.
no	UH
,	,
sure	RB
enough	RB
there	EX
was	VBD
now	RB
a	DT
great	JJ
wen	NN
on	IN
the	DT
right	JJ
side	NN
of	IN
his	PRP$
face	NN
as	IN
on	IN
the	DT
left	NN
.	.
the	DT
demons	NNS
had	VBD
all	RB
disappeared	VBN
,	,
and	CC
there	EX
was	VBD
nothing	NN
for	IN
him	PRP
to	TO
do	VB
but	IN
to	TO
return	VB
home	RB
.	.
he	PRP
was	VBD
a	DT
pitiful	JJ
sight	NN
,	,
for	IN
his	PRP$
face	NN
,	,
with	IN
the	DT
two	CD
large	JJ
lumps	NNS
,	,
one	CD
on	IN
each	DT
side	NN
,	,
looked	VBD
just	RB
like	IN
a	DT
japanese	JJ
gourd	NN
.	.
the	DT
stones	NNPS
of	IN
five	CD
colors	NNPS
and	CC
the	DT
empress	NNP
jokwa	NNP
.	.
an	DT
old	JJ
chinese	JJ
story	NN
.	.
long	RB
,	,
long	RB
ago	RB
there	EX
lived	VBD
a	DT
great	JJ
chinese	JJ
empress	NNP
who	WP
succeeded	VBD
her	PRP$
brother	NN
the	DT
emperor	NNP
fuki	NNP
.	.
it	PRP
was	VBD
the	DT
age	NN
of	IN
giants	NNS
,	,
and	CC
the	DT
empress	NNP
jokwa	NNP
,	,
for	IN
that	DT
was	VBD
her	PRP$
name	NN
,	,
was	VBD
twenty	CD
-	HYPH
five	CD
feet	NNS
high	JJ
,	,
nearly	RB
as	RB
tall	JJ
as	IN
her	PRP$
brother	NN
.	.
she	PRP
was	VBD
a	DT
wonderful	JJ
woman	NN
,	,
and	CC
an	DT
able	JJ
ruler	NN
.	.
there	EX
is	VBZ
an	DT
interesting	JJ
story	NN
of	IN
how	WRB
she	PRP
mended	VBD
a	DT
part	NN
of	IN
the	DT
broken	JJ
heavens	NNS
and	CC
one	CD
of	IN
the	DT
terrestrial	JJ
pillars	NNS
which	WDT
upheld	VBD
the	DT
sky	NN
,	,
both	DT
of	IN
which	WDT
were	VBD
damaged	VBN
during	IN
a	DT
rebellion	NN
raised	VBN
by	IN
one	CD
of	IN
king	NNP
fuki	NNP
's	POS
subjects	NNS
.	.
now	RB
jokwa	NNP
,	,
the	DT
empress	NN
,	,
had	VBD
two	CD
young	JJ
warriors	NNS
called	VBN
hako	NNP
and	CC
eiko	NNP
,	,
and	CC
the	DT
former	JJ
she	PRP
made	VBD
general	NN
of	IN
the	DT
front	JJ
forces	NNS
.	.
hako	NNP
was	VBD
delighted	VBN
that	IN
the	DT
empress	NN
's	POS
choice	NN
should	MD
fall	VB
on	IN
him	PRP
,	,
and	CC
he	PRP
prepared	VBD
himself	PRP
for	IN
battle	NN
.	.
he	PRP
took	VBD
up	RP
the	DT
longest	JJS
lance	NN
he	PRP
could	MD
find	VB
and	CC
mounted	VBD
a	DT
red	JJ
horse	NN
,	,
and	CC
was	VBD
just	RB
about	JJ
to	TO
set	VB
out	RP
when	WRB
he	PRP
heard	VBD
some	DT
one	NN
galloping	VBG
hard	RB
behind	IN
him	PRP
and	CC
shouting	VBG
"	``
hako	NNP
!	.
stop	VB
!	.
the	DT
general	NN
of	IN
the	DT
front	JJ
forces	NNS
must	MD
be	VB
i	PRP
!	.
"	''
he	PRP
looked	VBD
back	RB
and	CC
saw	VBD
eiko	NNP
his	PRP$
comrade	NN
,	,
riding	VBG
on	IN
a	DT
white	JJ
horse	NN
,	,
in	IN
the	DT
act	NN
of	IN
unsheathing	VBG
a	DT
large	JJ
sword	NN
to	TO
draw	VB
upon	IN
him	PRP
.	.
hako	NNP
's	POS
anger	NN
was	VBD
kindled	VBN
,	,
and	CC
as	IN
he	PRP
turned	VBD
to	TO
face	VB
his	PRP$
rival	NN
he	PRP
cried	VBD
"	``
insolent	JJ
wretch	NN
!	.
i	PRP
have	VBP
been	VBN
appointed	VBN
by	IN
the	DT
empress	NN
to	TO
lead	VB
the	DT
front	JJ
forces	NNS
to	IN
battle	NN
.	.
do	VBP
you	PRP
dare	VB
to	TO
stop	VB
me	PRP
?	.
"	``
"	``
yes	UH
,	,
"	''
answered	VBD
eiko	NNP
.	.
"	``
i	PRP
ought	MD
to	TO
lead	VB
the	DT
army	NN
.	.
it	PRP
is	VBZ
you	PRP
who	WP
should	MD
follow	VB
me	PRP
.	.
"	''
at	IN
this	DT
bold	JJ
reply	NN
hako	NNP
's	POS
anger	NN
burst	VBD
from	IN
a	DT
spark	NN
into	IN
a	DT
flame	NN
.	.
"	``
dare	VBP
you	PRP
answer	VB
me	PRP
thus	RB
?	.
take	VB
that	DT
,	,
"	''
and	CC
he	PRP
lunged	VBD
at	IN
him	PRP
with	IN
his	PRP$
lance	NN
.	.
but	CC
eiko	NNP
moved	VBD
quickly	RB
aside	RB
,	,
and	CC
at	IN
the	DT
same	JJ
time	NN
,	,
raising	VBG
his	PRP$
sword	NN
,	,
he	PRP
wounded	VBD
the	DT
head	NN
of	IN
the	DT
general	NN
's	POS
horse	NN
.	.
obliged	VBN
to	TO
dismount	VB
,	,
hako	NNP
was	VBD
about	JJ
to	TO
rush	VB
at	IN
his	PRP$
antagonist	NN
,	,
when	WRB
eiko	NNP
,	,
as	RB
quick	JJ
as	IN
lightning	NN
,	,
tore	VBD
from	IN
his	PRP$
breast	NN
the	DT
badge	NN
of	IN
commandership	NN
and	CC
galloped	VBD
away	RB
.	.
the	DT
action	NN
was	VBD
so	RB
quick	JJ
that	IN
hako	NNP
stood	VBD
dazed	JJ
,	,
not	RB
knowing	VBG
what	WP
to	TO
do	VB
.	.
the	DT
empress	NN
had	VBD
been	VBN
a	DT
spectator	NN
of	IN
the	DT
scene	NN
,	,
and	CC
she	PRP
could	MD
not	RB
but	RB
admire	VB
the	DT
quickness	NN
of	IN
the	DT
ambitious	JJ
eiko	NNP
,	,
and	CC
in	IN
order	NN
to	TO
pacify	VB
the	DT
rivals	NNS
she	PRP
determined	VBD
to	TO
appoint	VB
them	PRP
both	DT
to	IN
the	DT
generalship	NN
of	IN
the	DT
front	JJ
army	NN
.	.
so	RB
hako	NNP
was	VBD
made	VBN
commander	NN
of	IN
the	DT
left	JJ
wing	NN
of	IN
the	DT
front	JJ
army	NN
,	,
and	CC
eiko	NNP
of	IN
the	DT
right	NN
.	.
one	CD
hundred	CD
thousand	CD
soldiers	NNS
followed	VBD
them	PRP
and	CC
marched	VBD
to	TO
put	VB
down	RP
the	DT
rebel	JJ
kokai	NNP
.	.
within	IN
a	DT
short	JJ
time	NN
the	DT
two	CD
generals	NNS
reached	VBD
the	DT
castle	NN
where	WRB
kokai	NNP
had	VBD
fortified	VBN
himself	PRP
.	.
when	WRB
aware	JJ
of	IN
their	PRP$
approach	NN
,	,
the	DT
wizard	NN
said	VBD
"	``
i	PRP
will	MD
blow	VB
these	DT
two	CD
poor	JJ
children	NNS
away	RP
with	IN
one	CD
breath	NN
.	.
"	''
(	-LRB-
he	PRP
little	RB
thought	VBD
how	WRB
hard	RB
he	PRP
would	MD
find	VB
the	DT
fight	NN
.	.
)	-RRB-
with	IN
these	DT
words	NNS
kokai	NNP
seized	VBD
an	DT
iron	NN
rod	NN
and	CC
mounted	VBD
a	DT
black	JJ
horse	NN
,	,
and	CC
rushed	VBD
forth	RB
like	IN
an	DT
angry	JJ
tiger	NN
to	TO
meet	VB
his	PRP$
two	CD
foes	NNS
.	.
thereupon	RB
kokai	NNP
drew	VBD
his	PRP$
three	CD
-	HYPH
edged	JJ
sword	NN
and	CC
was	VBD
about	JJ
to	TO
kill	VB
the	DT
prostrate	JJ
hako	NNP
,	,
but	CC
before	IN
the	DT
wizard	NN
could	MD
work	VB
his	PRP$
wicked	JJ
will	NN
the	DT
brave	JJ
eiko	NNP
had	VBD
wheeled	VBN
his	PRP$
horse	NN
in	IN
front	NN
of	IN
kokai	NNP
and	CC
dared	VBD
him	PRP
to	TO
try	VB
his	PRP$
strength	NN
with	IN
him	PRP
,	,
and	CC
not	RB
to	TO
kill	VB
a	DT
fallen	VBN
man	NN
.	.
but	CC
kokai	NNP
was	VBD
tired	JJ
,	,
and	CC
he	PRP
did	VBD
not	RB
feel	VB
inclined	JJ
to	TO
face	VB
this	DT
fresh	JJ
and	CC
dauntless	JJ
young	JJ
soldier	NN
,	,
so	RB
suddenly	RB
wheeling	VBG
his	PRP$
horse	NN
round	RB
,	,
he	PRP
fled	VBD
from	IN
the	DT
fray	NN
.	.
hako	NNP
,	,
who	WP
had	VBD
been	VBN
only	RB
slightly	RB
stunned	VBN
,	,
had	VBD
by	IN
this	DT
time	NN
got	VBN
upon	IN
his	PRP$
feet	NNS
,	,
and	CC
he	PRP
and	CC
his	PRP$
comrade	NN
rushed	VBD
after	IN
the	DT
retreating	VBG
enemy	NN
,	,
the	DT
one	NN
on	IN
foot	NN
and	CC
the	DT
other	JJ
on	IN
horseback	NN
.	.
kokai	NNP
,	,
seeing	VBG
that	IN
he	PRP
was	VBD
pursued	VBN
,	,
turned	VBD
upon	IN
his	PRP$
nearest	JJS
assailant	NN
,	,
who	WP
was	VBD
,	,
of	IN
course	NN
,	,
the	DT
mounted	VBN
eiko	NNP
,	,
and	CC
drawing	VBG
forth	RB
an	DT
arrow	NN
from	IN
the	DT
quiver	NN
at	IN
his	PRP$
back	NN
,	,
fitted	VBD
it	PRP
to	IN
his	PRP$
bow	NN
and	CC
drew	VBD
upon	IN
eiko	NNP
.	.
as	RB
quick	RB
as	IN
lightning	NN
the	DT
wary	JJ
eiko	NNP
avoided	VBD
the	DT
shaft	NN
,	,
which	WDT
only	RB
touched	VBD
his	PRP$
helmet	NN
strings	NNS
,	,
and	CC
glancing	VBG
off	RP
,	,
fell	VBD
harmless	JJ
against	IN
hako	NNP
's	POS
coat	NN
of	IN
armor	NN
.	.
the	DT
wizard	NN
saw	VBD
that	IN
both	PDT
his	PRP$
enemies	NNS
remained	VBD
unscathed	JJ
.	.
he	PRP
also	RB
knew	VBD
that	IN
there	EX
was	VBD
no	DT
time	NN
to	TO
pull	VB
a	DT
second	JJ
arrow	NN
before	IN
they	PRP
would	MD
be	VB
upon	IN
him	PRP
,	,
so	IN
to	TO
save	VB
himself	PRP
he	PRP
resorted	VBD
to	IN
magic	NN
.	.
he	PRP
stretched	VBD
forth	RB
his	PRP$
wand	NN
,	,
and	CC
immediately	RB
a	DT
great	JJ
flood	NN
arose	VBD
,	,
and	CC
jokwa	NNP
's	POS
army	NN
and	CC
her	PRP$
brave	JJ
young	JJ
generals	NNS
were	VBD
swept	VBN
away	RB
like	IN
a	DT
falling	VBG
of	IN
autumn	NN
leaves	NNS
on	IN
a	DT
stream	NN
.	.
hako	NNP
and	CC
eiko	NNP
found	VBD
themselves	PRP
struggling	VBG
neck	NN
deep	RB
in	IN
water	NN
,	,
and	CC
looking	VBG
round	RB
they	PRP
saw	VBD
the	DT
ferocious	JJ
kokai	NNP
making	VBG
towards	IN
them	PRP
through	IN
the	DT
water	NN
with	IN
his	PRP$
iron	NN
rod	NN
on	RB
high	JJ
.	.
they	PRP
thought	VBD
every	DT
moment	NN
that	IN
they	PRP
would	MD
be	VB
cut	VBN
down	RP
,	,
but	CC
they	PRP
bravely	RB
struck	VBD
out	RP
to	TO
swim	VB
as	RB
far	RB
as	IN
they	PRP
could	MD
from	IN
kokai	NNP
's	POS
reach	NN
.	.
all	RB
of	IN
a	DT
sudden	JJ
they	PRP
found	VBD
themselves	PRP
in	IN
front	NN
of	IN
what	WP
seemed	VBD
to	TO
be	VB
an	DT
island	NN
rising	VBG
straight	RB
out	IN
of	IN
the	DT
water	NN
.	.
they	PRP
looked	VBD
up	RP
,	,
and	CC
there	RB
stood	VBD
an	DT
old	JJ
man	NN
with	IN
hair	NN
as	RB
white	JJ
as	IN
snow	NN
,	,
smiling	VBG
at	IN
them	PRP
.	.
they	PRP
cried	VBD
to	IN
him	PRP
to	TO
help	VB
them	PRP
.	.
the	DT
old	JJ
man	NN
nodded	VBD
his	PRP$
head	NN
and	CC
came	VBD
down	RP
to	IN
the	DT
edge	NN
of	IN
the	DT
water	NN
.	.
as	RB
soon	RB
as	IN
his	PRP$
feet	NNS
touched	VBD
the	DT
flood	NN
it	PRP
divided	VBD
,	,
and	CC
a	DT
good	JJ
road	NN
appeared	VBD
,	,
to	IN
the	DT
amazement	NN
of	IN
the	DT
drowning	VBG
men	NNS
,	,
who	WP
now	RB
found	VBD
themselves	PRP
safe	JJ
.	.
kokai	NNP
had	VBD
by	IN
this	DT
time	NN
reached	VBN
the	DT
island	NN
which	WDT
had	VBD
risen	VBN
as	IN
if	IN
by	IN
a	DT
miracle	NN
out	IN
of	IN
the	DT
water	NN
,	,
and	CC
seeing	VBG
his	PRP$
enemies	NNS
thus	RB
saved	VBN
he	PRP
was	VBD
furious	JJ
.	.
he	PRP
rushed	VBD
through	IN
the	DT
water	NN
upon	IN
the	DT
old	JJ
man	NN
,	,
and	CC
it	PRP
seemed	VBD
as	IN
if	IN
he	PRP
would	MD
surely	RB
be	VB
killed	VBN
.	.
but	CC
the	DT
old	JJ
man	NN
appeared	VBD
not	RB
in	IN
the	DT
least	JJS
dismayed	JJ
,	,
and	CC
calmly	RB
awaited	VBD
the	DT
wizard	NN
's	POS
onslaught	NN
.	.
as	IN
kokai	NNP
drew	VBD
near	RB
,	,
the	DT
old	JJ
man	NN
laughed	VBD
aloud	RB
merrily	RB
,	,
and	CC
turning	VBG
into	IN
a	DT
large	JJ
and	CC
beautiful	JJ
white	JJ
crane	NN
,	,
flapped	VBD
his	PRP$
wings	NNS
and	CC
flew	VBD
upwards	RB
into	IN
the	DT
heavens	NNS
.	.
when	WRB
hako	NNP
and	CC
eiko	NNP
saw	VBD
this	DT
,	,
they	PRP
knew	VBD
that	IN
their	PRP$
deliverer	NN
was	VBD
no	DT
mere	JJ
human	NN
being	NN
was	VBD
perhaps	RB
a	DT
god	NN
in	IN
disguise	NN
and	CC
they	PRP
hoped	VBD
later	RB
on	RB
to	TO
find	VB
out	RP
who	WP
the	DT
venerable	JJ
old	JJ
man	NN
was	VBD
.	.
in	IN
the	DT
meantime	NN
they	PRP
had	VBD
retreated	VBN
,	,
and	CC
it	PRP
being	VBG
now	RB
the	DT
close	NN
of	IN
day	NN
,	,
for	IN
the	DT
sun	NN
was	VBD
setting	VBG
,	,
both	DT
kokai	NNP
and	CC
the	DT
young	JJ
warriors	NNS
gave	VBD
up	RP
the	DT
idea	NN
of	IN
fighting	VBG
more	RBR
that	DT
day	NN
.	.
that	DT
night	NN
hako	NNP
and	CC
eiko	NNP
decided	VBD
that	IN
it	PRP
was	VBD
useless	JJ
to	TO
fight	VB
against	IN
the	DT
wizard	NN
kokai	NNP
,	,
for	IN
he	PRP
had	VBD
supernatural	JJ
powers	NNS
,	,
while	IN
they	PRP
were	VBD
only	RB
human	JJ
.	.
so	RB
they	PRP
presented	VBD
themselves	PRP
before	IN
the	DT
empress	NNP
jokwa	NNP
.	.
after	IN
a	DT
long	JJ
consultation	NN
,	,
the	DT
empress	NN
decided	VBD
to	TO
ask	VB
the	DT
fire	NN
king	NN
,	,
shikuyu	NNP
,	,
to	TO
help	VB
her	PRP
against	IN
the	DT
rebel	JJ
wizard	NN
and	CC
to	TO
lead	VB
her	PRP$
army	NN
against	IN
him	PRP
.	.
