there	EX
from	IN
the	DT
time	NN
of	IN
the	DT
creation	NN
of	IN
the	DT
world	NN
a	DT
tall	JJ
tree	NN
,	,
reaching	VBG
to	IN
the	DT
sky	NN
,	,
grew	VBD
on	IN
the	DT
top	NN
of	IN
this	DT
hill	NN
,	,
and	CC
was	VBD
used	VBN
by	IN
the	DT
heavenly	JJ
beings	NNS
as	IN
a	DT
ladder	NN
to	TO
ascend	VB
and	CC
descend	VB
between	IN
heaven	NNP
and	CC
earth	NN
.	.
at	IN
that	DT
time	NN
the	DT
earth	NN
was	VBD
uninhabited	JJ
,	,
but	CC
all	DT
manner	NN
of	IN
trees	NNS
and	CC
flowers	NNS
grew	VBD
in	IN
abundance	NN
,	,
so	IN
that	IN
it	PRP
was	VBD
a	DT
very	RB
beautiful	JJ
and	CC
desirable	JJ
place	NN
,	,
and	CC
they	PRP
of	IN
heaven	NNP
frequently	RB
came	VBD
down	RB
to	TO
roam	VB
and	CC
to	TO
take	VB
their	PRP$
pleasure	NN
upon	IN
it	PRP
.	.
when	WRB
they	PRP
found	VBD
that	IN
the	DT
land	NN
in	IN
the	DT
neighbourhood	NN
of	IN
sophet	NNP
bneng	NNP
was	VBD
fertile	JJ
and	CC
goodly	JJ
,	,
they	PRP
began	VBD
to	TO
cultivate	VB
it	PRP
for	IN
profit	NN
,	,
but	CC
they	PRP
never	RB
stayed	VBD
overnight	RB
on	IN
the	DT
earth	NN
;	:
they	PRP
ascended	VBD
to	IN
heaven	NNP
,	,
according	VBG
to	IN
the	DT
decree	NN
.	.
altogether	RB
sixteen	CD
families	NNS
followed	VBD
the	DT
pastime	NN
of	IN
cultivating	VBG
the	DT
land	NN
upon	IN
the	DT
earth	NN
.	.
among	IN
the	DT
heavenly	JJ
beings	NNS
there	EX
was	VBD
one	CD
who	WP
greatly	RB
coveted	VBD
power	NN
,	,
and	CC
was	VBD
unwilling	JJ
to	TO
remain	VB
the	DT
subject	NN
of	IN
his	PRP$
creator	NN
,	,
and	CC
aspired	VBD
to	TO
rule	VB
over	IN
his	PRP$
brethren	NNS
.	.
he	PRP
was	VBD
constantly	RB
seeking	VBG
for	IN
opportunities	NNS
whereby	WRB
to	TO
realise	VB
his	PRP$
ambitions	NNS
.	.
one	CD
day	NN
it	PRP
happened	VBD
that	IN
seven	CD
families	NNS
only	RB
of	IN
the	DT
cultivators	NNS
chose	VBD
to	TO
descend	VB
to	IN
the	DT
earth	NN
,	,
the	DT
other	JJ
nine	CD
remaining	VBG
in	IN
heaven	NNP
that	DT
day	NN
.	.
when	WRB
they	PRP
were	VBD
busy	JJ
at	IN
work	NN
in	IN
their	PRP$
fields	NNS
,	,
the	DT
ambitious	JJ
one	CD
covertly	RB
left	VBD
his	PRP$
brethren	NNS
,	,
and	CC
,	,
taking	VBG
his	PRP$
axe	NN
secretly	RB
,	,
he	PRP
cut	VBD
down	RP
the	DT
tree	NN
of	IN
communication	NN
,	,
so	IN
that	IN
the	DT
seven	CD
families	NNS
could	MD
not	RB
return	VB
to	IN
their	PRP$
heavenly	JJ
home	NN
.	.
thus	RB
it	PRP
was	VBD
that	IN
mankind	NN
came	VBD
to	TO
live	VB
on	IN
the	DT
earth	NN
,	,
and	CC
it	PRP
is	VBZ
from	IN
these	DT
seven	CD
families	NNS
called	VBN
by	IN
the	DT
khasis	NNPS
"	``
ki	FW
hinniew	FW
skum	FW
"	''
(	-LRB-
the	DT
seven	CD
nests	NNS
,	,
or	CC
the	DT
seven	CD
roots	NNS
)	-RRB-
who	WP
descended	VBD
from	IN
heaven	NNP
on	IN
that	DT
fatal	JJ
day	NN
that	WDT
all	PDT
the	DT
nations	NNS
of	IN
the	DT
earth	NN
have	VBP
sprung	VBN
.	.
iii	CD
how	WRB
the	DT
peacock	NN
got	VBD
his	PRP$
beautiful	JJ
feathers	NNS
when	WRB
the	DT
world	NN
was	VBD
young	JJ
and	CC
when	WRB
all	PDT
the	DT
animals	NNS
spoke	VBD
the	DT
language	NN
of	IN
mankind	NN
,	,
the	DT
peacock	NN
,	,
u	NNP
klew	NNP
,	,
was	VBD
but	CC
an	DT
ordinary	JJ
grey	JJ
-	HYPH
feathered	JJ
bird	NN
without	IN
any	DT
pretensions	NNS
to	IN
beauty	NN
.	.
but	CC
,	,
even	RB
in	IN
those	DT
days	NNS
,	,
he	PRP
was	VBD
much	RB
given	VBN
to	IN
pride	NN
and	CC
vanity	NN
,	,
and	CC
strutted	VBD
about	RB
with	IN
all	PDT
the	DT
majesty	NN
of	IN
royalty	NN
,	,
just	RB
because	IN
his	PRP$
tuft	NN
was	VBD
more	RBR
erect	JJ
than	IN
the	DT
tuft	NN
of	IN
other	JJ
birds	NNS
and	CC
because	IN
his	PRP$
tail	NN
was	VBD
longer	JJR
and	CC
was	VBD
carried	VBN
with	IN
more	JJR
grace	NN
than	IN
the	DT
tails	NNS
of	IN
any	DT
of	IN
his	PRP$
companions	NNS
.	.
he	PRP
was	VBD
a	DT
very	RB
unaccommodating	JJ
neighbour	NN
.	.
his	PRP$
tail	NN
was	VBD
so	RB
big	JJ
and	CC
unwieldy	JJ
that	IN
he	PRP
could	MD
not	RB
enter	VB
the	DT
houses	NNS
of	IN
the	DT
more	RBR
lowly	JJ
birds	NNS
,	,
so	IN
he	PRP
always	RB
attended	VBD
the	DT
courts	NNS
of	IN
the	DT
great	JJ
,	,
and	CC
was	VBD
entertained	VBN
by	IN
one	CD
or	CC
other	JJ
of	IN
the	DT
wealthy	JJ
birds	NNS
at	IN
times	NNS
of	IN
festivals	NNS
in	IN
the	DT
jungle	NN
.	.
this	DT
increased	VBD
his	PRP$
high	JJ
opinion	NN
of	IN
himself	PRP
and	CC
added	VBD
to	IN
his	PRP$
self	NN
-	HYPH
importance	NN
.	.
he	PRP
became	VBD
so	RB
haughty	JJ
and	CC
overbearing	JJ
that	IN
he	PRP
was	VBD
cordially	RB
disliked	VBN
by	IN
his	PRP$
neighbours	NNS
,	,
who	WP
endeavoured	VBD
to	TO
repay	VB
him	PRP
by	IN
playing	VBG
many	PDT
a	DT
jest	NN
at	IN
his	PRP$
expense	NN
.	.
they	PRP
used	VBD
to	TO
flatter	VB
him	PRP
,	,
pretending	VBG
that	IN
they	PRP
held	VBD
him	PRP
in	IN
very	RB
high	JJ
esteem	NN
,	,
simply	RB
for	IN
the	DT
amusement	NN
of	IN
seeing	VBG
him	PRP
swelling	VBG
his	PRP$
chest	NN
and	CC
hearing	VBG
him	PRP
boast	VB
.	.
one	CD
day	NN
they	PRP
pretended	VBD
that	IN
a	DT
great	JJ
durbar	NN
of	IN
the	DT
birds	NNS
had	VBD
been	VBN
held	VBN
to	TO
select	VB
an	DT
ambassador	NN
to	TO
carry	VB
the	DT
greetings	NNS
of	IN
the	DT
jungle	NN
birds	NNS
to	IN
the	DT
beautiful	JJ
maiden	NN
ka	NNP
sngi	NNP
,	,
who	WP
ruled	VBD
in	IN
the	DT
blue	JJ
realm	NN
and	CC
poured	VBD
her	PRP$
bright	JJ
light	NN
so	RB
generously	RB
on	IN
their	PRP$
world	NN
,	,
and	CC
that	IN
u	NNP
klew	NNP
had	VBD
been	VBN
chosen	VBN
for	IN
this	DT
great	JJ
honour	NN
.	.
the	DT
peacock	NN
was	VBD
very	RB
elated	JJ
and	CC
became	VBD
more	RBR
swaggering	JJ
than	IN
ever	RB
,	,
and	CC
talked	VBD
of	IN
his	PRP$
coming	VBG
visit	NN
with	IN
great	JJ
boastings	NNS
,	,
saying	VBG
that	IN
not	RB
only	RB
was	VBD
he	PRP
going	VBG
as	IN
the	DT
ambassador	NN
from	IN
the	DT
birds	NNS
,	,
but	CC
he	PRP
was	VBD
going	VBG
in	IN
his	PRP$
own	JJ
interests	NNS
as	RB
well	RB
,	,
and	CC
that	IN
he	PRP
would	MD
woo	VB
and	CC
win	VB
the	DT
royal	JJ
maiden	NN
for	IN
his	PRP$
wife	NN
and	CC
live	VB
with	IN
her	PRP
in	IN
the	DT
blue	JJ
realm	NN
.	.
the	DT
birds	NNS
enjoyed	VBD
much	JJ
secret	JJ
fun	NN
at	IN
his	PRP$
expense	NN
,	,
none	NN
of	IN
them	PRP
dreaming	VBG
that	IN
he	PRP
would	MD
be	VB
foolish	JJ
enough	RB
to	TO
make	VB
the	DT
attempt	NN
to	TO
fly	VB
so	RB
far	RB
,	,
for	IN
he	PRP
was	VBD
such	PDT
a	DT
heavy	JJ
-	HYPH
bodied	JJ
bird	NN
and	CC
had	VBD
never	RB
flown	VBN
higher	RBR
than	IN
a	DT
tree	NN
-	HYPH
top	NN
.	.
but	CC
much	RB
to	IN
the	DT
surprise	NN
of	IN
every	DT
one	CD
,	,
the	DT
peacock	NN
expressed	VBD
his	PRP$
intention	NN
of	IN
starting	VBG
to	IN
the	DT
blue	NNP
realm	NNP
and	CC
bade	VB
his	PRP$
friends	NNS
good	UH
-	HYPH
bye	UH
,	,
they	PRP
laughing	VBG
among	IN
themselves	PRP
,	,
thinking	VBG
how	WRB
ridiculous	JJ
he	PRP
was	VBD
making	VBG
himself	PRP
,	,
and	CC
how	WRB
angry	JJ
he	PRP
would	MD
be	VB
when	WRB
he	PRP
found	VBD
how	WRB
he	PRP
had	VBD
been	VBN
duped	VBN
.	.
contrary	RB
to	IN
their	PRP$
expectations	NNS
,	,
however	RB
,	,
u	NNP
klew	NNP
continued	VBD
his	PRP$
flight	NN
upwards	RB
till	IN
they	PRP
lost	VBD
sight	NN
of	IN
him	PRP
,	,
and	CC
they	PRP
marvelled	VBD
and	CC
became	VBD
afraid	JJ
,	,
not	RB
knowing	VBG
to	TO
what	WDT
danger	NN
their	PRP$
jest	NN
might	MD
drive	VB
him	PRP
.	.
strong	JJ
on	IN
the	DT
wing	NN
,	,
u	NNP
klew	NNP
soared	VBD
higher	RBR
and	CC
higher	RBR
,	,
never	RB
halting	VBG
till	IN
he	PRP
reached	VBD
the	DT
sky	NN
and	CC
alighted	VBD
at	IN
the	DT
palace	NN
of	IN
ka	NNP
sngi	NNP
,	,
the	DT
most	RBS
beautiful	JJ
of	IN
all	DT
maidens	NNS
and	CC
the	DT
most	RBS
good	JJ
.	.
now	RB
ka	NNP
sngi	NNP
was	VBD
destined	VBN
to	TO
live	VB
alone	JJ
in	IN
her	PRP$
grand	JJ
palace	NN
,	,
and	CC
her	PRP$
heart	NN
often	RB
yearned	VBD
for	IN
companionship	NN
.	.
when	WRB
she	PRP
saw	VBD
that	IN
a	DT
stranger	NN
had	VBD
alighted	VBN
at	IN
her	PRP$
gates	NNS
she	PRP
rejoiced	VBD
greatly	RB
,	,
and	CC
hastened	VBD
to	TO
receive	VB
him	PRP
with	IN
courtesy	NN
and	CC
welcome	NN
.	.
when	WRB
she	PRP
learned	VBD
the	DT
errand	NN
upon	IN
which	WDT
he	PRP
had	VBD
come	VBN
,	,
she	PRP
was	VBD
still	RB
happier	JJR
,	,
for	IN
she	PRP
thought	VBD
,	,
"	``
i	PRP
shall	MD
never	RB
pine	VB
for	IN
companionship	NN
again	RB
,	,
for	IN
this	DT
noble	JJ
bird	NN
will	MD
always	RB
live	VB
with	IN
me	PRP
"	''
;	:
and	CC
she	PRP
smiled	VBD
upon	IN
the	DT
world	NN
and	CC
was	VBD
glad	JJ
.	.
in	IN
their	PRP$
great	JJ
misery	NN
they	PRP
sought	VBD
counsel	NN
of	IN
mankind	NN
,	,
whom	WP
they	PRP
knew	VBD
to	TO
be	VB
wiser	JJR
than	IN
any	DT
of	IN
the	DT
animals	NNS
.	.
by	IN
means	NNS
of	IN
divinations	NNS
mankind	NN
ascertained	VBD
that	IN
all	PDT
these	DT
misfortunes	NNS
were	VBD
due	JJ
to	IN
the	DT
presence	NN
of	IN
u	NNP
klew	NNP
in	IN
the	DT
blue	JJ
realm	NN
,	,
for	IN
his	PRP$
selfish	JJ
disposition	NN
prevented	VBD
ka	NNP
sngi	NNP
from	IN
bestowing	VBG
her	PRP$
light	NN
and	CC
her	PRP$
smiles	NNS
upon	IN
the	DT
world	NN
as	IN
in	IN
former	JJ
times	NNS
;	:
and	CC
there	EX
was	VBD
no	DT
hope	NN
for	IN
prosperity	NN
until	IN
u	NNP
klew	NNP
could	MD
be	VB
lured	VBN
back	RB
to	IN
jungle	NN
-	HYPH
land	NN
.	.
when	WRB
the	DT
birds	NNS
came	VBD
to	TO
seek	VB
counsel	NN
of	IN
her	PRP
she	PRP
was	VBD
very	RB
pleased	JJ
,	,
hoping	VBG
that	IN
she	PRP
could	MD
by	IN
some	DT
design	NN
force	VB
them	PRP
to	TO
promise	VB
not	RB
to	TO
rob	VB
her	PRP$
garden	NN
.	.
after	IN
they	PRP
had	VBD
explained	VBN
to	IN
her	PRP
their	PRP$
trouble	NN
,	,
she	PRP
undertook	VBD
to	TO
bring	VB
u	NNP
klew	NNP
back	RB
to	IN
the	DT
jungle	NN
within	IN
thirteen	CD
moons	NNS
on	IN
two	CD
conditions	NNS
one	CD
,	,
that	IN
the	DT
birds	NNS
should	MD
refrain	VB
from	IN
picking	VBG
the	DT
seeds	NNS
from	IN
her	PRP$
garden	NN
;	:
the	DT
other	JJ
,	,
that	IN
they	PRP
should	MD
torment	VB
the	DT
animals	NNS
if	IN
they	PRP
came	VBD
to	TO
eat	VB
her	PRP$
crops	NNS
or	CC
to	TO
trample	VB
on	IN
her	PRP$
land	NN
.	.
these	DT
appeared	VBD
such	JJ
easy	JJ
terms	NNS
that	IN
the	DT
birds	NNS
readily	RB
agreed	VBD
to	IN
them	PRP
.	.
she	PRP
shaped	VBD
her	PRP$
mustard	NN
bed	NN
like	IN
unto	IN
the	DT
form	NN
of	IN
a	DT
woman	NN
;	:
this	DT
provoked	VBD
the	DT
mirth	NN
of	IN
her	PRP$
neighbours	NNS
still	RB
more	RBR
and	CC
incited	VBD
many	JJ
questions	NNS
from	IN
them	PRP
,	,
but	CC
ka	NNP
sabuit	NNP
took	VBD
no	DT
heed	NN
.	.
she	PRP
worked	VBD
patiently	RB
on	IN
and	CC
kept	VBD
her	PRP$
own	JJ
counsel	NN
while	IN
the	DT
birds	NNS
waited	VBD
and	CC
watched	VBD
.	.
by	IN
and	CC
by	IN
the	DT
seeds	NNS
sprouted	VBD
and	CC
the	DT
plot	NN
of	IN
land	NN
shaped	VBN
like	IN
a	DT
woman	NN
became	VBD
covered	VBN
with	IN
glistening	VBG
green	JJ
leaves	NNS
,	,
while	IN
the	DT
birds	NNS
continued	VBD
to	TO
watch	VB
and	CC
to	TO
keep	VB
the	DT
animals	NNS
at	IN
bay	NN
,	,
and	CC
the	DT
cunning	JJ
woman	NN
watered	VBD
and	CC
tended	VBD
her	PRP$
garden	NN
,	,
keeping	VBG
her	PRP$
own	JJ
counsel	NN
.	.
in	IN
time	NN
small	JJ
yellow	JJ
flowers	NNS
appeared	VBD
on	IN
all	PDT
the	DT
mustard	NN
plants	NNS
,	,
so	IN
that	IN
the	DT
plot	NN
of	IN
land	NN
shaped	VBN
like	IN
a	DT
woman	NN
looked	VBD
in	IN
the	DT
distance	NN
like	IN
a	DT
beautiful	JJ
maiden	NN
wearing	VBG
a	DT
mantle	NN
of	IN
gold	NN
that	WDT
dazzled	VBD
the	DT
eyes	NNS
.	.
when	WRB
the	DT
neighbours	NNS
saw	VBD
it	PRP
they	PRP
wondered	VBD
at	IN
the	DT
beauty	NN
of	IN
it	PRP
and	CC
admired	VBD
the	DT
skill	NN
of	IN
the	DT
cunning	JJ
woman	NN
;	:
but	CC
no	DT
one	PRP
could	MD
understand	VB
or	CC
guess	VB
at	IN
her	PRP$
reason	NN
for	IN
the	DT
strange	JJ
freak	NN
and	CC
ka	NNP
sabuit	NNP
threw	VBD
no	DT
light	NN
on	IN
the	DT
matter	NN
.	.
she	PRP
still	RB
patiently	RB
worked	VBD
on	RP
and	CC
kept	VBD
her	PRP$
own	JJ
counsel	NN
.	.
up	IN
in	IN
the	DT
blue	JJ
realm	NN
u	NNP
klew	NNP
continued	VBD
his	PRP$
despotic	JJ
and	CC
arrogant	JJ
sway	NN
,	,
while	IN
his	PRP$
gentle	JJ
and	CC
noble	JJ
wife	NN
spared	VBD
no	DT
pains	NNS
to	TO
gratify	VB
his	PRP$
every	DT
wish	NN
.	.
like	IN
all	DT
pampered	VBN
people	NNS
who	WP
are	VBP
given	VBN
all	DT
their	PRP$
desires	NNS
,	,
the	DT
peacock	NN
became	VBD
fretful	JJ
and	CC
more	RBR
and	CC
more	RBR
difficult	JJ
to	TO
please	VB
,	,
tiring	VBG
of	IN
every	DT
diversion	NN
,	,
and	CC
ever	RB
seeking	VBG
some	DT
new	JJ
source	NN
of	IN
indulgence	NN
,	,
till	IN
at	IN
last	RB
nothing	NN
seemed	VBD
to	TO
satisfy	VB
him	PRP
;	:
even	RB
the	DT
splendours	NNS
and	CC
magnificence	NN
of	IN
the	DT
palace	NNP
of	IN
ka	NNP
sngi	NNP
began	VBD
to	TO
pall	VB
.	.
every	DT
morning	NN
,	,
it	PRP
is	VBZ
said	VBN
,	,
the	DT
peacock	NN
can	MD
be	VB
seen	VBN
stretching	VBG
forth	RB
his	PRP$
neck	NN
towards	IN
the	DT
sky	NN
and	CC
flapping	VBG
his	PRP$
wings	NNS
to	TO
greet	VB
the	DT
coming	NN
of	IN
ka	NNP
sngi	NNP
;	:
and	CC
the	DT
only	JJ
happiness	NN
left	VBN
to	IN
him	PRP
is	VBZ
to	TO
spread	VB
his	PRP$
lovely	JJ
feathers	NNS
to	TO
catch	VB
the	DT
beams	NNS
which	WDT
she	PRP
once	RB
more	RBR
sheds	VBZ
upon	IN
the	DT
earth	NN
.	.
iv	XX
the	DT
goddess	NNP
who	WP
came	VBD
to	TO
live	VB
with	IN
mankind	NN
(	-LRB-
a	DT
legend	NN
of	IN
the	DT
shillong	NNP
peak	NNP
)	-RRB-
shillong	NNP
peak	NNP
is	VBZ
the	DT
highest	JJS
mountain	NN
in	IN
the	DT
khasi	NNP
hills	NNPS
,	,
and	CC
although	IN
it	PRP
bears	VBZ
such	PDT
a	DT
prosaic	JJ
name	NN
in	IN
our	PRP$
days	NNS
,	,
the	DT
mountain	NN
was	VBD
a	DT
place	NN
of	IN
renown	NN
in	IN
the	DT
days	NNS
of	IN
the	DT
ancient	JJ
khasis	NNPS
,	,
full	JJ
of	IN
romance	NN
and	CC
mystery	NN
,	,
sacred	JJ
to	IN
the	DT
spirits	NNS
and	CC
to	IN
the	DT
gods	NNS
.	.
in	IN
those	DT
days	NNS
the	DT
mountain	NN
itself	PRP
,	,
and	CC
the	DT
whole	JJ
country	NN
to	IN
the	DT
north	NN
of	IN
it	PRP
,	,
was	VBD
one	CD
vast	JJ
forest	NN
,	,
where	WRB
dwelt	VBD
demons	NNS
and	CC
dragons	NNS
,	,
who	WP
cast	VBD
evil	JJ
spells	NNS
and	CC
caused	VBD
dire	JJ
sickness	NN
to	TO
fall	VB
upon	IN
any	DT
unfortunate	JJ
person	NN
who	WP
happened	VBD
to	TO
spend	VB
a	DT
night	NN
in	IN
that	DT
wild	JJ
forest	NN
.	.
possibly	RB
the	DT
god	NNP
shillong	NNP
was	VBD
,	,
and	CC
remains	VBZ
,	,
one	CD
of	IN
the	DT
best	RBS
-	HYPH
known	VBN
and	CC
most	RBS
generally	RB
reverenced	VBN
of	IN
all	PDT
the	DT
khasi	NNP
gods	NNS
,	,
for	IN
even	RB
on	IN
the	DT
far	JJ
hill	NN
-	HYPH
tops	NNS
of	IN
jaintia	NNP
altars	NNS
have	VBP
been	VBN
raised	VBN
to	IN
his	PRP$
service	NN
and	CC
honour	NN
.	.
although	IN
sacrifices	NNS
are	VBP
being	VBG
offered	VBN
to	IN
him	PRP
at	IN
distant	JJ
shrines	NNS
,	,
the	DT
abode	NN
of	IN
the	DT
god	NN
is	VBZ
in	IN
the	DT
shillong	NNP
mountain	NNP
,	,
more	RBR
especially	RB
in	IN
the	DT
sacred	JJ
grove	NNP
on	IN
the	DT
summit	NN
of	IN
the	DT
peak	NN
itself	PRP
,	,
which	WDT
is	VBZ
such	PDT
a	DT
familiar	JJ
landmark	NN
in	IN
the	DT
country	NN
.	.
tradition	NN
also	RB
points	VBZ
out	RP
that	IN
this	DT
famous	JJ
deity	NN
had	VBD
a	DT
wife	NN
and	CC
family	NN
,	,
and	CC
three	CD
at	IN
least	JJS
of	IN
his	PRP$
daughters	NNS
are	VBP
renowned	VBN
in	IN
khasi	JJ
folk	NN
-	HYPH
lore	NN
.	.
one	CD
of	IN
them	PRP
transformed	VBD
herself	PRP
into	IN
the	DT
likeness	NN
of	IN
a	DT
khasi	JJ
maiden	NN
and	CC
came	VBD
to	TO
live	VB
with	IN
mankind	NN
,	,
where	WRB
she	PRP
became	VBD
the	DT
ancestress	NN
of	IN
a	DT
race	NN
of	IN
chiefs	NNS
.	.
two	CD
other	JJ
daughters	NNS
,	,
out	IN
of	IN
playfulness	NN
,	,
transformed	VBD
themselves	PRP
into	IN
two	CD
rivers	NNS
,	,
and	CC
are	VBP
with	IN
us	PRP
in	IN
that	DT
form	NN
to	IN
this	DT
day	NN
.	.
this	DT
is	VBZ
the	DT
story	NN
of	IN
the	DT
goddess	NN
who	WP
came	VBD
to	TO
live	VB
with	IN
mankind	NN
many	JJ
hundreds	NNS
of	IN
years	NNS
ago	RB
,	,
near	IN
the	DT
place	NN
now	RB
known	VBN
as	IN
pomlakrai	NNP
,	,
there	EX
was	VBD
a	DT
cave	NN
called	VBN
the	DT
cave	NNP
of	IN
marai	NNP
,	,
near	IN
to	IN
which	WDT
stood	VBD
a	DT
high	JJ
perpendicular	JJ
rock	NN
around	IN
which	WDT
the	DT
youthful	JJ
cow	NN
-	HYPH
herds	NNS
of	IN
the	DT
time	NN
used	VBD
to	TO
play	VB
.	.
they	PRP
gathered	VBD
there	RB
from	IN
different	JJ
directions	NNS
,	,
and	CC
passed	VBD
the	DT
time	NN
merrily	RB
,	,
practising	VBG
archery	NN
and	CC
playing	VBG
on	IN
their	PRP$
flutes	NNS
,	,
while	IN
keeping	VBG
an	DT
eye	NN
on	IN
their	PRP$
herds	NNS
.	.
the	DT
rock	NN
was	VBD
too	RB
high	JJ
for	IN
them	PRP
to	TO
attempt	VB
to	TO
climb	VB
it	PRP
,	,
and	CC
it	PRP
was	VBD
always	RB
spoken	VBN
of	IN
as	IN
"	``
the	DT
rock	NN
on	IN
which	WDT
the	DT
foot	NN
of	IN
man	NN
never	RB
trod	VBD
.	.
"	''
