*	NFP
next	JJ
day	NN
.	.
the	DT
next	JJ
thing	NN
i	PRP
laid	VBD
hold	NN
of	IN
was	VBD
a	DT
brace	NN
of	IN
pistols	NNS
,	,
and	CC
as	IN
i	PRP
already	RB
had	VBD
a	DT
powder	NN
-	HYPH
horn	NN
and	CC
bullets	NNS
,	,
i	PRP
felt	VBD
myself	PRP
well	RB
supplied	VBN
with	IN
arms	NNS
.	.
well	UH
,	,
as	IN
things	NNS
at	IN
last	RB
fell	VBD
out	RP
,	,
i	PRP
found	VBD
an	DT
admirable	JJ
opportunity	NN
.	.
the	DT
squire	NN
and	CC
gray	NN
were	VBD
busy	JJ
helping	VBG
the	DT
captain	NN
with	IN
his	PRP$
bandages	NNS
,	,
the	DT
coast	NN
was	VBD
clear	JJ
,	,
i	PRP
made	VBD
a	DT
bolt	NN
for	IN
it	PRP
over	IN
the	DT
stockade	NN
and	CC
into	IN
the	DT
thickest	JJS
of	IN
the	DT
trees	NNS
,	,
and	CC
before	IN
my	PRP$
absence	NN
was	VBD
observed	VBN
i	PRP
was	VBD
out	IN
of	IN
cry	NN
of	IN
my	PRP$
companions	NNS
.	.
this	DT
was	VBD
my	PRP$
second	JJ
folly	NN
,	,
far	RB
worse	JJR
than	IN
the	DT
first	JJ
,	,
as	IN
i	PRP
left	VBD
but	RB
two	CD
sound	JJ
men	NNS
to	TO
guard	VB
the	DT
house	NN
;	:
but	CC
like	IN
the	DT
first	JJ
,	,
it	PRP
was	VBD
a	DT
help	NN
towards	IN
saving	VBG
all	DT
of	IN
us	PRP
.	.
i	PRP
have	VBP
never	RB
seen	VBN
the	DT
sea	NN
quiet	JJ
round	IN
treasure	NNP
island	NNP
.	.
the	DT
sun	NN
might	MD
blaze	VB
overhead	RB
,	,
the	DT
air	NN
be	VB
without	IN
a	DT
breath	NN
,	,
the	DT
surface	NN
smooth	JJ
and	CC
blue	JJ
,	,
but	CC
still	RB
these	DT
great	JJ
rollers	NNS
would	MD
be	VB
running	VBG
along	IN
all	PDT
the	DT
external	JJ
coast	NN
,	,
thundering	VBG
and	CC
thundering	VBG
by	IN
day	NN
and	CC
night	NN
;	:
and	CC
i	PRP
scarce	RB
believe	VBP
there	EX
is	VBZ
one	CD
spot	NN
in	IN
the	DT
island	NN
where	WRB
a	DT
man	NN
would	MD
be	VB
out	IN
of	IN
earshot	NN
of	IN
their	PRP$
noise	NN
.	.
i	PRP
walked	VBD
along	RB
beside	IN
the	DT
surf	NN
with	IN
great	JJ
enjoyment	NN
,	,
till	IN
,	,
thinking	VBG
i	PRP
was	VBD
now	RB
got	VBN
far	RB
enough	RB
to	IN
the	DT
south	NN
,	,
i	PRP
took	VBD
the	DT
cover	NN
of	IN
some	DT
thick	JJ
bushes	NNS
and	CC
crept	VBD
warily	RB
up	IN
to	IN
the	DT
ridge	NN
of	IN
the	DT
spit	NN
.	.
behind	IN
me	PRP
was	VBD
the	DT
sea	NN
,	,
in	IN
front	NN
the	DT
anchorage	NN
.	.
the	DT
sea	NN
breeze	NN
,	,
as	IN
though	IN
it	PRP
had	VBD
the	DT
sooner	RBR
blown	VBN
itself	PRP
out	RP
by	IN
its	PRP$
unusual	JJ
violence	NN
,	,
was	VBD
already	RB
at	IN
an	DT
end	NN
;	:
it	PRP
had	VBD
been	VBN
succeeded	VBN
by	IN
light	JJ
,	,
variable	JJ
airs	NNS
from	IN
the	DT
south	NN
and	CC
south	NN
-	HYPH
east	NN
,	,
carrying	VBG
great	JJ
banks	NNS
of	IN
fog	NN
;	:
and	CC
the	DT
anchorage	NN
,	,
under	IN
lee	NNP
of	IN
skeleton	NNP
island	NNP
,	,
lay	VBD
still	JJ
and	CC
leaden	JJ
as	IN
when	WRB
first	RB
we	PRP
entered	VBD
it	PRP
.	.
the	DT
hispaniola	NNP
,	,
in	IN
that	DT
unbroken	JJ
mirror	NN
,	,
was	VBD
exactly	RB
portrayed	VBN
from	IN
the	DT
truck	NN
to	IN
the	DT
waterline	NN
,	,
the	DT
jolly	NNP
roger	NNP
hanging	VBG
from	IN
her	PRP$
peak	NN
.	.
soon	RB
after	RB
,	,
the	DT
jolly	NNP
-	HYPH
boat	NN
shoved	VBD
off	RP
and	CC
pulled	VBD
for	IN
shore	NN
,	,
and	CC
the	DT
man	NN
with	IN
the	DT
red	JJ
cap	NN
and	CC
his	PRP$
comrade	NN
went	VBD
below	RB
by	IN
the	DT
cabin	NN
companion	NN
.	.
just	RB
about	RB
the	DT
same	JJ
time	NN
,	,
the	DT
sun	NN
had	VBD
gone	VBN
down	RP
behind	IN
the	DT
spy	NN
-	HYPH
glass	NN
,	,
and	CC
as	IN
the	DT
fog	NN
was	VBD
collecting	VBG
rapidly	RB
,	,
it	PRP
began	VBD
to	TO
grow	VB
dark	JJ
in	IN
earnest	JJ
.	.
i	PRP
saw	VBD
i	PRP
must	MD
lose	VB
no	DT
time	NN
if	IN
i	PRP
were	VBD
to	TO
find	VB
the	DT
boat	NN
that	DT
evening	NN
.	.
i	PRP
dropped	VBD
into	IN
the	DT
hollow	NN
,	,
lifted	VBD
the	DT
side	NN
of	IN
the	DT
tent	NN
,	,
and	CC
there	EX
was	VBD
ben	NNP
gunn	NNP
's	POS
boat	NN
home	RB
-	HYPH
made	VBN
if	IN
ever	RB
anything	NN
was	VBD
home	RB
-	HYPH
made	VBN
;	:
a	DT
rude	JJ
,	,
lop	JJ
-	HYPH
sided	JJ
framework	NN
of	IN
tough	JJ
wood	NN
,	,
and	CC
stretched	VBD
upon	IN
that	DT
a	DT
covering	NN
of	IN
goat	NN
-	HYPH
skin	NN
,	,
with	IN
the	DT
hair	NN
inside	RB
.	.
the	DT
thing	NN
was	VBD
extremely	RB
small	JJ
,	,
even	RB
for	IN
me	PRP
,	,
and	CC
i	PRP
can	MD
hardly	RB
imagine	VB
that	IN
it	PRP
could	MD
have	VB
floated	VBN
with	IN
a	DT
full	JJ
-	HYPH
sized	JJ
man	NN
.	.
there	EX
was	VBD
one	CD
thwart	NN
set	VBN
as	RB
low	RB
as	IN
possible	JJ
,	,
a	DT
kind	NN
of	IN
stretcher	NN
in	IN
the	DT
bows	NNS
,	,
and	CC
a	DT
double	JJ
paddle	NN
for	IN
propulsion	NN
.	.
i	PRP
had	VBD
not	RB
then	RB
seen	VBN
a	DT
coracle	NN
,	,
such	JJ
as	IN
the	DT
ancient	JJ
britons	NNS
made	VBN
,	,
but	CC
i	PRP
have	VBP
seen	VBN
one	CD
since	IN
,	,
and	CC
i	PRP
can	MD
give	VB
you	PRP
no	DT
fairer	JJR
idea	NN
of	IN
ben	NNP
gunn	NNP
's	POS
boat	NN
than	IN
by	IN
saying	VBG
it	PRP
was	VBD
like	IN
the	DT
first	JJ
and	CC
the	DT
worst	JJS
coracle	NN
ever	RB
made	VBN
by	IN
man	NN
.	.
but	CC
the	DT
great	JJ
advantage	NN
of	IN
the	DT
coracle	NN
it	PRP
certainly	RB
possessed	VBD
,	,
for	IN
it	PRP
was	VBD
exceedingly	RB
light	JJ
and	CC
portable	JJ
.	.
down	RB
i	PRP
sat	VBD
to	TO
wait	VB
for	IN
darkness	NN
,	,
and	CC
made	VBD
a	DT
hearty	JJ
meal	NN
of	IN
biscuit	NN
.	.
it	PRP
was	VBD
a	DT
night	NN
out	IN
of	IN
ten	CD
thousand	CD
for	IN
my	PRP$
purpose	NN
.	.
the	DT
fog	NN
had	VBD
now	RB
buried	VBN
all	DT
heaven	NN
.	.
as	IN
the	DT
last	JJ
rays	NNS
of	IN
daylight	NN
dwindled	VBD
and	CC
disappeared	VBD
,	,
absolute	JJ
blackness	NN
settled	VBD
down	RP
on	IN
treasure	NNP
island	NNP
.	.
and	CC
when	WRB
,	,
at	IN
last	RB
,	,
i	PRP
shouldered	VBD
the	DT
coracle	NN
and	CC
groped	VBD
my	PRP$
way	NN
stumblingly	RB
out	IN
of	IN
the	DT
hollow	NN
where	WRB
i	PRP
had	VBD
supped	VBN
,	,
there	EX
were	VBD
but	RB
two	CD
points	NNS
visible	JJ
on	IN
the	DT
whole	JJ
anchorage	NN
.	.
one	CD
was	VBD
the	DT
great	JJ
fire	NN
on	IN
shore	NN
,	,
by	IN
which	WDT
the	DT
defeated	VBN
pirates	NNS
lay	VBD
carousing	VBG
in	IN
the	DT
swamp	NN
.	.
the	DT
other	JJ
,	,
a	DT
mere	JJ
blur	NN
of	IN
light	NN
upon	IN
the	DT
darkness	NN
,	,
indicated	VBD
the	DT
position	NN
of	IN
the	DT
anchored	VBN
ship	NN
.	.
she	PRP
had	VBD
swung	VBN
round	RB
to	IN
the	DT
ebb	NN
her	PRP$
bow	NN
was	VBD
now	RB
towards	IN
me	PRP
the	DT
only	JJ
lights	NNS
on	IN
board	NN
were	VBD
in	IN
the	DT
cabin	NN
,	,
and	CC
what	WP
i	PRP
saw	VBD
was	VBD
merely	RB
a	DT
reflection	NN
on	IN
the	DT
fog	NN
of	IN
the	DT
strong	JJ
rays	NNS
that	WDT
flowed	VBD
from	IN
the	DT
stern	JJ
window	NN
.	.
the	DT
ebb	NNP
had	VBD
already	RB
run	VBN
some	DT
time	NN
,	,
and	CC
i	PRP
had	VBD
to	TO
wade	VB
through	IN
a	DT
long	JJ
belt	NN
of	IN
swampy	JJ
sand	NN
,	,
where	WRB
i	PRP
sank	VBD
several	JJ
times	NNS
above	IN
the	DT
ankle	NN
,	,
before	IN
i	PRP
came	VBD
to	IN
the	DT
edge	NN
of	IN
the	DT
retreating	VBG
water	NN
,	,
and	CC
wading	VBG
a	DT
little	JJ
way	NN
in	RB
,	,
with	IN
some	DT
strength	NN
and	CC
dexterity	NN
,	,
set	VBD
my	PRP$
coracle	NN
,	,
keel	NN
downwards	RB
,	,
on	IN
the	DT
surface	NN
.	.
23	CD
the	DT
ebb	NN
-	HYPH
tide	NN
runs	VBZ
the	DT
coracle	NN
as	IN
i	PRP
had	VBD
ample	JJ
reason	NN
to	TO
know	VB
before	IN
i	PRP
was	VBD
done	VBN
with	IN
her	PRP
was	VBD
a	DT
very	RB
safe	JJ
boat	NN
for	IN
a	DT
person	NN
of	IN
my	PRP$
height	NN
and	CC
weight	NN
,	,
both	DT
buoyant	JJ
and	CC
clever	JJ
in	IN
a	DT
seaway	NN
;	:
but	CC
she	PRP
was	VBD
the	DT
most	RBS
cross	JJ
-	JJ
grained	JJ
,	,
lop	JJ
-	HYPH
sided	JJ
craft	NN
to	TO
manage	VB
.	.
do	VB
as	IN
you	PRP
pleased	VBD
,	,
she	PRP
always	RB
made	VBD
more	JJR
leeway	NN
than	IN
anything	NN
else	RB
,	,
and	CC
turning	VBG
round	RB
and	CC
round	RB
was	VBD
the	DT
manoeuvre	NN
she	PRP
was	VBD
best	JJS
at	IN
.	.
even	RB
ben	NNP
gunn	NNP
himself	PRP
has	VBZ
admitted	VBN
that	IN
she	PRP
was	VBD
“	``
queer	JJR
to	TO
handle	VB
till	IN
you	PRP
knew	VBD
her	PRP$
way	NN
.	.
”	''
certainly	RB
i	PRP
did	VBD
not	RB
know	VB
her	PRP$
way	NN
.	.
she	PRP
turned	VBD
in	IN
every	DT
direction	NN
but	CC
the	DT
one	NN
i	PRP
was	VBD
bound	VBN
to	TO
go	VB
;	:
the	DT
most	JJS
part	NN
of	IN
the	DT
time	NN
we	PRP
were	VBD
broadside	NN
on	IN
,	,
and	CC
i	PRP
am	VBP
very	RB
sure	JJ
i	PRP
never	RB
should	MD
have	VB
made	VBN
the	DT
ship	NN
at	RB
all	RB
but	IN
for	IN
the	DT
tide	NN
.	.
by	IN
good	JJ
fortune	NN
,	,
paddle	VB
as	IN
i	PRP
pleased	VBD
,	,
the	DT
tide	NN
was	VBD
still	RB
sweeping	VBG
me	PRP
down	RP
;	:
and	CC
there	RB
lay	VBP
the	DT
hispaniola	NNP
right	RB
in	IN
the	DT
fairway	NN
,	,
hardly	RB
to	TO
be	VB
missed	VBN
.	.
first	RB
she	PRP
loomed	VBD
before	IN
me	PRP
like	IN
a	DT
blot	NN
of	IN
something	NN
yet	RB
blacker	JJR
than	IN
darkness	NN
,	,
then	RB
her	PRP$
spars	NNS
and	CC
hull	NN
began	VBD
to	TO
take	VB
shape	NN
,	,
and	CC
the	DT
next	JJ
moment	NN
,	,
as	IN
it	PRP
seemed	VBD
(	-LRB-
for	CC
,	,
the	DT
farther	RBR
i	PRP
went	VBD
,	,
the	DT
brisker	RBR
grew	VBD
the	DT
current	NN
of	IN
the	DT
ebb	NN
)	-RRB-
,	,
i	PRP
was	VBD
alongside	RB
of	IN
her	PRP$
hawser	NN
and	CC
had	VBD
laid	VBN
hold	NN
.	.
the	DT
hawser	NN
was	VBD
as	RB
taut	JJ
as	IN
a	DT
bowstring	NN
,	,
and	CC
the	DT
current	NN
so	RB
strong	JJ
she	PRP
pulled	VBD
upon	IN
her	PRP$
anchor	NN
.	.
all	RB
round	IN
the	DT
hull	NN
,	,
in	IN
the	DT
blackness	NN
,	,
the	DT
rippling	VBG
current	NN
bubbled	VBD
and	CC
chattered	VBD
like	IN
a	DT
little	JJ
mountain	NN
stream	NN
.	.
one	CD
cut	VBN
with	IN
my	PRP$
sea	NN
-	HYPH
gully	NN
and	CC
the	DT
hispaniola	NN
would	MD
go	VB
humming	VBG
down	IN
the	DT
tide	NN
.	.
so	RB
far	RB
so	RB
good	JJ
,	,
but	CC
it	PRP
next	RB
occurred	VBD
to	IN
my	PRP$
recollection	NN
that	IN
a	DT
taut	JJ
hawser	NN
,	,
suddenly	RB
cut	VBN
,	,
is	VBZ
a	DT
thing	NN
as	RB
dangerous	JJ
as	IN
a	DT
kicking	VBG
horse	NN
.	.
ten	CD
to	IN
one	CD
,	,
if	IN
i	PRP
were	VBD
so	RB
foolhardy	JJ
as	IN
to	TO
cut	VB
the	DT
hispaniola	NN
from	IN
her	PRP$
anchor	NN
,	,
i	PRP
and	CC
the	DT
coracle	NN
would	MD
be	VB
knocked	VBN
clean	RB
out	IN
of	IN
the	DT
water	NN
.	.
this	DT
brought	VBD
me	PRP
to	IN
a	DT
full	JJ
stop	NN
,	,
and	CC
if	IN
fortune	NN
had	VBD
not	RB
again	RB
particularly	RB
favoured	VBN
me	PRP
,	,
i	PRP
should	MD
have	VB
had	VBN
to	TO
abandon	VB
my	PRP$
design	NN
.	.
but	CC
the	DT
light	JJ
airs	NNS
which	WDT
had	VBD
begun	VBN
blowing	VBG
from	IN
the	DT
south	NN
-	HYPH
east	NN
and	CC
south	NN
had	VBD
hauled	VBN
round	RB
after	IN
nightfall	NN
into	IN
the	DT
south	NN
-	HYPH
west	NN
.	.
just	RB
while	IN
i	PRP
was	VBD
meditating	VBG
,	,
a	DT
puff	NN
came	VBD
,	,
caught	VBD
the	DT
hispaniola	NN
,	,
and	CC
forced	VBD
her	PRP
up	RP
into	IN
the	DT
current	NN
;	:
and	CC
to	IN
my	PRP$
great	JJ
joy	NN
,	,
i	PRP
felt	VBD
the	DT
hawser	NN
slacken	VB
in	IN
my	PRP$
grasp	NN
,	,
and	CC
the	DT
hand	NN
by	IN
which	WDT
i	PRP
held	VBD
it	PRP
dip	VB
for	IN
a	DT
second	NN
under	IN
water	NN
.	.
with	IN
that	DT
i	PRP
made	VBD
my	PRP$
mind	NN
up	RP
,	,
took	VBD
out	RP
my	PRP$
gully	NN
,	,
opened	VBD
it	PRP
with	IN
my	PRP$
teeth	NNS
,	,
and	CC
cut	VB
one	CD
strand	NN
after	IN
another	DT
,	,
till	IN
the	DT
vessel	NN
swung	VBD
only	RB
by	IN
two	CD
.	.
then	RB
i	PRP
lay	VBD
quiet	JJ
,	,
waiting	VBG
to	TO
sever	VB
these	DT
last	JJ
when	WRB
the	DT
strain	NN
should	MD
be	VB
once	RB
more	RBR
lightened	VBN
by	IN
a	DT
breath	NN
of	IN
wind	NN
.	.
all	PDT
this	DT
time	NN
i	PRP
had	VBD
heard	VBN
the	DT
sound	NN
of	IN
loud	JJ
voices	NNS
from	IN
the	DT
cabin	NN
,	,
but	CC
to	TO
say	VB
truth	NN
,	,
my	PRP$
mind	NN
had	VBD
been	VBN
so	RB
entirely	RB
taken	VBN
up	RP
with	IN
other	JJ
thoughts	NNS
that	IN
i	PRP
had	VBD
scarcely	RB
given	VBN
ear	NN
.	.
now	RB
,	,
however	RB
,	,
when	WRB
i	PRP
had	VBD
nothing	NN
else	RB
to	TO
do	VB
,	,
i	PRP
began	VBD
to	TO
pay	VB
more	JJR
heed	NN
.	.
on	IN
shore	NN
,	,
i	PRP
could	MD
see	VB
the	DT
glow	NN
of	IN
the	DT
great	JJ
camp	NN
-	HYPH
fire	NN
burning	VBG
warmly	RB
through	IN
the	DT
shore	NN
-	HYPH
side	NN
trees	NNS
.	.
someone	NN
was	VBD
singing	VBG
,	,
a	DT
dull	JJ
,	,
old	JJ
,	,
droning	VBG
sailor	NN
's	POS
song	NN
,	,
with	IN
a	DT
droop	NN
and	CC
a	DT
quaver	NN
at	IN
the	DT
end	NN
of	IN
every	DT
verse	NN
,	,
and	CC
seemingly	RB
no	DT
end	NN
to	IN
it	PRP
at	RB
all	RB
but	CC
the	DT
patience	NN
of	IN
the	DT
singer	NN
.	.
i	PRP
had	VBD
heard	VBN
it	PRP
on	IN
the	DT
voyage	NN
more	RBR
than	IN
once	RB
and	CC
remembered	VBD
these	DT
words	NNS
“	``
but	CC
one	CD
man	NN
of	IN
her	PRP$
crew	NN
alive	JJ
,	,
what	WP
put	VBD
to	IN
sea	NN
with	IN
seventy	CD
-	HYPH
five	CD
.	.
”	''
and	CC
i	PRP
thought	VBD
it	PRP
was	VBD
a	DT
ditty	NN
rather	RB
too	RB
dolefully	RB
appropriate	JJ
for	IN
a	DT
company	NN
that	WDT
had	VBD
met	VBN
such	JJ
cruel	JJ
losses	NNS
in	IN
the	DT
morning	NN
.	.
but	CC
,	,
indeed	RB
,	,
from	IN
what	WP
i	PRP
saw	VBD
,	,
all	PDT
these	DT
buccaneers	NNS
were	VBD
as	RB
callous	JJ
as	IN
the	DT
sea	NN
they	PRP
sailed	VBD
on	IN
.	.
at	IN
last	RB
the	DT
breeze	NN
came	VBD
;	:
the	DT
schooner	NN
sidled	VBD
and	CC
drew	VBD
nearer	RBR
in	IN
the	DT
dark	NN
;	:
i	PRP
felt	VBD
the	DT
hawser	NN
slacken	VB
once	RB
more	RBR
,	,
and	CC
with	IN
a	DT
good	JJ
,	,
tough	JJ
effort	NN
,	,
cut	VBD
the	DT
last	JJ
fibres	NNS
through	RP
.	.
the	DT
breeze	NN
had	VBD
but	RB
little	JJ
action	NN
on	IN
the	DT
coracle	NN
,	,
and	CC
i	PRP
was	VBD
almost	RB
instantly	RB
swept	VBN
against	IN
the	DT
bows	NNS
of	IN
the	DT
hispaniola	NNP
.	.
at	IN
the	DT
same	JJ
time	NN
,	,
the	DT
schooner	NN
began	VBD
to	TO
turn	VB
upon	IN
her	PRP$
heel	NN
,	,
spinning	VBG
slowly	RB
,	,
end	NN
for	IN
end	NN
,	,
across	IN
the	DT
current	NN
.	.
