when	WRB
dear	JJ
to	IN
a	DT
good	JJ
citizen	NN
as	IN
the	DT
republic	NN
.	.
”	''
loud	JJ
acclamations	NNS
hailed	VBD
this	DT
rebuke	NN
.	.
the	DT
president	NN
rang	VBD
his	PRP$
bell	NN
,	,
and	CC
with	IN
warmth	NN
resumed	VBD
.	.
“	``
if	IN
the	DT
republic	NN
should	MD
demand	VB
of	IN
you	PRP
the	DT
sacrifice	NN
of	IN
your	PRP$
child	NN
herself	PRP
,	,
you	PRP
would	MD
have	VB
no	DT
duty	NN
but	IN
to	TO
sacrifice	VB
her	PRP
.	.
listen	VB
to	IN
what	WP
is	VBZ
to	TO
follow	VB
.	.
in	IN
the	DT
meanwhile	NN
,	,
be	VB
silent	JJ
!	.
”	''
frantic	JJ
acclamations	NNS
were	VBD
again	RB
raised	VBN
.	.
doctor	NNP
manette	NNP
sat	VBD
down	RB
,	,
with	IN
his	PRP$
eyes	NNS
looking	VBG
around	RB
,	,
and	CC
his	PRP$
lips	NNS
trembling	VBG
;	:
his	PRP$
daughter	NN
drew	VBD
closer	RBR
to	IN
him	PRP
.	.
the	DT
craving	VBG
man	NN
on	IN
the	DT
jury	NN
rubbed	VBD
his	PRP$
hands	NNS
together	RB
,	,
and	CC
restored	VBD
the	DT
usual	JJ
hand	NN
to	IN
his	PRP$
mouth	NN
.	.
defarge	NNP
was	VBD
produced	VBN
,	,
when	WRB
the	DT
court	NN
was	VBD
quiet	JJ
enough	RB
to	TO
admit	VB
of	IN
his	PRP$
being	VBG
heard	VBN
,	,
and	CC
rapidly	RB
expounded	VBD
the	DT
story	NN
of	IN
the	DT
imprisonment	NN
,	,
and	CC
of	IN
his	PRP$
having	VBG
been	VBN
a	DT
mere	JJ
boy	NN
in	IN
the	DT
doctor	NN
's	POS
service	NN
,	,
and	CC
of	IN
the	DT
release	NN
,	,
and	CC
of	IN
the	DT
state	NN
of	IN
the	DT
prisoner	NN
when	WRB
released	VBN
and	CC
delivered	VBN
to	IN
him	PRP
.	.
this	DT
short	JJ
examination	NN
followed	VBD
,	,
for	IN
the	DT
court	NN
was	VBD
quick	JJ
with	IN
its	PRP$
work	NN
.	.
“	``
you	PRP
did	VBD
good	JJ
service	NN
at	IN
the	DT
taking	NN
of	IN
the	DT
bastille	NNP
,	,
citizen	NN
?	.
”	''
“	``
i	PRP
believe	VBP
so	RB
.	.
”	''
here	RB
,	,
an	DT
excited	JJ
woman	NN
screeched	VBD
from	IN
the	DT
crowd	NN
“	``
you	PRP
were	VBD
one	CD
of	IN
the	DT
best	JJS
patriots	NNS
there	RB
.	.
why	WRB
not	RB
say	VB
so	RB
?	.
you	PRP
were	VBD
a	DT
cannonier	NN
that	DT
day	NN
there	RB
,	,
and	CC
you	PRP
were	VBD
among	IN
the	DT
first	JJ
to	TO
enter	VB
the	DT
accursed	JJ
fortress	NN
when	WRB
it	PRP
fell	VBD
.	.
patriots	NNPS
,	,
i	PRP
speak	VBP
the	DT
truth	NN
!	.
”	''
it	PRP
was	VBD
the	DT
vengeance	NNP
who	WP
,	,
amidst	IN
the	DT
warm	JJ
commendations	NNS
of	IN
the	DT
audience	NN
,	,
thus	RB
assisted	VBD
the	DT
proceedings	NNS
.	.
the	DT
president	NN
rang	VBD
his	PRP$
bell	NN
;	:
but	CC
,	,
the	DT
vengeance	NN
,	,
warming	VBG
with	IN
encouragement	NN
,	,
shrieked	VBD
,	,
“	``
i	PRP
defy	VBP
that	DT
bell	NN
!	.
”	''
wherein	WRB
she	PRP
was	VBD
likewise	RB
much	RB
commended	VBN
.	.
“	``
inform	VB
the	DT
tribunal	NN
of	IN
what	WP
you	PRP
did	VBD
that	DT
day	NN
within	IN
the	DT
bastille	NNP
,	,
citizen	NN
.	.
”	''
i	PRP
confide	VBP
this	DT
paper	NN
,	,
in	IN
the	DT
writing	NN
of	IN
doctor	NNP
manette	NNP
,	,
to	IN
the	DT
hands	NNS
of	IN
the	DT
president	NN
.	.
”	''
“	``
let	VB
it	PRP
be	VB
read	VBN
.	.
”	''
in	IN
a	DT
dead	JJ
silence	NN
and	CC
stillness	NN
the	DT
prisoner	NN
under	IN
trial	NN
looking	VBG
lovingly	RB
at	IN
his	PRP$
wife	NN
,	,
his	PRP$
wife	NN
only	RB
looking	VBG
from	IN
him	PRP
to	TO
look	VB
with	IN
solicitude	NN
at	IN
her	PRP$
father	NN
,	,
doctor	NNP
manette	NNP
keeping	VBG
his	PRP$
eyes	NNS
fixed	VBN
on	IN
the	DT
reader	NN
,	,
madame	NNP
defarge	NNP
never	RB
taking	VBG
hers	PRP
from	IN
the	DT
prisoner	NN
,	,
defarge	NNP
never	RB
taking	VBG
his	PRP$
from	IN
his	PRP$
feasting	VBG
wife	NN
,	,
and	CC
all	PDT
the	DT
other	JJ
eyes	NNS
there	RB
intent	JJ
upon	IN
the	DT
doctor	NN
,	,
who	WP
saw	VBD
none	NN
of	IN
them	PRP
the	DT
paper	NN
was	VBD
read	VBN
,	,
as	IN
follows	VBZ
.	.
x.	.
the	DT
substance	NN
of	IN
the	DT
shadow	NN
“	``
i	PRP
,	,
alexandre	NNP
manette	NNP
,	,
unfortunate	JJ
physician	NN
,	,
native	NN
of	IN
beauvais	NNP
,	,
and	CC
afterwards	RB
resident	JJ
in	IN
paris	NNP
,	,
write	VBP
this	DT
melancholy	JJ
paper	NN
in	IN
my	PRP$
doleful	JJ
cell	NN
in	IN
the	DT
bastille	NNP
,	,
during	IN
the	DT
last	JJ
month	NN
of	IN
the	DT
year	NN
,	,
1767	CD
.	.
i	PRP
write	VBP
it	PRP
at	IN
stolen	JJ
intervals	NNS
,	,
under	IN
every	DT
difficulty	NN
.	.
i	PRP
design	VBP
to	TO
secrete	VB
it	PRP
in	IN
the	DT
wall	NN
of	IN
the	DT
chimney	NN
,	,
where	WRB
i	PRP
have	VBP
slowly	RB
and	CC
laboriously	RB
made	VBN
a	DT
place	NN
of	IN
concealment	NN
for	IN
it	PRP
.	.
some	DT
pitying	JJ
hand	NN
may	MD
find	VB
it	PRP
there	RB
,	,
when	WRB
i	PRP
and	CC
my	PRP$
sorrows	NNS
are	VBP
dust	NN
.	.
“	``
the	DT
carriage	NN
stopped	VBD
as	RB
soon	RB
as	IN
the	DT
driver	NN
could	MD
rein	VB
in	RP
his	PRP$
horses	NNS
,	,
and	CC
the	DT
same	JJ
voice	NN
called	VBD
to	IN
me	PRP
by	IN
my	PRP$
name	NN
.	.
i	PRP
answered	VBD
.	.
the	DT
carriage	NN
was	VBD
then	RB
so	RB
far	RB
in	IN
advance	NN
of	IN
me	PRP
that	IN
two	CD
gentlemen	NNS
had	VBD
time	NN
to	TO
open	VB
the	DT
door	NN
and	CC
alight	VB
before	IN
i	PRP
came	VBD
up	RP
with	IN
it	PRP
.	.
“	``
i	PRP
observed	VBD
that	IN
they	PRP
were	VBD
both	DT
wrapped	VBN
in	IN
cloaks	NNS
,	,
and	CC
appeared	VBD
to	TO
conceal	VB
themselves	PRP
.	.
as	IN
they	PRP
stood	VBD
side	NN
by	IN
side	NN
near	IN
the	DT
carriage	NN
door	NN
,	,
i	PRP
also	RB
observed	VBD
that	IN
they	PRP
both	DT
looked	VBD
of	IN
about	RB
my	PRP$
own	JJ
age	NN
,	,
or	CC
rather	RB
younger	JJR
,	,
and	CC
that	IN
they	PRP
were	VBD
greatly	RB
alike	JJ
,	,
in	IN
stature	NN
,	,
manner	NN
,	,
voice	NN
,	,
and	CC
(	-LRB-
as	RB
far	RB
as	IN
i	PRP
could	MD
see	VB
)	-RRB-
face	NN
too	RB
.	.
“	``
'	``
you	PRP
are	VBP
doctor	NNP
manette	NNP
?	.
'	''
said	VBD
one	CD
.	.
“	``
i	PRP
am	VBP
.	.
”	''
“	``
'	``
doctor	NNP
manette	NNP
,	,
formerly	RB
of	IN
beauvais	NNP
,	,
'	''
said	VBD
the	DT
other	JJ
;	:
'	``
the	DT
young	JJ
physician	NN
,	,
originally	RB
an	DT
expert	NN
surgeon	NN
,	,
who	WP
within	IN
the	DT
last	JJ
year	NN
or	CC
two	CD
has	VBZ
made	VBN
a	DT
rising	VBG
reputation	NN
in	IN
paris	NNP
?	.
'	''
“	``
'	``
gentlemen	NNS
,	,
'	''
i	PRP
returned	VBD
,	,
'	``
i	PRP
am	VBP
that	DT
doctor	NNP
manette	NNP
of	IN
whom	WP
you	PRP
speak	VBP
so	RB
graciously	RB
.	.
'	''
“	``
'	``
we	PRP
have	VBP
been	VBN
to	IN
your	PRP$
residence	NN
,	,
'	''
said	VBD
the	DT
first	JJ
,	,
'	``
and	CC
not	RB
being	VBG
so	RB
fortunate	JJ
as	IN
to	TO
find	VB
you	PRP
there	RB
,	,
and	CC
being	VBG
informed	VBN
that	IN
you	PRP
were	VBD
probably	RB
walking	VBG
in	IN
this	DT
direction	NN
,	,
we	PRP
followed	VBD
,	,
in	IN
the	DT
hope	NN
of	IN
overtaking	VBG
you	PRP
.	.
will	MD
you	PRP
please	VB
to	TO
enter	VB
the	DT
carriage	NN
?	.
'	''
“	``
the	DT
manner	NN
of	IN
both	DT
was	VBD
imperious	JJ
,	,
and	CC
they	PRP
both	DT
moved	VBD
,	,
as	IN
these	DT
words	NNS
were	VBD
spoken	VBN
,	,
so	IN
as	IN
to	TO
place	VB
me	PRP
between	IN
themselves	PRP
and	CC
the	DT
carriage	NN
door	NN
.	.
they	PRP
were	VBD
armed	JJ
.	.
i	PRP
was	VBD
not	RB
.	.
“	``
'	``
gentlemen	NNS
,	,
'	''
said	VBD
i	PRP
,	,
'	``
pardon	VB
me	PRP
;	:
but	CC
i	PRP
usually	RB
inquire	VBP
who	WP
does	VBZ
me	PRP
the	DT
honour	NN
to	TO
seek	VB
my	PRP$
assistance	NN
,	,
and	CC
what	WP
is	VBZ
the	DT
nature	NN
of	IN
the	DT
case	NN
to	TO
which	WDT
i	PRP
am	VBP
summoned	VBN
.	.
'	''
“	``
the	DT
reply	NN
to	IN
this	DT
was	VBD
made	VBN
by	IN
him	PRP
who	WP
had	VBD
spoken	VBN
second	RB
.	.
'	``
doctor	NN
,	,
your	PRP$
clients	NNS
are	VBP
people	NNS
of	IN
condition	NN
.	.
as	IN
to	IN
the	DT
nature	NN
of	IN
the	DT
case	NN
,	,
our	PRP$
confidence	NN
in	IN
your	PRP$
skill	NN
assures	VBZ
us	PRP
that	IN
you	PRP
will	MD
ascertain	VB
it	PRP
for	IN
yourself	PRP
better	RBR
than	IN
we	PRP
can	MD
describe	VB
it	PRP
.	.
enough	JJ
.	.
will	MD
you	PRP
please	VB
to	TO
enter	VB
the	DT
carriage	NN
?	.
'	''
“	``
i	PRP
could	MD
do	VB
nothing	NN
but	CC
comply	VB
,	,
and	CC
i	PRP
entered	VBD
it	PRP
in	IN
silence	NN
.	.
they	PRP
both	DT
entered	VBD
after	IN
me	PRP
the	DT
last	JJ
springing	NN
in	RB
,	,
after	IN
putting	VBG
up	RP
the	DT
steps	NNS
.	.
the	DT
carriage	NN
turned	VBD
about	RB
,	,
and	CC
drove	VBD
on	RB
at	IN
its	PRP$
former	JJ
speed	NN
.	.
“	``
i	PRP
repeat	VBP
this	DT
conversation	NN
exactly	RB
as	IN
it	PRP
occurred	VBD
.	.
i	PRP
have	VBP
no	DT
doubt	NN
that	IN
it	PRP
is	VBZ
,	,
word	NN
for	IN
word	NN
,	,
the	DT
same	JJ
.	.
i	PRP
describe	VBP
everything	NN
exactly	RB
as	IN
it	PRP
took	VBD
place	NN
,	,
constraining	VBG
my	PRP$
mind	NN
not	RB
to	TO
wander	VB
from	IN
the	DT
task	NN
.	.
where	WRB
i	PRP
make	VBP
the	DT
broken	JJ
marks	NNS
that	WDT
follow	VBP
here	RB
,	,
i	PRP
leave	VBP
off	RP
for	IN
the	DT
time	NN
,	,
and	CC
put	VBP
my	PRP$
paper	NN
in	IN
its	PRP$
hiding	NN
-	HYPH
place	NN
.	.
*	NFP
*	NFP
*	NFP
*	NFP
*	NFP
“	``
there	EX
was	VBD
nothing	NN
in	IN
this	DT
action	NN
to	TO
attract	VB
my	PRP$
particular	JJ
attention	NN
,	,
for	IN
i	PRP
had	VBD
seen	VBN
common	JJ
people	NNS
struck	VBN
more	RBR
commonly	RB
than	IN
dogs	NNS
.	.
but	CC
,	,
the	DT
other	JJ
of	IN
the	DT
two	CD
,	,
being	VBG
angry	JJ
likewise	RB
,	,
struck	VBD
the	DT
man	NN
in	IN
like	JJ
manner	NN
with	IN
his	PRP$
arm	NN
;	:
the	DT
look	NN
and	CC
bearing	NN
of	IN
the	DT
brothers	NNS
were	VBD
then	RB
so	RB
exactly	RB
alike	JJ
,	,
that	IN
i	PRP
then	RB
first	RB
perceived	VBD
them	PRP
to	TO
be	VB
twin	JJ
brothers	NNS
.	.
“	``
from	IN
the	DT
time	NN
of	IN
our	PRP$
alighting	NN
at	IN
the	DT
outer	JJ
gate	NN
(	-LRB-
which	WDT
we	PRP
found	VBD
locked	VBN
,	,
and	CC
which	WDT
one	CD
of	IN
the	DT
brothers	NNS
had	VBD
opened	VBN
to	TO
admit	VB
us	PRP
,	,
and	CC
had	VBD
relocked	VBN
)	-RRB-
,	,
i	PRP
had	VBD
heard	VBN
cries	NNS
proceeding	VBG
from	IN
an	DT
upper	JJ
chamber	NN
.	.
i	PRP
was	VBD
conducted	VBN
to	IN
this	DT
chamber	NN
straight	RB
,	,
the	DT
cries	NNS
growing	VBG
louder	JJR
as	IN
we	PRP
ascended	VBD
the	DT
stairs	NNS
,	,
and	CC
i	PRP
found	VBD
a	DT
patient	NN
in	IN
a	DT
high	JJ
fever	NN
of	IN
the	DT
brain	NN
,	,
lying	VBG
on	IN
a	DT
bed	NN
.	.
“	``
the	DT
patient	NN
was	VBD
a	DT
woman	NN
of	IN
great	JJ
beauty	NN
,	,
and	CC
young	JJ
;	:
assuredly	RB
not	RB
much	RB
past	IN
twenty	CD
.	.
her	PRP$
hair	NN
was	VBD
torn	VBN
and	CC
ragged	JJ
,	,
and	CC
her	PRP$
arms	NNS
were	VBD
bound	VBN
to	IN
her	PRP$
sides	NNS
with	IN
sashes	NNS
and	CC
handkerchiefs	NNS
.	.
i	PRP
noticed	VBD
that	IN
these	DT
bonds	NNS
were	VBD
all	DT
portions	NNS
of	IN
a	DT
gentleman	NN
's	POS
dress	NN
.	.
on	IN
one	CD
of	IN
them	PRP
,	,
which	WDT
was	VBD
a	DT
fringed	JJ
scarf	NN
for	IN
a	DT
dress	NN
of	IN
ceremony	NN
,	,
i	PRP
saw	VBD
the	DT
armorial	JJ
bearings	NNS
of	IN
a	DT
noble	NN
,	,
and	CC
the	DT
letter	NN
e.	XX
“	``
i	PRP
saw	VBD
this	DT
,	,
within	IN
the	DT
first	JJ
minute	NN
of	IN
my	PRP$
contemplation	NN
of	IN
the	DT
patient	NN
;	:
for	IN
,	,
in	IN
her	PRP$
restless	JJ
strivings	NNS
she	PRP
had	VBD
turned	VBN
over	RP
on	IN
her	PRP$
face	NN
on	IN
the	DT
edge	NN
of	IN
the	DT
bed	NN
,	,
had	VBD
drawn	VBN
the	DT
end	NN
of	IN
the	DT
scarf	NN
into	IN
her	PRP$
mouth	NN
,	,
and	CC
was	VBD
in	IN
danger	NN
of	IN
suffocation	NN
.	.
my	PRP$
first	JJ
act	NN
was	VBD
to	TO
put	VB
out	RP
my	PRP$
hand	NN
to	TO
relieve	VB
her	PRP$
breathing	NN
;	:
and	CC
in	IN
moving	VBG
the	DT
scarf	NN
aside	RB
,	,
the	DT
embroidery	NN
in	IN
the	DT
corner	NN
caught	VBD
my	PRP$
sight	NN
.	.
“	``
'	``
how	WRB
long	RB
,	,
'	''
i	PRP
asked	VBD
,	,
'	``
has	VBZ
this	DT
lasted	VBN
?	.
'	''
“	``
to	TO
distinguish	VB
the	DT
brothers	NNS
,	,
i	PRP
will	MD
call	VB
them	PRP
the	DT
elder	JJR
and	CC
the	DT
younger	JJR
;	:
by	IN
the	DT
elder	JJR
,	,
i	PRP
mean	VBP
him	PRP
who	WP
exercised	VBD
the	DT
most	JJS
authority	NN
.	.
it	PRP
was	VBD
the	DT
elder	JJR
who	WP
replied	VBD
,	,
'	``
since	IN
about	RB
this	DT
hour	NN
last	JJ
night	NN
.	.
'	''
“	``
'	``
she	PRP
has	VBZ
a	DT
husband	NN
,	,
a	DT
father	NN
,	,
and	CC
a	DT
brother	NN
?	.
'	''
“	``
'	``
a	DT
brother	NN
.	.
'	''
“	``
'	``
i	PRP
do	VBP
not	RB
address	VB
her	PRP$
brother	NN
?	.
'	''
“	''
he	PRP
answered	VBD
with	IN
great	JJ
contempt	NN
,	,
'	``
no	UH
.	.
'	''
“	``
'	``
she	PRP
has	VBZ
some	DT
recent	JJ
association	NN
with	IN
the	DT
number	NN
twelve	CD
?	.
'	''
“	''
the	DT
younger	JJR
brother	NN
impatiently	RB
rejoined	VBD
,	,
'	``
with	IN
twelve	CD
of	IN
the	DT
clock	NN
?	.
'	''
“	``
'	``
see	VB
,	,
gentlemen	NNS
,	,
'	''
said	VBD
i	PRP
,	,
still	RB
keeping	VBG
my	PRP$
hands	NNS
upon	IN
her	PRP$
breast	NN
,	,
'	``
how	WRB
useless	JJ
i	PRP
am	VBP
,	,
as	IN
you	PRP
have	VBP
brought	VBN
me	PRP
!	.
if	IN
i	PRP
had	VBD
known	VBN
what	WP
i	PRP
was	VBD
coming	VBG
to	TO
see	VB
,	,
i	PRP
could	MD
have	VB
come	VBN
provided	VBN
.	.
as	IN
it	PRP
is	VBZ
,	,
time	NN
must	MD
be	VB
lost	VBN
.	.
there	EX
are	VBP
no	DT
medicines	NNS
to	TO
be	VB
obtained	VBN
in	IN
this	DT
lonely	JJ
place	NN
.	.
'	''
“	``
the	DT
elder	JJR
brother	NN
looked	VBD
to	IN
the	DT
younger	JJR
,	,
who	WP
said	VBD
haughtily	RB
,	,
'	``
there	EX
is	VBZ
a	DT
case	NN
of	IN
medicines	NNS
here	RB
;	:
'	''
and	CC
brought	VBD
it	PRP
from	IN
a	DT
closet	NN
,	,
and	CC
put	VBD
it	PRP
on	IN
the	DT
table	NN
.	.
*	NFP
*	NFP
*	NFP
*	NFP
*	NFP
“	``
i	PRP
opened	VBD
some	DT
of	IN
the	DT
bottles	NNS
,	,
smelt	VBD
them	PRP
,	,
and	CC
put	VBD
the	DT
stoppers	NNS
to	IN
my	PRP$
lips	NNS
.	.
if	IN
i	PRP
had	VBD
wanted	VBN
to	TO
use	VB
anything	NN
save	IN
narcotic	JJ
medicines	NNS
that	WDT
were	VBD
poisons	NNS
in	IN
themselves	PRP
,	,
i	PRP
would	MD
not	RB
have	VB
administered	VBN
any	DT
of	IN
those	DT
.	.
“	``
'	``
do	VBP
you	PRP
doubt	VB
them	PRP
?	.
'	''
asked	VBD
the	DT
younger	JJR
brother	NN
.	.
“	``
'	``
you	PRP
see	VBP
,	,
monsieur	NN
,	,
i	PRP
am	VBP
going	VBG
to	TO
use	VB
them	PRP
,	,
'	''
i	PRP
replied	VBD
,	,
and	CC
said	VBD
no	DT
more	JJR
.	.
“	``
for	IN
the	DT
reason	NN
that	IN
my	PRP$
hand	NN
had	VBD
this	DT
effect	NN
(	-LRB-
i	PRP
assume	VBP
)	-RRB-
,	,
i	PRP
had	VBD
sat	VBN
by	IN
the	DT
side	NN
of	IN
the	DT
bed	NN
for	IN
half	PDT
an	DT
hour	NN
,	,
with	IN
the	DT
two	CD
brothers	NNS
looking	VBG
on	RP
,	,
before	IN
the	DT
elder	NN
said	VBD
“	``
'	``
there	EX
is	VBZ
another	DT
patient	NN
.	.
'	''
“	``
i	PRP
was	VBD
startled	VBN
,	,
and	CC
asked	VBD
,	,
'	``
is	VBZ
it	PRP
a	DT
pressing	VBG
case	NN
?	.
'	''
“	``
'	``
you	PRP
had	VBD
better	RBR
see	VB
,	,
'	''
he	PRP
carelessly	RB
answered	VBD
;	:
and	CC
took	VBD
up	RP
a	DT
light	NN
.	.
*	NFP
*	NFP
*	NFP
*	NFP
*	NFP
“	``
on	IN
some	DT
hay	NN
on	IN
the	DT
ground	NN
,	,
with	IN
a	DT
cushion	NN
thrown	VBN
under	IN
his	PRP$
head	NN
,	,
lay	VBD
a	DT
handsome	JJ
peasant	NN
boy	NN
a	DT
boy	NN
of	IN
not	RB
more	JJR
than	IN
seventeen	CD
at	IN
the	DT
most	JJS
.	.
