there	EX
burst	VBD
from	IN
the	DT
group	NN
outside	IN
the	DT
door	NN
.	.
"	``
crump	JJ
!	.
"	''
cried	VBD
john	NNP
.	.
"	``
stand	VB
by	IN
me	PRP
,	,
crump	NN
!	.
get	VB
busy	JJ
!	.
this	DT
is	VBZ
where	WRB
you	PRP
make	VBP
your	PRP$
big	JJ
play	NN
.	.
never	RB
mind	VB
the	DT
chorus	NN
gentlemen	NNS
in	IN
the	DT
passage	NN
.	.
concentrate	VB
yourself	PRP
on	IN
poineau	NNP
.	.
what	WP
's	VBZ
he	PRP
talking	VBG
about	IN
?	.
i	PRP
believe	VBP
he	PRP
's	VBZ
come	VBN
to	TO
tell	VB
me	PRP
the	DT
people	NNS
have	VBP
wakened	VBN
up	RP
.	.
offer	VB
him	PRP
a	DT
cocktail	NN
.	.
what	WP
's	VBZ
the	DT
french	JJ
for	IN
corpse	NN
-	HYPH
reviver	NN
?	.
get	VB
busy	JJ
,	,
crump	NN
.	.
"	``
the	DT
general	NN
had	VBD
begun	VBN
to	TO
speak	VB
rapidly	RB
,	,
with	IN
a	DT
wealth	NN
of	IN
gestures	NNS
.	.
it	PRP
astonished	VBD
john	NNP
that	IN
mr	NNP
.	NNP
crump	NNP
could	MD
follow	VB
the	DT
harangue	NN
as	IN
apparently	RB
he	PRP
did	VBD
.	.
"	``
well	RB
?	.
"	''
said	VBD
john	NNP
.	.
mr	NNP
.	NNP
crump	NNP
looked	VBD
grave	JJ
.	.
"	``
he	PRP
says	VBZ
there	EX
is	VBZ
a	DT
large	JJ
mob	NN
in	IN
the	DT
market	NN
-	HYPH
place	NN
.	.
they	PRP
are	VBP
talking	VBG
"	``
"	``
they	PRP
would	MD
be	VB
!	.
"	''
"	''
of	IN
moving	VBG
in	IN
force	NN
on	IN
the	DT
palace	NN
.	.
the	DT
palace	NN
guards	NNS
have	VBP
gone	VBN
over	RP
to	IN
the	DT
people	NNS
.	.
general	NNP
poineau	NNP
urges	VBZ
you	PRP
to	TO
disguise	VB
yourself	PRP
and	CC
escape	VB
while	IN
there	EX
is	VBZ
time	NN
.	.
you	PRP
will	MD
be	VB
safe	JJ
at	IN
his	PRP$
villa	NN
till	IN
the	DT
excitement	NN
subsides	VBZ
,	,
when	WRB
you	PRP
can	MD
be	VB
smuggled	VBN
over	RB
to	IN
france	NNP
during	IN
the	DT
night	NN
"	``
"	``
not	RB
for	IN
mine	PRP
,	,
"	''
said	VBD
john	NNP
,	,
shaking	VBG
his	PRP$
head	NN
.	.
"	``
it	PRP
's	VBZ
mighty	RB
good	JJ
of	IN
you	PRP
,	,
general	NNP
,	,
and	CC
i	PRP
appreciate	VBP
it	PRP
,	,
but	CC
i	PRP
ca	MD
n't	RB
wait	VB
till	IN
night	NN
.	.
the	DT
boat	NN
leaves	VBZ
for	IN
marseilles	NNP
in	IN
another	DT
hour	NN
.	.
iwill	PRP
catch	VB
that	DT
.	.
i	PRP
can	MD
manage	VB
it	PRP
comfortably	RB
.	.
iwill	PRP
go	VB
up	RB
and	CC
pack	VB
my	PRP$
grip	NN
.	.
crump	JJ
,	,
entertain	VB
the	DT
general	NN
while	IN
iam	PRP
gone	VBN
,	,
will	MD
you	PRP
?	.
i	PRP
wo	MD
n't	RB
be	VB
a	DT
moment	NN
.	.
"	''
but	CC
as	IN
he	PRP
left	VBD
the	DT
room	NN
there	RB
came	VBD
through	IN
the	DT
open	JJ
window	NN
the	DT
mutter	NN
of	IN
a	DT
crowd	NN
.	.
he	PRP
stopped	VBD
.	.
general	NNP
poineau	NNP
whipped	VBD
out	RP
his	PRP$
sword	NN
,	,
and	CC
brought	VBD
it	PRP
to	IN
the	DT
salute	NN
.	.
john	NNP
patted	VBD
him	PRP
on	IN
the	DT
shoulder	NN
.	.
"	``
youare	PRP
a	DT
sport	NN
,	,
general	NNP
,	,
"	''
he	PRP
said	VBD
,	,
"	``
but	CC
we	PRP
sha'not	MD
want	VB
it	PRP
.	.
come	VB
along	RP
,	,
crump	NN
.	.
come	VB
and	CC
help	VB
me	PRP
address	VB
the	DT
multitude	NN
.	.
"	''
the	DT
window	NN
of	IN
the	DT
room	NN
looked	VBD
out	RP
on	IN
to	IN
a	DT
square	NN
.	.
there	EX
was	VBD
a	DT
small	JJ
balcony	NN
with	IN
a	DT
stone	NN
parapet	NN
.	.
as	IN
john	NNP
stepped	VBD
out	RB
,	,
a	DT
howl	NN
of	IN
rage	NN
burst	VBD
from	IN
the	DT
mob	NN
.	.
john	NNP
walked	VBD
on	IN
to	IN
the	DT
balcony	NN
,	,
and	CC
stood	VBD
looking	VBG
down	RP
on	IN
them	PRP
,	,
resting	VBG
his	PRP$
arms	NNS
on	IN
the	DT
parapet	NN
.	.
the	DT
howl	NN
was	VBD
repeated	VBN
,	,
and	CC
from	IN
somewhere	RB
at	IN
the	DT
back	NN
of	IN
the	DT
crowd	NN
came	VBD
the	DT
sharp	JJ
crack	NN
of	IN
a	DT
rifle	NN
,	,
and	CC
a	DT
shot	NN
,	,
the	DT
first	JJ
and	CC
last	JJ
of	IN
the	DT
campaign	NN
,	,
clipped	VBN
a	DT
strip	NN
of	IN
flannel	NN
from	IN
the	DT
collar	NN
of	IN
his	PRP$
coat	NN
and	CC
splashed	VBD
against	IN
the	DT
wall	NN
.	.
a	DT
broad	JJ
smile	NN
spread	VBD
over	IN
his	PRP$
face	NN
.	.
if	IN
he	PRP
had	VBD
studied	VBN
for	IN
a	DT
year	NN
,	,
he	PRP
could	MD
not	RB
have	VB
hit	VBN
on	IN
a	DT
swifter	JJR
or	CC
more	RBR
effective	JJ
method	NN
of	IN
quieting	VBG
the	DT
mob	NN
.	.
there	EX
was	VBD
something	NN
so	RB
engaging	JJ
and	CC
friendly	JJ
in	IN
his	PRP$
smile	NN
that	IN
the	DT
howling	NN
died	VBD
away	RB
and	CC
fists	NNS
that	WDT
has	VBZ
been	VBN
shaken	VBN
unclenched	VBD
themselves	PRP
and	CC
fell	VBD
.	.
there	EX
was	VBD
an	DT
expectant	JJ
silence	NN
in	IN
the	DT
square	NN
.	.
john	NNP
beckoned	VBD
to	IN
crump	NNP
,	,
who	WP
came	VBD
on	IN
to	IN
the	DT
balcony	NN
with	IN
some	DT
reluctance	NN
,	,
being	VBG
mistrustful	JJ
of	IN
the	DT
unseen	JJ
sportsman	NN
with	IN
the	DT
rifle	NN
.	.
"	``
tell	VB
'em	PRP
it	PRP
is	VBZ
all	RB
right	JJ
,	,
crump	NNP
,	,
and	CC
that	IN
there	EX
's	VBZ
no	DT
call	NN
for	IN
any	DT
fuss	NN
.	.
from	IN
their	PRP$
manner	NN
i	PRP
gather	VBP
that	IN
i	PRP
am	VBP
no	RB
longer	RBR
needed	VBN
on	IN
this	DT
throne	NN
.	.
ask	VB
them	PRP
if	IN
that	DT
's	VBZ
right	JJ
?	.
"	''
a	DT
small	JJ
man	NN
,	,
who	WP
appeared	VBD
to	TO
be	VB
in	IN
command	NN
of	IN
the	DT
crowd	NN
,	,
stepped	VBD
forward	RB
as	IN
the	DT
secretary	NN
finished	VBD
speaking	VBG
,	,
and	CC
shouted	VBD
some	DT
words	NNS
which	WDT
drew	VBD
a	DT
murmur	NN
of	IN
approval	NN
from	IN
his	PRP$
followers	NNS
.	.
"	``
he	PRP
wants	VBZ
to	TO
know	VB
,	,
"	''
interpreted	VBD
mr	NNP
.	NNP
crump	NNP
,	,
"	``
if	IN
you	PRP
will	MD
allow	VB
the	DT
casino	NN
to	TO
open	VB
again	RB
.	.
"	''
"	``
tell	VB
him	PRP
no	RB
,	,
but	CC
add	VB
that	IN
i	PRP
shall	MD
be	VB
tickled	VBN
to	IN
death	NN
to	TO
abdicate	VB
,	,
if	IN
that	DT
's	VBZ
what	WP
they	PRP
want	VBP
.	.
speed	VB
them	PRP
up	RP
,	,
old	JJ
man	NN
.	.
tell	VB
them	PRP
to	TO
make	VB
up	RP
their	PRP$
minds	NNS
on	IN
the	DT
jump	NN
,	,
because	IN
i	PRP
want	VBP
to	TO
catch	VB
that	DT
boat	NN
.	.
do	VB
n't	RB
let	VB
them	PRP
get	VB
to	IN
discussing	VBG
it	PRP
,	,
or	CC
theywill	PRP
stand	VB
there	RB
talking	VBG
till	IN
sunset	NN
.	.
yes	UH
or	CC
no	UH
.	.
that	DT
's	VBZ
the	DT
idea	NN
.	.
"	''
there	EX
was	VBD
a	DT
moment	NN
's	POS
surprised	JJ
silence	NN
when	WRB
mr	NNP
.	NNP
crump	NNP
had	VBD
spoken	VBN
.	.
the	DT
mervian	JJ
mind	NN
was	VBD
unused	JJ
to	IN
being	VBG
hustled	VBN
in	IN
this	DT
way	NN
.	.
then	RB
a	DT
voice	NN
shouted	VBD
,	,
as	IN
it	PRP
were	VBD
tentatively	RB
,	,
"	``
vive	FW
la	FW
republique	FW
!	.
"	''
and	CC
at	IN
once	RB
the	DT
cry	NN
was	VBD
taken	VBN
up	RP
on	IN
all	DT
sides	NNS
.	.
john	NNP
beamed	VBD
down	RB
on	IN
them	PRP
.	.
five	CD
minutes	NNS
later	RB
the	DT
revolutionists	NNS
,	,
obviously	RB
embarrassed	VBN
and	CC
ill	JJ
at	IN
ease	NN
,	,
were	VBD
sheepishly	RB
gulping	VBG
down	RP
their	PRP$
refreshment	NN
beneath	IN
the	DT
stony	JJ
eye	NN
of	IN
the	DT
majordomo	NN
and	CC
his	PRP$
assistants	NNS
,	,
while	IN
upstairs	RB
in	IN
the	DT
state	NN
bedroom	NN
the	DT
deposed	VBN
prince	NN
was	VBD
whistling	VBG
"	``
dixie	NN
"	''
and	CC
packing	VBG
the	DT
royal	JJ
pajamas	NNS
into	IN
a	DT
suitcase	NN
.	.
chapter	NNP
x	NNP
mrs	NNP
.	NNP
oakley	NNP
betty	NNP
,	,
when	WRB
she	PRP
stepped	VBD
on	IN
board	NN
the	DT
boat	NN
for	IN
marseilles	NNPS
,	,
had	VBD
had	VBN
no	DT
definite	JJ
plan	NN
of	IN
action	NN
.	.
she	PRP
had	VBD
been	VBN
caught	VBN
up	RP
and	CC
swept	VBN
away	RB
by	IN
an	DT
over	RB
-	HYPH
mastering	VBG
desire	NN
for	IN
escape	NN
that	WDT
left	VBD
no	DT
room	NN
in	IN
her	PRP$
mind	NN
for	IN
thoughts	NNS
of	IN
the	DT
morrow	NN
.	.
it	PRP
was	VBD
not	RB
till	IN
the	DT
train	NN
was	VBD
roaring	VBG
its	PRP$
way	NN
across	IN
southern	NNP
france	NNP
that	WRB
she	PRP
found	VBD
herself	PRP
sufficiently	RB
composed	JJ
to	TO
review	VB
her	PRP$
position	NN
and	CC
make	VB
plans	NNS
.	.
she	PRP
would	MD
not	RB
go	VB
back	RB
.	.
she	PRP
could	MD
not	RB
.	.
the	DT
words	NNS
she	PRP
had	VBD
used	VBN
in	IN
her	PRP$
letter	NN
to	IN
mr	NNP
.	NNP
scobell	NNP
were	VBD
no	DT
melodramatic	JJ
rhetoric	NN
.	.
they	PRP
were	VBD
a	DT
plain	JJ
and	CC
literal	JJ
statement	NN
of	IN
the	DT
truth	NN
.	.
death	NN
would	MD
be	VB
infinitely	RB
preferable	JJ
to	IN
life	NN
at	IN
mervo	NNP
on	IN
her	PRP$
stepfather	NN
's	POS
conditions	NNS
.	.
but	CC
,	,
that	DT
settled	VBN
,	,
what	WP
then	RB
?	.
what	WP
was	VBD
she	PRP
to	TO
do	VB
?	.
the	DT
gods	NNS
are	VBP
businesslike	JJ
.	.
they	PRP
sell	VBP
;	:
they	PRP
do	VBP
not	RB
give	VB
.	.
and	CC
for	IN
what	WP
they	PRP
sell	VBP
they	PRP
demand	VBP
a	DT
heavy	JJ
price	NN
.	.
we	PRP
may	MD
buy	VB
life	NN
of	IN
them	PRP
in	IN
many	JJ
ways	NNS
with	IN
our	PRP$
honor	NN
,	,
our	PRP$
health	NN
,	,
our	PRP$
independence	NN
,	,
our	PRP$
happiness	NN
,	,
with	IN
our	PRP$
brains	NNS
or	CC
with	IN
our	PRP$
hands	NNS
.	.
but	CC
somehow	RB
or	CC
other	JJ
,	,
in	IN
whatever	WDT
currency	NN
we	PRP
may	MD
choose	VB
to	TO
pay	VB
it	PRP
,	,
the	DT
price	NN
must	MD
be	VB
paid	VBN
.	.
betty	NNP
faced	VBD
the	DT
problem	NN
.	.
what	WP
had	VBD
she	PRP
?	.
what	WP
could	MD
she	PRP
give	VB
?	.
her	PRP$
independence	NN
?	.
that	DT
,	,
certainly	RB
.	.
she	PRP
saw	VBD
now	RB
what	WP
a	DT
mockery	NN
that	IN
fancied	VBN
independence	NN
had	VBD
been	VBN
.	.
she	PRP
had	VBD
come	VBN
and	CC
gone	VBN
as	IN
she	PRP
pleased	VBD
,	,
her	PRP$
path	NN
smoothed	VBN
by	IN
her	PRP$
stepfather	NN
's	POS
money	NN
,	,
and	CC
she	PRP
had	VBD
been	VBN
accustomed	VBN
to	TO
consider	VB
herself	PRP
free	JJ
.	.
she	PRP
had	VBD
learned	VBN
wisdom	NN
now	RB
,	,
and	CC
could	MD
understand	VB
that	IN
it	PRP
was	VBD
only	RB
by	IN
sacrificing	VBG
such	JJ
artificial	JJ
independence	NN
that	WRB
she	PRP
could	MD
win	VB
through	IN
to	IN
freedom	NN
.	.
the	DT
world	NN
was	VBD
a	DT
market	NN
,	,
and	CC
the	DT
only	JJ
independent	JJ
people	NNS
in	IN
it	PRP
were	VBD
those	DT
who	WP
had	VBD
a	DT
market	NN
value	NN
.	.
the	DT
tremor	NN
of	IN
hope	NN
did	VBD
not	RB
comfort	VB
her	PRP
long	RB
.	.
her	PRP$
mood	NN
was	VBD
critical	JJ
,	,
and	CC
she	PRP
saw	VBD
that	IN
in	IN
this	DT
,	,
her	PRP$
one	CD
accomplishment	NN
,	,
she	PRP
was	VBD
,	,
as	IN
in	IN
everything	NN
else	RB
,	,
an	DT
amateur	NN
.	.
she	PRP
could	MD
not	RB
compete	VB
against	IN
professionals	NNS
.	.
she	PRP
closed	VBD
her	PRP$
eyes	NNS
,	,
and	CC
had	VBD
a	DT
momentary	JJ
vision	NN
of	IN
those	DT
professionals	NNS
,	,
keen	JJ
of	IN
face	NN
,	,
leathern	JJ
of	IN
finger	NN
,	,
rattling	VBG
out	RP
myriads	NNS
of	IN
words	NNS
at	IN
a	DT
dizzy	JJ
speed	NN
.	.
and	CC
,	,
at	IN
that	DT
,	,
all	DT
her	PRP$
courage	NN
suddenly	RB
broke	VBD
;	:
she	PRP
drooped	VBD
forlornly	RB
,	,
and	CC
,	,
hiding	VBG
her	PRP$
face	NN
on	IN
the	DT
cushioned	JJ
arm	NN
-	HYPH
rest	NN
,	,
she	PRP
began	VBD
to	TO
cry	VB
.	.
just	RB
as	IN
the	DT
beginner	NN
at	IN
golf	NN
may	MD
effect	VB
a	DT
drive	NN
surpassing	VBG
that	DT
of	IN
the	DT
expert	NN
,	,
so	RB
may	MD
a	DT
child	NN
unconsciously	RB
eclipse	VB
the	DT
practised	VBN
courtier	NN
.	.
but	CC
betty	NNP
,	,
ignoring	VBG
these	DT
,	,
jumped	VBD
up	IN
and	CC
down	IN
before	IN
the	DT
dingy	JJ
clock	NN
,	,
demanding	VBG
further	JJ
trumpetings	NNS
,	,
and	CC
,	,
turning	VBG
to	IN
mrs	NNP
.	NNP
oakley	NNP
,	,
as	IN
one	CD
possessing	VBG
influence	NN
,	,
she	PRP
was	VBD
aware	JJ
of	IN
a	DT
curious	JJ
,	,
intent	JJ
look	NN
in	IN
the	DT
old	JJ
lady	NN
's	POS
eyes	NNS
.	.
"	``
do	VBP
you	PRP
like	VB
that	DT
clock	NN
,	,
my	PRP$
dear	NN
?	.
"	''
said	VBD
mrs	NNP
.	NNP
oakley	NNP
.	.
"	``
yes	UH
!	.
oh	UH
,	,
yes	UH
!	.
"	''
"	``
perhaps	RB
you	PRP
shall	MD
have	VB
it	PRP
some	DT
day	NN
,	,
honey	NN
.	.
"	''
she	PRP
knew	VBD
now	RB
what	WP
everybody	NN
knew	VBD
of	IN
mrs	NNP
.	NNP
oakley	NNP
her	PRP$
history	NN
,	,
her	PRP$
eccentricities	NNS
,	,
and	CC
the	DT
miserliness	NN
of	IN
which	WDT
the	DT
papers	NNS
spoke	VBD
with	IN
a	DT
satirical	JJ
lightness	NN
that	WDT
seemed	VBD
somehow	RB
but	IN
a	DT
thin	JJ
disguise	NN
for	IN
what	WP
was	VBD
almost	RB
admiration	NN
.	.
mrs	NNP
.	NNP
oakley	NNP
was	VBD
one	CD
of	IN
two	CD
children	NNS
,	,
a	DT
son	NN
and	CC
a	DT
daughter	NN
,	,
of	IN
a	DT
vermont	NNP
farmer	NN
.	.
of	IN
her	PRP$
early	JJ
life	NN
no	DT
records	NNS
remain	VBP
.	.
her	PRP$
public	JJ
history	NN
begins	VBZ
when	WRB
she	PRP
was	VBD
twenty	CD
-	HYPH
two	CD
and	CC
came	VBD
to	IN
new	NNP
york	NNP
.	.
after	IN
two	CD
years	NNS
'	POS
she	PRP
did	VBD
not	RB
marry	VB
again	RB
,	,
though	IN
it	PRP
was	VBD
rumored	VBN
that	IN
it	PRP
took	VBD
three	CD
secretaries	NNS
,	,
working	VBG
nine	CD
hours	NNS
a	DT
day	NN
,	,
to	TO
cope	VB
with	IN
the	DT
written	VBN
proposals	NNS
,	,
and	CC
that	IN
butler	NN
after	IN
butler	NN
contracted	VBD
clergyman	NN
's	POS
sore	JJ
throat	NN
through	IN
denying	VBG
admittance	NN
to	IN
amorous	JJ
callers	NNS
.	.
in	IN
the	DT
ten	CD
years	NNS
after	IN
alexander	NNP
baynes	NNP
'	POS
death	NN
,	,
every	DT
impecunious	JJ
aristocrat	NN
in	IN
the	DT
civilized	JJ
world	NN
must	MD
have	VB
made	VBN
his	PRP$
dash	NN
for	IN
the	DT
matrimonial	JJ
pole	NN
.	.
but	CC
her	PRP$
pale	JJ
eyes	NNS
looked	VBD
them	PRP
over	RP
,	,
and	CC
dismissed	VBD
them	PRP
.	.
during	IN
those	DT
early	JJ
years	NNS
she	PRP
was	VBD
tempted	VBN
once	RB
or	CC
twice	RB
to	IN
speculation	NN
.	.
a	DT
failure	NN
in	IN
a	DT
cotton	NN
deal	NN
not	RB
only	RB
cured	VBD
her	PRP
of	IN
this	DT
taste	NN
,	,
but	CC
seems	VBZ
to	TO
have	VB
marked	VBN
the	DT
point	NN
in	IN
her	PRP$
career	NN
when	WRB
her	PRP$
thoughts	NNS
began	VBD
to	TO
turn	VB
to	IN
parsimony	NN
.	.
until	IN
then	RB
she	PRP
had	VBD
lived	VBN
in	IN
some	DT
state	NN
,	,
but	CC
now	RB
,	,
gradually	RB
at	IN
first	RB
,	,
then	RB
swiftly	RB
,	,
she	PRP
began	VBD
to	TO
cut	VB
down	RP
her	PRP$
expenses	NNS
.	.
now	RB
we	PRP
find	VBP
her	PRP
in	IN
an	DT
apartment	NN
in	IN
west	NNP
central	NNP
park	NNP
,	,
next	RB
in	IN
a	DT
washington	NNP
square	NNP
hotel	NN
,	,
then	RB
in	IN
a	DT
harlem	NNP
flat	NN
,	,
and	CC
finally	RB
her	PRP$
last	JJ
,	,
fixed	VBN
abiding	VBG
-	HYPH
place	NN
in	IN
a	DT
small	JJ
cottage	NN
on	IN
staten	NNP
island	NNP
.	.
it	PRP
was	VBD
a	DT
curious	JJ
life	NN
that	WDT
she	PRP
led	VBD
,	,
this	DT
woman	NN
who	WP
could	MD
have	VB
bought	VBN
kingdoms	NNS
if	IN
she	PRP
had	VBD
willed	VBN
it	PRP
.	.
a	DT
swedish	JJ
maid	NN
-	HYPH
of	IN
-	HYPH
all	DT
-	HYPH
work	NN
was	VBD
her	PRP$
only	JJ
companion	NN
.	.
by	IN
day	NN
she	PRP
would	MD
walk	VB
in	IN
her	PRP$
little	JJ
garden	NN
,	,
or	CC
dust	VB
,	,
arrange	VB
and	CC
wind	VB
up	RP
her	PRP$
clocks	NNS
.	.
at	IN
night	NN
,	,
she	PRP
would	MD
knit	VB
,	,
or	CC
read	VB
one	CD
of	IN
the	DT
frequent	JJ
reports	NNS
that	WDT
arrived	VBD
at	IN
the	DT
cottage	NN
from	IN
charity	NN
workers	NNS
on	IN
the	DT
east	JJ
side	NN
.	.
those	DT
were	VBD
her	PRP$
two	CD
hobbies	NNS
,	,
and	CC
her	PRP$
only	JJ
extravagances	NNS
clocks	NNS
and	CC
charity	NN
.	.
her	PRP$
charity	NN
had	VBD
its	PRP$
limitations	NNS
.	.
in	IN
actual	JJ
money	NN
she	PRP
expended	VBD
little	JJ
.	.
