how	WRB
proceed	VB
.	.
book	NN
i.	NNP
(	-LRB-
folio	NN
)	-RRB-
,	,
chapter	NN
v.	NN
(	-LRB-
razor	NNP
back).—of	:
this	DT
whale	NN
little	JJ
is	VBZ
known	VBN
but	IN
his	PRP$
name	NN
.	.
i	PRP
have	VBP
seen	VBN
him	PRP
at	IN
a	DT
distance	NN
off	IN
cape	NNP
horn	NNP
.	.
of	IN
a	DT
retiring	VBG
nature	NN
,	,
he	PRP
eludes	VBZ
both	CC
hunters	NNS
and	CC
philosophers	NNS
.	.
though	IN
no	DT
coward	NN
,	,
he	PRP
has	VBZ
never	RB
yet	RB
shown	VBN
any	DT
part	NN
of	IN
him	PRP
but	CC
his	PRP$
back	NN
,	,
which	WDT
rises	VBZ
in	IN
a	DT
long	JJ
sharp	JJ
ridge	NN
.	.
let	VB
him	PRP
go	VB
.	.
i	PRP
know	VBP
little	JJ
more	JJR
of	IN
him	PRP
,	,
nor	CC
does	VBZ
anybody	NN
else	RB
.	.
book	NN
i.	NNP
(	-LRB-
folio	NN
)	-RRB-
,	,
chapter	NN
vi	NN
.	.
(	-LRB-
sulphur	NNP
bottom).—another	NNP
retiring	VBG
gentleman	NN
,	,
with	IN
a	DT
brimstone	NN
belly	NN
,	,
doubtless	RB
got	VBD
by	IN
scraping	VBG
along	IN
the	DT
tartarian	JJ
tiles	NNS
in	IN
some	DT
of	IN
his	PRP$
profounder	JJR
divings	NNS
.	.
he	PRP
is	VBZ
seldom	RB
seen	VBN
;	:
at	IN
least	JJS
i	PRP
have	VBP
never	RB
seen	VBN
him	PRP
except	IN
in	IN
the	DT
remoter	JJR
southern	JJ
seas	NNPS
,	,
and	CC
then	RB
always	RB
at	IN
too	RB
great	JJ
a	DT
distance	NN
to	TO
study	VB
his	PRP$
countenance	NN
.	.
he	PRP
is	VBZ
never	RB
chased	VBN
;	:
he	PRP
would	MD
run	VB
away	RB
with	IN
rope	NN
-	HYPH
walks	NNS
of	IN
line	NN
.	.
prodigies	NNS
are	VBP
told	VBN
of	IN
him	PRP
.	.
adieu	FW
,	,
sulphur	NNP
bottom	NNP
!	.
i	PRP
can	MD
say	VB
nothing	NN
more	JJR
that	WDT
is	VBZ
true	JJ
of	IN
ye	PRP
,	,
nor	CC
can	MD
the	DT
oldest	JJS
nantucketer	NN
.	.
thus	RB
ends	VBZ
book	NN
i.	NN
(	-LRB-
folio	NN
)	-RRB-
,	,
and	CC
now	RB
begins	VBZ
book	NN
ii	CD
.	NN
(	-LRB-
octavo	NNP
)	-RRB-
.	.
octavoes.*—these	NNS
embrace	VBP
the	DT
whales	NNS
of	IN
middling	JJ
magnitude	NN
,	,
among	IN
which	WDT
present	JJ
may	MD
be	VB
numbered:—i	:
.	LS
,	,
the	DT
grampus	NN
;	:
ii	LS
.	LS
,	,
the	DT
black	JJ
fish	NN
;	:
iii	LS
.	LS
,	,
the	DT
narwhale	NN
;	:
iv	LS
.	LS
,	,
the	DT
thrasher	NN
;	:
v.	LS
,	,
the	DT
killer	NN
.	.
*	NFP
why	WRB
this	DT
book	NN
of	IN
whales	NNPS
is	VBZ
not	RB
denominated	VBN
the	DT
quarto	NN
is	VBZ
very	RB
plain	JJ
.	.
because	IN
,	,
while	IN
the	DT
whales	NNS
of	IN
this	DT
order	NN
,	,
though	IN
smaller	JJR
than	IN
those	DT
of	IN
the	DT
former	JJ
order	NN
,	,
nevertheless	RB
retain	VBP
a	DT
proportionate	JJ
likeness	NN
to	IN
them	PRP
in	IN
figure	NN
,	,
yet	RB
the	DT
bookbinder	NN
’s	POS
quarto	NN
volume	NN
in	IN
its	PRP$
dimensioned	JJ
form	NN
does	VBZ
not	RB
preserve	VB
the	DT
shape	NN
of	IN
the	DT
folio	NN
volume	NN
,	,
but	CC
the	DT
octavo	NNP
volume	NN
does	VBZ
.	.
book	NN
ii	NN
.	NN
(	-LRB-
octavo	NNP
)	-RRB-
,	,
chapter	NN
ii	NN
.	NN
(	-LRB-
black	JJ
fish).—i	NNP
give	VBP
the	DT
popular	JJ
fishermen	NNS
’s	POS
names	NNS
for	IN
all	PDT
these	DT
fish	NN
,	,
for	IN
generally	RB
they	PRP
are	VBP
the	DT
best	JJS
.	.
though	IN
their	PRP$
blubber	NN
is	VBZ
very	RB
thin	JJ
,	,
some	DT
of	IN
these	DT
whales	NNS
will	MD
yield	VB
you	PRP
upwards	RB
of	IN
thirty	CD
gallons	NNS
of	IN
oil	NN
.	.
the	DT
narwhale	NN
i	PRP
have	VBP
heard	VBN
called	VBN
the	DT
tusked	JJ
whale	NN
,	,
the	DT
horned	JJ
whale	NN
,	,
and	CC
the	DT
unicorn	NNP
whale	NN
.	.
he	PRP
is	VBZ
certainly	RB
a	DT
curious	JJ
example	NN
of	IN
the	DT
unicornism	NN
to	TO
be	VB
found	VBN
in	IN
almost	RB
every	DT
kingdom	NN
of	IN
animated	JJ
nature	NN
.	.
from	IN
certain	JJ
cloistered	JJ
old	JJ
authors	NNS
i	PRP
have	VBP
gathered	VBN
that	IN
this	DT
same	JJ
sea	NN
-	HYPH
unicorn	NN
’s	POS
horn	NN
was	VBD
in	IN
ancient	JJ
days	NNS
regarded	VBN
as	IN
the	DT
great	JJ
antidote	NN
against	IN
poison	NN
,	,
and	CC
as	IN
such	JJ
,	,
preparations	NNS
of	IN
it	PRP
brought	VBD
immense	JJ
prices	NNS
.	.
it	PRP
was	VBD
also	RB
distilled	VBN
to	IN
a	DT
volatile	JJ
salts	NNS
for	IN
fainting	VBG
ladies	NNS
,	,
the	DT
same	JJ
way	NN
that	WDT
the	DT
horns	NNS
of	IN
the	DT
male	JJ
deer	NN
are	VBP
manufactured	VBN
into	IN
hartshorn	NNP
.	.
originally	RB
it	PRP
was	VBD
in	IN
itself	PRP
accounted	VBN
an	DT
object	NN
of	IN
great	JJ
curiosity	NN
.	.
the	DT
narwhale	NN
has	VBZ
a	DT
very	RB
picturesque	JJ
,	,
leopard	NN
-	HYPH
like	JJ
look	NN
,	,
being	VBG
of	IN
a	DT
milk	NN
-	HYPH
white	JJ
ground	NN
colour	NN
,	,
dotted	VBN
with	IN
round	JJ
and	CC
oblong	JJ
spots	NNS
of	IN
black	NN
.	.
his	PRP$
oil	NN
is	VBZ
very	RB
superior	JJ
,	,
clear	JJ
and	CC
fine	JJ
;	:
but	CC
there	EX
is	VBZ
little	JJ
of	IN
it	PRP
,	,
and	CC
he	PRP
is	VBZ
seldom	RB
hunted	VBN
.	.
he	PRP
is	VBZ
mostly	RB
found	VBN
in	IN
the	DT
circumpolar	JJ
seas	NNPS
.	.
book	NN
ii	CD
.	NN
(	-LRB-
octavo	NNP
)	-RRB-
,	,
chapter	NN
iv	CD
.	NN
(	-LRB-
killer).—of	NN
this	DT
whale	NN
little	JJ
is	VBZ
precisely	RB
known	VBN
to	IN
the	DT
nantucketer	NN
,	,
and	CC
nothing	NN
at	RB
all	RB
to	IN
the	DT
professed	JJ
naturalist	NN
.	.
from	IN
what	WP
i	PRP
have	VBP
seen	VBN
of	IN
him	PRP
at	IN
a	DT
distance	NN
,	,
i	PRP
should	MD
say	VB
that	IN
he	PRP
was	VBD
about	IN
the	DT
bigness	NN
of	IN
a	DT
grampus	NN
.	.
he	PRP
is	VBZ
very	RB
savage	JJ
—	:
a	DT
sort	NN
of	IN
feegee	NN
fish	NN
.	.
he	PRP
sometimes	RB
takes	VBZ
the	DT
great	JJ
folio	NNP
whales	NNS
by	IN
the	DT
lip	NN
,	,
and	CC
hangs	VBZ
there	RB
like	IN
a	DT
leech	NN
,	,
till	IN
the	DT
mighty	JJ
brute	NN
is	VBZ
worried	VBN
to	IN
death	NN
.	.
the	DT
killer	NN
is	VBZ
never	RB
hunted	VBN
.	.
i	PRP
never	RB
heard	VBD
what	WP
sort	NN
of	IN
oil	NN
he	PRP
has	VBZ
.	.
exception	NN
might	MD
be	VB
taken	VBN
to	IN
the	DT
name	NN
bestowed	VBN
upon	IN
this	DT
whale	NN
,	,
on	IN
the	DT
ground	NN
of	IN
its	PRP$
indistinctness	NN
.	.
for	CC
we	PRP
are	VBP
all	DT
killers	NNS
,	,
on	IN
land	NN
and	CC
on	IN
sea	NN
;	:
bonapartes	NNS
and	CC
sharks	NNS
included	VBN
.	.
book	NN
ii	NN
.	NNP
(	-LRB-
octavo	NNP
)	-RRB-
,	,
chapter	NN
v.	NN
(	-LRB-
thrasher).—this	NNP
gentleman	NN
is	VBZ
famous	JJ
for	IN
his	PRP$
tail	NN
,	,
which	WDT
he	PRP
uses	VBZ
for	IN
a	DT
ferule	NN
in	IN
thrashing	VBG
his	PRP$
foes	NNS
.	.
he	PRP
mounts	VBZ
the	DT
folio	NNP
whale	NN
back	RB
,	,
and	CC
as	IN
he	PRP
swims	VBZ
,	,
he	PRP
works	VBZ
his	PRP$
passage	NN
by	IN
flogging	VBG
him	PRP
;	:
as	IN
some	DT
schoolmasters	NNS
get	VBP
along	RP
in	IN
the	DT
world	NN
by	IN
a	DT
similar	JJ
process	NN
.	.
still	RB
less	JJR
is	VBZ
known	VBN
of	IN
the	DT
thrasher	NN
than	IN
of	IN
the	DT
killer	NN
.	.
both	DT
are	VBP
outlaws	NNS
,	,
even	RB
in	IN
the	DT
lawless	JJ
seas	NNS
.	.
thus	RB
ends	VBZ
book	NN
ii	CD
.	NNP
(	-LRB-
octavo	NNP
)	-RRB-
,	,
and	CC
begins	VBZ
book	NN
iii	CD
.	NN
(	-LRB-
duodecimo	NNP
)	-RRB-
.	.
duodecimoes.—these	NNS
include	VBP
the	DT
smaller	JJR
whales	NNS
.	.
i.	LS
the	DT
huzza	NNP
porpoise	NN
.	.
ii	LS
.	.
the	DT
algerine	JJ
porpoise	NN
.	.
iii	LS
.	LS
the	DT
mealy	JJ
-	HYPH
mouthed	JJ
porpoise	NN
.	.
to	IN
those	DT
who	WP
have	VBP
not	RB
chanced	VBN
specially	RB
to	TO
study	VB
the	DT
subject	NN
,	,
it	PRP
may	MD
possibly	RB
seem	VB
strange	JJ
,	,
that	IN
fishes	NNS
not	RB
commonly	RB
exceeding	VBG
four	CD
or	CC
five	CD
feet	NNS
should	MD
be	VB
marshalled	VBN
among	IN
whales	NNS
—	:
a	DT
word	NN
,	,
which	WDT
,	,
in	IN
the	DT
popular	JJ
sense	NN
,	,
always	RB
conveys	VBZ
an	DT
idea	NN
of	IN
hugeness	NN
.	.
but	CC
the	DT
creatures	NNS
set	VBD
down	RP
above	RB
as	IN
duodecimoes	NNS
are	VBP
infallibly	RB
whales	NNS
,	,
by	IN
the	DT
terms	NNS
of	IN
my	PRP$
definition	NN
of	IN
what	WP
a	DT
whale	NN
is	VBZ
—	:
i.e.	FW
a	DT
spouting	VBG
fish	NN
,	,
with	IN
a	DT
horizontal	JJ
tail	NN
.	.
book	NN
iii	CD
.	NN
(	-LRB-
duodecimo	FW
)	-RRB-
,	,
chapter	NN
1	CD
.	NN
(	-LRB-
huzza	NN
porpoise).—this	NN
is	VBZ
the	DT
common	JJ
porpoise	NN
found	VBN
almost	RB
all	RB
over	IN
the	DT
globe	NN
.	.
the	DT
name	NN
is	VBZ
of	IN
my	PRP$
own	JJ
bestowal	NN
;	:
for	IN
there	EX
are	VBP
more	JJR
than	IN
one	CD
sort	NN
of	IN
porpoises	NNS
,	,
and	CC
something	NN
must	MD
be	VB
done	VBN
to	TO
distinguish	VB
them	PRP
.	.
i	PRP
call	VBP
him	PRP
thus	RB
,	,
because	IN
he	PRP
always	RB
swims	VBZ
in	IN
hilarious	JJ
shoals	NNS
,	,
which	WDT
upon	IN
the	DT
broad	JJ
sea	NN
keep	VBP
tossing	VBG
themselves	PRP
to	IN
heaven	NNP
like	IN
caps	NNS
in	IN
a	DT
fourth	JJ
-	HYPH
of	IN
-	HYPH
july	NNP
crowd	NN
.	.
their	PRP$
appearance	NN
is	VBZ
generally	RB
hailed	VBN
with	IN
delight	NN
by	IN
the	DT
mariner	NN
.	.
full	JJ
of	IN
fine	JJ
spirits	NNS
,	,
they	PRP
invariably	RB
come	VBP
from	IN
the	DT
breezy	JJ
billows	NNS
to	IN
windward	NNP
.	.
book	NN
iii	CD
.	NNP
(	-LRB-
duodecimo	NNP
)	-RRB-
,	,
chapter	NN
ii	CD
.	.
(	-LRB-
algerine	NNP
porpoise).—a	NNP
pirate	NN
.	.
very	RB
savage	JJ
.	.
he	PRP
is	VBZ
only	RB
found	VBN
,	,
i	PRP
think	VBP
,	,
in	IN
the	DT
pacific	NNP
.	.
he	PRP
is	VBZ
somewhat	RB
larger	JJR
than	IN
the	DT
huzza	NNP
porpoise	NN
,	,
but	CC
much	JJ
of	IN
the	DT
same	JJ
general	JJ
make	NN
.	.
provoke	VB
him	PRP
,	,
and	CC
he	PRP
will	MD
buckle	VB
to	IN
a	DT
shark	NN
.	.
i	PRP
have	VBP
lowered	VBN
for	IN
him	PRP
many	JJ
times	NNS
,	,
but	CC
never	RB
yet	RB
saw	VBD
him	PRP
captured	VBN
.	.
the	DT
white	NN
comprises	VBZ
part	NN
of	IN
his	PRP$
head	NN
,	,
and	CC
the	DT
whole	NN
of	IN
his	PRP$
mouth	NN
,	,
which	WDT
makes	VBZ
him	PRP
look	VB
as	IN
if	IN
he	PRP
had	VBD
just	RB
escaped	VBN
from	IN
a	DT
felonious	JJ
visit	NN
to	IN
a	DT
meal	NN
-	HYPH
bag	NN
.	.
a	DT
most	RBS
mean	JJ
and	CC
mealy	JJ
aspect	NN
!	.
his	PRP$
oil	NN
is	VBZ
much	RB
like	IN
that	DT
of	IN
the	DT
common	JJ
porpoise	NN
.	.
*	NFP
*	NFP
*	NFP
*	NFP
*	NFP
*	NFP
chapter	NN
33	CD
.	.
the	DT
specksnyder	NNP
.	.
concerning	VBG
the	DT
officers	NNS
of	IN
the	DT
whale	NN
-	HYPH
craft	NN
,	,
this	DT
seems	VBZ
as	RB
good	JJ
a	DT
place	NN
as	IN
any	DT
to	TO
set	VB
down	RP
a	DT
little	JJ
domestic	JJ
peculiarity	NN
on	IN
ship	NN
-	HYPH
board	NN
,	,
arising	VBG
from	IN
the	DT
existence	NN
of	IN
the	DT
harpooneer	NN
class	NN
of	IN
officers	NNS
,	,
a	DT
class	NN
unknown	JJ
of	IN
course	NN
in	IN
any	DT
other	JJ
marine	NN
than	IN
the	DT
whale	NN
-	HYPH
fleet	NN
.	.
now	RB
,	,
the	DT
grand	JJ
distinction	NN
drawn	VBN
between	IN
officer	NN
and	CC
man	NN
at	IN
sea	NN
,	,
is	VBZ
this	DT
—	:
the	DT
first	JJ
lives	VBZ
aft	RB
,	,
the	DT
last	JJ
forward	RB
.	.
hence	RB
,	,
in	IN
whale	NN
-	HYPH
ships	NNS
and	CC
merchantmen	NNS
alike	RB
,	,
the	DT
mates	NNS
have	VBP
their	PRP$
quarters	NNS
with	IN
the	DT
captain	NN
;	:
and	CC
so	RB
,	,
too	RB
,	,
in	IN
most	JJS
of	IN
the	DT
american	JJ
whalers	NNS
the	DT
harpooneers	NNS
are	VBP
lodged	VBN
in	IN
the	DT
after	JJ
part	NN
of	IN
the	DT
ship	NN
.	.
that	DT
is	VBZ
to	TO
say	VB
,	,
they	PRP
take	VBP
their	PRP$
meals	NNS
in	IN
the	DT
captain	NN
’s	POS
cabin	NN
,	,
and	CC
sleep	VBP
in	IN
a	DT
place	NN
indirectly	RB
communicating	VBG
with	IN
it	PRP
.	.
and	CC
though	IN
of	IN
all	DT
men	NNS
the	DT
moody	JJ
captain	NN
of	IN
the	DT
pequod	NNP
was	VBD
the	DT
least	JJS
given	VBN
to	IN
that	DT
sort	NN
of	IN
shallowest	JJS
assumption	NN
;	:
and	CC
though	IN
the	DT
only	JJ
homage	NN
he	PRP
ever	RB
exacted	VBD
,	,
was	VBD
implicit	JJ
,	,
instantaneous	JJ
obedience	NN
;	:
though	IN
he	PRP
required	VBD
no	DT
man	NN
to	TO
remove	VB
the	DT
shoes	NNS
from	IN
his	PRP$
feet	NNS
ere	IN
stepping	VBG
upon	IN
the	DT
quarter	NN
-	HYPH
deck	NN
;	:
and	CC
though	IN
there	EX
were	VBD
times	NNS
when	WRB
,	,
owing	VBG
to	IN
peculiar	JJ
circumstances	NNS
connected	VBN
with	IN
events	NNS
hereafter	RB
to	TO
be	VB
detailed	VBN
,	,
he	PRP
addressed	VBD
them	PRP
in	IN
unusual	JJ
terms	NNS
,	,
whether	IN
of	IN
condescension	NN
or	CC
in	IN
terrorem	FW
,	,
or	CC
otherwise	RB
;	:
yet	CC
even	RB
captain	NNP
ahab	NNP
was	VBD
by	IN
no	DT
means	NN
unobservant	JJ
of	IN
the	DT
paramount	JJ
forms	NNS
and	CC
usages	NNS
of	IN
the	DT
sea	NN
.	.
this	DT
it	PRP
is	VBZ
,	,
that	IN
for	IN
ever	RB
keeps	VBZ
god	NNP
’s	POS
true	JJ
princes	NNS
of	IN
the	DT
empire	NN
from	IN
the	DT
world	NN
’s	POS
hustings	NNS
;	:
and	CC
leaves	VBZ
the	DT
highest	JJS
honors	NNS
that	WDT
this	DT
air	NN
can	MD
give	VB
,	,
to	IN
those	DT
men	NNS
who	WP
become	VBP
famous	JJ
more	RBR
through	IN
their	PRP$
infinite	JJ
inferiority	NN
to	IN
the	DT
choice	NN
hidden	VBN
handful	NN
of	IN
the	DT
divine	JJ
inert	JJ
,	,
than	IN
through	IN
their	PRP$
undoubted	JJ
superiority	NN
over	IN
the	DT
dead	JJ
level	NN
of	IN
the	DT
mass	NN
.	.
such	JJ
large	JJ
virtue	NN
lurks	VBZ
in	IN
these	DT
small	JJ
things	NNS
when	WRB
extreme	JJ
political	JJ
superstitions	NNS
invest	VBP
them	PRP
,	,
that	IN
in	IN
some	DT
royal	JJ
instances	NNS
even	RB
to	IN
idiot	NN
imbecility	NN
they	PRP
have	VBP
imparted	VBN
potency	NN
.	.
but	CC
when	WRB
,	,
as	IN
in	IN
the	DT
case	NN
of	IN
nicholas	NNP
the	DT
czar	NN
,	,
the	DT
ringed	JJ
crown	NN
of	IN
geographical	JJ
empire	NN
encircles	VBZ
an	DT
imperial	JJ
brain	NN
;	:
then	RB
,	,
the	DT
plebeian	JJ
herds	NNS
crouch	VBP
abased	VBN
before	IN
the	DT
tremendous	JJ
centralization	NN
.	.
nor	CC
,	,
will	MD
the	DT
tragic	JJ
dramatist	NN
who	WP
would	MD
depict	VB
mortal	JJ
indomitableness	NN
in	IN
its	PRP$
fullest	JJS
sweep	NN
and	CC
direct	JJ
swing	NN
,	,
ever	RB
forget	VB
a	DT
hint	NN
,	,
incidentally	RB
so	RB
important	JJ
in	IN
his	PRP$
art	NN
,	,
as	IN
the	DT
one	NN
now	RB
alluded	VBD
to	IN
.	.
but	CC
ahab	NNP
,	,
my	PRP$
captain	NN
,	,
still	RB
moves	VBZ
before	IN
me	PRP
in	IN
all	DT
his	PRP$
nantucket	NNP
grimness	NN
and	CC
shagginess	NN
;	:
and	CC
in	IN
this	DT
episode	NN
touching	VBG
emperors	NNS
and	CC
kings	NNS
,	,
i	PRP
must	MD
not	RB
conceal	VB
that	IN
i	PRP
have	VBP
only	RB
to	TO
do	VB
with	IN
a	DT
poor	JJ
old	JJ
whale	NN
-	HYPH
hunter	NN
like	IN
him	PRP
;	:
and	CC
,	,
therefore	RB
,	,
all	DT
outward	JJ
majestical	JJ
trappings	NNS
and	CC
housings	NNS
are	VBP
denied	VBN
me	PRP
.	.
oh	UH
,	,
ahab	NNP
!	.
what	WP
shall	MD
be	VB
grand	JJ
in	IN
thee	PRP
,	,
it	PRP
must	MD
needs	VB
be	VB
plucked	VBN
at	IN
from	IN
the	DT
skies	NNS
,	,
and	CC
dived	VBN
for	IN
in	IN
the	DT
deep	JJ
,	,
and	CC
featured	VBN
in	IN
the	DT
unbodied	JJ
air	NN
!	.
chapter	NN
34	CD
.	.
the	DT
cabin	NN
-	HYPH
table	NN
.	.
starbuck	NNP
,	,
”	''
disappears	VBZ
into	IN
the	DT
cabin	NN
.	.
who	WP
has	VBZ
but	CC
once	RB
dined	VBN
his	PRP$
friends	NNS
,	,
has	VBZ
tasted	VBN
what	WP
it	PRP
is	VBZ
to	TO
be	VB
cæsar	NNP
.	.
it	PRP
is	VBZ
a	DT
witchery	NN
of	IN
social	JJ
czarship	NN
which	WDT
there	EX
is	VBZ
no	DT
withstanding	VBG
.	.
now	RB
,	,
if	IN
to	IN
this	DT
consideration	NN
you	PRP
superadd	VBP
the	DT
official	JJ
supremacy	NN
of	IN
a	DT
ship	NN
-	HYPH
master	NN
,	,
then	RB
,	,
by	IN
inference	NN
,	,
you	PRP
will	MD
derive	VB
the	DT
cause	NN
of	IN
that	DT
peculiarity	NN
of	IN
sea	NN
-	HYPH
life	NN
just	RB
mentioned	VBN
.	.
least	RBS
of	IN
all	DT
,	,
did	VBD
flask	NNP
presume	VB
to	TO
help	VB
himself	PRP
to	IN
butter	NN
.	.
whether	IN
he	PRP
thought	VBD
the	DT
owners	NNS
of	IN
the	DT
ship	NN
denied	VBD
it	PRP
to	IN
him	PRP
,	,
on	IN
account	NN
of	IN
its	PRP$
clotting	VBG
his	PRP$
clear	JJ
,	,
sunny	JJ
complexion	NN
;	:
or	CC
whether	IN
he	PRP
deemed	VBD
that	IN
,	,
on	IN
so	RB
long	JJ
a	DT
voyage	NN
in	IN
such	JJ
marketless	JJ
waters	NNS
,	,
butter	NN
was	VBD
at	IN
a	DT
premium	NN
,	,
and	CC
therefore	RB
was	VBD
not	RB
for	IN
him	PRP
,	,
a	DT
subaltern	NN
;	:
however	WRB
it	PRP
was	VBD
,	,
flask	NN
,	,
alas	UH
!	.
was	VBD
a	DT
butterless	JJ
man	NN
!	.
now	RB
,	,
ahab	NNP
and	CC
his	PRP$
three	CD
mates	NNS
formed	VBD
what	WP
may	MD
be	VB
called	VBN
the	DT
first	JJ
table	NN
in	IN
the	DT
pequod	NN
’s	POS
cabin	NN
.	.
after	IN
their	PRP$
departure	NN
,	,
taking	VBG
place	NN
in	IN
inverted	JJ
order	NN
to	IN
their	PRP$
arrival	NN
,	,
the	DT
canvas	NN
cloth	NN
was	VBD
cleared	VBN
,	,
or	CC
rather	RB
was	VBD
restored	VBN
to	IN
some	DT
hurried	JJ
order	NN
by	IN
the	DT
pallid	JJ
steward	NN
.	.
and	CC
then	RB
the	DT
three	CD
harpooneers	NNS
were	VBD
bidden	VBN
to	IN
the	DT
feast	NN
,	,
they	PRP
being	VBG
its	PRP$
residuary	NN
legatees	NNS
.	.
they	PRP
made	VBD
a	DT
sort	NN
of	IN
temporary	JJ
servants	NNS
’	POS
hall	NN
of	IN
the	DT
high	JJ
and	CC
mighty	JJ
cabin	NN
.	.
hard	JJ
fares	VBZ
the	DT
white	JJ
waiter	NN
who	WP
waits	VBZ
upon	IN
cannibals	NNS
.	.
not	RB
a	DT
napkin	NN
should	MD
he	PRP
carry	VB
on	IN
his	PRP$
arm	NN
,	,
but	CC
a	DT
buckler	NN
.	.
in	IN
good	JJ
time	NN
,	,
though	RB
,	,
to	IN
his	PRP$
great	JJ
delight	NN
,	,
the	DT
three	CD
salt	NN
-	HYPH
sea	NN
warriors	NNS
would	MD
rise	VB
and	CC
depart	VB
;	:
to	IN
his	PRP$
credulous	JJ
,	,
fable	NN
-	HYPH
mongering	VBG
ears	NNS
,	,
all	DT
their	PRP$
martial	JJ
bones	NNS
jingling	VBG
in	IN
them	PRP
at	IN
every	DT
step	NN
,	,
like	IN
moorish	JJ
scimetars	NNS
in	IN
scabbards	NNS
.	.
but	CC
,	,
though	IN
these	DT
barbarians	NNS
dined	VBD
in	IN
the	DT
cabin	NN
,	,
and	CC
nominally	RB
lived	VBD
there	RB
;	:
still	RB
,	,
being	VBG
anything	NN
but	CC
sedentary	JJ
in	IN
their	PRP$
habits	NNS
,	,
they	PRP
were	VBD
scarcely	RB
ever	RB
in	IN
it	PRP
except	IN
at	IN
mealtimes	NNS
,	,
and	CC
just	RB
before	IN
sleeping	NN
-	HYPH
time	NN
,	,
when	WRB
they	PRP
passed	VBD
through	IN
it	PRP
to	IN
their	PRP$
own	JJ
peculiar	JJ
quarters	NNS
.	.
chapter	NN
35	CD
.	.
the	DT
mast	NN
-	HYPH
head	NN
.	.
it	PRP
was	VBD
during	IN
the	DT
more	RBR
pleasant	JJ
weather	NN
,	,
that	IN
in	IN
due	JJ
rotation	NN
with	IN
the	DT
other	JJ
seamen	NNS
my	PRP$
first	JJ
mast	NN
-	HYPH
head	NN
came	VBD
round	RB
.	.
in	IN
most	JJS
american	JJ
whalemen	NNS
the	DT
mast	NN
-	HYPH
heads	NNS
are	VBP
manned	VBN
almost	RB
simultaneously	RB
with	IN
the	DT
vessel	NN
’s	POS
leaving	VBG
her	PRP$
port	NN
;	:
even	RB
though	IN
she	PRP
may	MD
have	VB
fifteen	CD
thousand	CD
miles	NNS
,	,
and	CC
more	JJR
,	,
to	TO
sail	VB
ere	VBP
reaching	VBG
her	PRP$
proper	JJ
cruising	NN
ground	NN
.	.
and	CC
if	IN
,	,
after	IN
a	DT
three	CD
,	,
four	CD
,	,
or	CC
five	CD
years	NNS
’	POS
voyage	NN
she	PRP
is	VBZ
drawing	VBG
nigh	RB
home	RB
with	IN
anything	NN
empty	JJ
in	IN
her	PRP
—	:
say	UH
,	,
an	DT
empty	JJ
vial	NN
even	RB
—	:
then	RB
,	,
her	PRP$
mast	NN
-	HYPH
heads	NNS
are	VBP
kept	VBN
manned	JJ
to	IN
the	DT
last	JJ
;	:
and	CC
not	RB
till	IN
her	PRP$
skysail	NN
-	HYPH
poles	NNS
sail	VBP
in	RB
among	IN
the	DT
spires	NNS
of	IN
the	DT
port	NN
,	,
does	VBZ
