there	EX
.	.
the	DT
two	CD
older	JJR
girls	NNS
were	VBD
a	DT
great	JJ
deal	NN
to	IN
one	CD
another	DT
,	,
but	CC
each	DT
took	VBD
one	CD
of	IN
the	DT
younger	JJR
sisters	NNS
into	IN
her	PRP$
keeping	NN
and	CC
watched	VBD
over	IN
her	PRP
in	IN
her	PRP$
own	JJ
way	NN
,	,
'	``
playing	VBG
mother	NN
'	''
they	PRP
called	VBD
it	PRP
,	,
and	CC
put	VBD
their	PRP$
sisters	NNS
in	IN
the	DT
places	NNS
of	IN
discarded	VBN
dolls	NNS
with	IN
the	DT
maternal	JJ
instinct	NN
of	IN
little	JJ
women	NNS
.	.
"	``
has	VBZ
anybody	NN
got	VBD
anything	NN
to	TO
tell	VB
?	.
it	PRP
's	VBZ
been	VBN
such	PDT
a	DT
dismal	JJ
day	NN
iam	PRP
really	RB
dying	VBG
for	IN
some	DT
amusement	NN
,	,
"	''
said	VBD
meg	NNP
,	,
as	IN
they	PRP
sat	VBD
sewing	VBG
together	RB
that	DT
evening	NN
.	.
"	``
i	PRP
had	VBD
a	DT
queer	JJ
time	NN
with	IN
aunt	NN
today	NN
,	,
and	CC
,	,
as	IN
i	PRP
got	VBD
the	DT
best	JJS
of	IN
it	PRP
,	,
iwill	MD
tell	VB
you	PRP
about	IN
it	PRP
,	,
"	''
began	VBD
jo	NNP
,	,
who	WP
dearly	RB
loved	VBD
to	TO
tell	VB
stories	NNS
.	.
"	``
i	PRP
was	VBD
reading	VBG
that	DT
everlasting	JJ
belsham	NNP
,	,
and	CC
droning	VBG
away	RP
as	IN
i	PRP
always	RB
do	VBP
,	,
for	IN
aunt	NN
soon	RB
drops	VBZ
off	RP
,	,
and	CC
then	RB
i	PRP
take	VBP
out	RP
some	DT
nice	JJ
book	NN
,	,
and	CC
read	VBP
like	IN
fury	NN
till	IN
she	PRP
wakes	VBZ
up	RP
.	.
i	PRP
actually	RB
made	VBD
myself	PRP
sleepy	JJ
,	,
and	CC
before	IN
she	PRP
began	VBD
to	TO
nod	VB
,	,
i	PRP
gave	VBD
such	PDT
a	DT
gape	NN
that	IN
she	PRP
asked	VBD
me	PRP
what	WP
i	PRP
meant	VBD
by	IN
opening	VBG
my	PRP$
mouth	NN
wide	RB
enough	RB
to	TO
take	VB
the	DT
whole	JJ
book	NN
in	RP
at	IN
once	RB
.	.
"	``
"	``
i	PRP
wish	VBP
i	PRP
could	MD
,	,
and	CC
be	VB
done	VBN
with	IN
it	PRP
,	,
"	''
said	VBD
i	PRP
,	,
trying	VBG
not	RB
to	TO
be	VB
saucy	JJ
.	.
"	``
'	``
i	PRP
do	VBP
n't	RB
understand	VB
what	WP
it	PRP
is	VBZ
all	RB
about	IN
.	.
go	VB
back	RB
and	CC
begin	VB
it	PRP
,	,
child	NN
.	.
'	''
"	``
"	``
back	RB
i	PRP
went	VBD
,	,
and	CC
made	VBD
the	DT
primroses	NNS
as	RB
interesting	JJ
as	IN
ever	RB
i	PRP
could	MD
.	.
once	RB
i	PRP
was	VBD
wicked	JJ
enough	RB
to	TO
stop	VB
in	IN
a	DT
thrilling	JJ
place	NN
,	,
and	CC
say	VB
meekly	RB
,	,
'	``
iam	VBP
afraid	JJ
it	PRP
tires	VBZ
you	PRP
,	,
madam	NN
.	.
sha	VB
n't	RB
i	PRP
stop	VB
now	RB
?	.
'	''
"	''
"	``
she	PRP
caught	VBD
up	RP
her	PRP$
knitting	NN
,	,
which	WDT
had	VBD
dropped	VBN
out	IN
of	IN
her	PRP$
hands	NNS
,	,
gave	VBD
me	PRP
a	DT
sharp	JJ
look	NN
through	IN
her	PRP$
specs	NNS
,	,
and	CC
said	VBD
,	,
in	IN
her	PRP$
short	JJ
way	NN
,	,
'	``
finish	VB
the	DT
chapter	NN
,	,
and	CC
do	VB
n't	RB
be	VB
impertinent	JJ
,	,
miss	NNP
'	''
.	.
"	``
"	``
did	VBD
she	PRP
own	VB
she	PRP
liked	VBD
it	PRP
?	.
"	''
asked	VBD
meg	NNP
.	.
"	``
oh	UH
,	,
bless	VB
you	PRP
,	,
no	UH
!	.
but	CC
she	PRP
let	VBD
old	JJ
belsham	NNP
rest	VB
,	,
and	CC
when	WRB
i	PRP
ran	VBD
back	RB
after	IN
my	PRP$
gloves	NNS
this	DT
afternoon	NN
,	,
there	RB
she	PRP
was	VBD
,	,
so	RB
hard	RB
at	IN
the	DT
vicar	NN
that	IN
she	PRP
did	VBD
n't	RB
hear	VB
me	PRP
laugh	VB
as	IN
i	PRP
danced	VBD
a	DT
jig	NN
in	IN
the	DT
hall	NN
because	IN
of	IN
the	DT
good	JJ
time	NN
coming	VBG
.	.
what	WDT
a	DT
pleasant	JJ
life	NN
she	PRP
might	MD
have	VB
if	IN
only	RB
she	PRP
chose	VBD
!	.
i	PRP
do	VBP
n't	RB
envy	VB
her	PRP
much	RB
,	,
in	IN
spite	NN
of	IN
her	PRP$
money	NN
,	,
for	IN
after	RB
all	RB
rich	JJ
people	NNS
have	VBP
about	RB
as	RB
many	JJ
worries	NNS
as	IN
poor	JJ
ones	NNS
,	,
i	PRP
think	VBP
,	,
"	''
added	VBD
jo	NNP
.	.
"	``
that	DT
reminds	VBZ
me	PRP
,	,
"	''
said	VBD
meg	NNP
,	,
"	``
that	IN
ihave	PRP
got	VBN
something	NN
to	TO
tell	VB
.	.
it	PRP
is	VBZ
not	RB
funny	JJ
,	,
like	IN
jo	NNP
's	POS
story	NN
,	,
but	CC
i	PRP
thought	VBD
about	IN
it	PRP
a	DT
good	JJ
deal	NN
as	IN
i	PRP
came	VBD
home	RB
.	.
at	IN
the	DT
kings	NNPS
'	POS
today	NN
i	PRP
found	VBD
everybody	NN
in	IN
a	DT
flurry	NN
,	,
and	CC
one	CD
of	IN
the	DT
children	NNS
said	VBD
that	IN
her	PRP$
oldest	JJS
brother	NN
had	VBD
done	VBN
something	NN
dreadful	JJ
,	,
and	CC
papa	NNP
had	VBD
sent	VBN
him	PRP
away	RB
.	.
i	PRP
heard	VBD
mrs	NNP
.	NNP
king	NNP
crying	VBG
and	CC
mr	NNP
.	NNP
king	NNP
talking	VBG
very	RB
loud	RB
,	,
and	CC
grace	NNP
and	CC
ellen	NNP
turned	VBD
away	RB
their	PRP$
faces	NNS
when	WRB
they	PRP
passed	VBD
me	PRP
,	,
so	IN
i	PRP
should	MD
n't	RB
see	VB
how	WRB
red	JJ
and	CC
swollen	JJ
their	PRP$
eyes	NNS
were	VBD
.	.
i	PRP
did	VBD
n't	RB
ask	VB
any	DT
questions	NNS
,	,
of	IN
course	NN
,	,
but	CC
i	PRP
felt	VBD
so	RB
sorry	JJ
for	IN
them	PRP
and	CC
was	VBD
rather	RB
glad	JJ
i	PRP
had	VBD
n't	RB
any	DT
wild	JJ
brothers	NNS
to	TO
do	VB
wicked	JJ
things	NNS
and	CC
disgrace	VB
the	DT
family	NN
.	.
"	``
"	``
i	PRP
think	VBP
being	VBG
disgraced	VBN
in	IN
school	NN
is	VBZ
a	DT
great	JJ
deal	NN
tryinger	JJR
than	IN
anything	NN
bad	JJ
boys	NNS
can	MD
do	VB
,	,
"	''
said	VBD
amy	NNP
,	,
shaking	VBG
her	PRP$
head	NN
,	,
as	IN
if	IN
her	PRP$
experience	NN
of	IN
life	NN
had	VBD
been	VBN
a	DT
deep	JJ
one	CD
.	.
"	``
susie	NNP
perkins	NNP
came	VBD
to	IN
school	NN
today	NN
with	IN
a	DT
lovely	JJ
red	JJ
carnelian	JJ
ring	NN
.	.
i	PRP
wanted	VBD
it	PRP
dreadfully	RB
,	,
and	CC
wished	VBD
i	PRP
was	VBD
her	PRP
with	IN
all	DT
my	PRP$
might	NN
.	.
well	UH
,	,
she	PRP
drew	VBD
a	DT
picture	NN
of	IN
mr	NNP
.	.
"	``
did	VBD
n't	RB
the	DT
girls	NNS
laugh	VB
at	IN
the	DT
picture	NN
?	.
"	''
asked	VBD
jo	NNP
,	,
who	WP
relished	VBD
the	DT
scrape	NN
.	.
"	``
laugh	VB
?	.
not	RB
one	CD
!	.
they	PRP
sat	VBD
still	RB
as	IN
mice	NNS
,	,
and	CC
susie	NNP
cried	VBD
quarts	NNS
,	,
i	PRP
know	VBP
she	PRP
did	VBD
.	.
i	PRP
did	VBD
n't	RB
envy	VB
her	PRP
then	RB
,	,
for	IN
i	PRP
felt	VBD
that	IN
millions	NNS
of	IN
carnelian	JJ
rings	NNS
would	MD
n't	RB
have	VB
made	VBN
me	PRP
happy	JJ
after	IN
that	DT
.	.
i	PRP
never	RB
,	,
never	RB
should	MD
have	VB
got	VBD
over	IN
such	PDT
a	DT
agonizing	JJ
mortification	NN
.	.
"	''
and	CC
amy	NNP
went	VBD
on	RP
with	IN
her	PRP$
work	NN
,	,
in	IN
the	DT
proud	JJ
consciousness	NN
of	IN
virtue	NN
and	CC
the	DT
successful	JJ
utterance	NN
of	IN
two	CD
long	JJ
words	NNS
in	IN
a	DT
breath	NN
.	.
"	``
i	PRP
saw	VBD
something	NN
i	PRP
liked	VBD
this	DT
morning	NN
,	,
and	CC
i	PRP
meant	VBD
to	TO
tell	VB
it	PRP
at	IN
dinner	NN
,	,
but	CC
i	PRP
forgot	VBP
,	,
"	''
said	VBD
beth	NNP
,	,
putting	VBG
jo	NNP
's	POS
topsy	JJ
-	HYPH
turvy	JJ
basket	NN
in	IN
order	NN
as	IN
she	PRP
talked	VBD
.	.
"	``
when	WRB
i	PRP
went	VBD
to	TO
get	VB
some	DT
oysters	NNS
for	IN
hannah	NNP
,	,
mr	NNP
.	NNP
laurence	NNP
was	VBD
in	IN
the	DT
fish	NN
shop	NN
,	,
but	CC
he	PRP
did	VBD
n't	RB
see	VB
me	PRP
,	,
for	IN
i	PRP
kept	VBD
behind	IN
the	DT
fish	NN
barrel	NN
,	,
and	CC
he	PRP
was	VBD
busy	JJ
with	IN
mr	NNP
.	NNP
cutter	NNP
the	DT
fish	NN
-	HYPH
man	NN
.	.
a	DT
poor	JJ
woman	NN
came	VBD
in	RB
with	IN
a	DT
pail	NN
and	CC
a	DT
mop	NN
,	,
and	CC
asked	VBD
mr	NNP
.	NNP
cutter	NNP
if	IN
he	PRP
would	MD
let	VB
her	PRP
do	VB
some	DT
scrubbing	NN
for	IN
a	DT
bit	NN
of	IN
fish	NN
,	,
because	IN
she	PRP
had	VBD
n't	RB
any	DT
dinner	NN
for	IN
her	PRP$
children	NNS
,	,
and	CC
had	VBD
been	VBN
disappointed	JJ
of	IN
a	DT
day	NN
's	POS
work	NN
.	.
when	WRB
they	PRP
had	VBD
laughed	VBN
at	IN
beth	NNP
's	POS
story	NN
,	,
they	PRP
asked	VBD
their	PRP$
mother	NN
for	IN
one	CD
,	,
and	CC
after	IN
a	DT
moments	NNS
thought	NN
,	,
she	PRP
said	VBD
soberly	RB
,	,
"	``
as	IN
i	PRP
sat	VBD
cutting	VBG
out	RP
blue	JJ
flannel	NN
jackets	NNS
today	NN
at	IN
the	DT
rooms	NNS
,	,
i	PRP
felt	VBD
very	RB
anxious	JJ
about	IN
father	NN
,	,
and	CC
thought	VBD
how	WRB
lonely	JJ
and	CC
helpless	JJ
we	PRP
should	MD
be	VB
,	,
if	IN
anything	NN
happened	VBD
to	IN
him	PRP
.	.
it	PRP
was	VBD
not	RB
a	DT
wise	JJ
thing	NN
to	TO
do	VB
,	,
but	CC
i	PRP
kept	VBD
on	RP
worrying	VBG
till	IN
an	DT
old	JJ
man	NN
came	VBD
in	RP
with	IN
an	DT
order	NN
for	IN
some	DT
clothes	NNS
.	.
he	PRP
sat	VBD
down	RP
near	IN
me	PRP
,	,
and	CC
i	PRP
began	VBD
to	TO
talk	VB
to	IN
him	PRP
,	,
for	IN
he	PRP
looked	VBD
poor	JJ
and	CC
tired	JJ
and	CC
anxious	JJ
.	.
"	``
'	``
have	VBP
you	PRP
sons	NNS
in	IN
the	DT
army	NN
?	.
'	''
i	PRP
asked	VBD
,	,
for	IN
the	DT
note	NN
he	PRP
brought	VBD
was	VBD
not	RB
to	IN
me	PRP
.	.
"	``
"	``
yes	UH
,	,
madam	NN
.	.
i	PRP
had	VBD
four	CD
,	,
but	CC
two	CD
were	VBD
killed	VBN
,	,
one	CD
is	VBZ
a	DT
prisoner	NN
,	,
and	CC
iam	PRP
going	VBG
to	IN
the	DT
other	JJ
,	,
who	WP
is	VBZ
very	RB
sick	JJ
in	IN
a	DT
washington	NNP
hospital	NN
.	.
'	''
he	PRP
answered	VBD
quietly	RB
.	.
"	``
"	``
'	``
you	PRP
have	VBP
done	VBN
a	DT
great	JJ
deal	NN
for	IN
your	PRP$
country	NN
,	,
sir	NN
,	,
'	''
i	PRP
said	VBD
,	,
feeling	VBG
respect	NN
now	RB
,	,
instead	RB
of	IN
pity	NN
.	.
"	``
"	``
'	VBP
not	RB
a	DT
mite	NN
more	RBR
than	IN
i	PRP
ought	MD
,	,
madam	NN
.	.
ihad	VBD
or	CC
would	MD
go	VB
myself	PRP
,	,
if	IN
i	PRP
was	VBD
any	DT
use	NN
.	.
as	IN
i	PRP
ai	VBP
n't	RB
,	,
i	PRP
give	VBP
my	PRP$
boys	NNS
,	,
and	CC
give	VBP
'em	PRP
free	JJ
.	.
'	''
"	''
"	''
he	PRP
spoke	VBD
so	RB
cheerfully	RB
,	,
looked	VBD
so	RB
sincere	JJ
,	,
and	CC
seemed	VBD
so	RB
glad	JJ
to	TO
give	VB
his	PRP
all	DT
,	,
that	IN
i	PRP
was	VBD
ashamed	JJ
of	IN
myself	PRP
.	.
ihad	PRP
or	CC
would	MD
given	VBN
one	CD
man	NN
and	CC
thought	VBD
it	PRP
too	RB
much	JJ
,	,
while	IN
he	PRP
gave	VBD
four	CD
without	IN
grudging	VBG
them	PRP
.	.
i	PRP
had	VBD
all	DT
my	PRP$
girls	NNS
to	TO
comfort	VB
me	PRP
at	IN
home	NN
,	,
and	CC
his	PRP$
last	JJ
son	NN
was	VBD
waiting	VBG
,	,
miles	NNS
away	RB
,	,
to	TO
say	VB
good	UH
-	HYPH
by	UH
to	IN
him	PRP
,	,
perhaps	RB
!	.
i	PRP
felt	VBD
so	RB
rich	JJ
,	,
so	RB
happy	JJ
thinking	VBG
of	IN
my	PRP$
blessings	NNS
,	,
that	IN
i	PRP
made	VBD
him	PRP
a	DT
nice	JJ
bundle	NN
,	,
gave	VBD
him	PRP
some	DT
money	NN
,	,
and	CC
thanked	VBD
him	PRP
heartily	RB
for	IN
the	DT
lesson	NN
he	PRP
had	VBD
taught	VBN
me	PRP
.	.
"	``
"	``
tell	VB
another	DT
story	NN
,	,
mother	NN
,	,
one	NN
with	IN
a	DT
moral	NN
to	IN
it	PRP
,	,
like	IN
this	DT
.	.
i	PRP
like	VBP
to	TO
think	VB
about	IN
them	PRP
afterward	RB
,	,
if	IN
they	PRP
are	VBP
real	JJ
and	CC
not	RB
too	RB
preachy	JJ
,	,
"	''
said	VBD
jo	NNP
,	,
after	IN
a	DT
minute	NN
's	POS
silence	NN
.	.
mrs	NNP
.	NNP
march	NNP
smiled	VBD
and	CC
began	VBD
at	IN
once	RB
,	,
for	IN
she	PRP
had	VBD
told	VBN
stories	NNS
to	IN
this	DT
little	JJ
audience	NN
for	IN
many	JJ
years	NNS
,	,
and	CC
knew	VBD
how	WRB
to	TO
please	VB
them	PRP
.	.
"	``
now	RB
,	,
marmee	NNP
,	,
that	DT
is	VBZ
very	RB
cunning	JJ
of	IN
you	PRP
to	TO
turn	VB
our	PRP$
own	JJ
stories	NNS
against	IN
us	PRP
,	,
and	CC
give	VB
us	PRP
a	DT
sermon	NN
instead	RB
of	IN
a	DT
romance	NN
!	.
"	''
cried	VBD
meg	NNP
.	.
"	``
i	PRP
like	VBP
that	DT
kind	NN
of	IN
sermon	NN
.	.
it	PRP
's	VBZ
the	DT
sort	NN
father	NN
used	VBD
to	TO
tell	VB
us	PRP
,	,
"	''
said	VBD
beth	NNP
thoughtfully	RB
,	,
putting	VBG
the	DT
needles	NNS
straight	RB
on	IN
jo	NNP
's	POS
cushion	NN
.	.
"	``
i	PRP
do	VBP
n't	RB
complain	VB
near	RB
as	RB
much	RB
as	IN
the	DT
others	NNS
do	VBP
,	,
and	CC
i	PRP
shall	MD
be	VB
more	RBR
careful	JJ
than	IN
ever	RB
now	RB
,	,
for	IN
ihave	PRP
had	VBD
warning	NN
from	IN
susie	NNP
's	POS
downfall	NN
,	,
"	''
said	VBD
amy	NNP
morally	RB
.	.
"	``
we	PRP
needed	VBD
that	DT
lesson	NN
,	,
and	CC
we	PRP
wo	MD
n't	RB
forget	VB
it	PRP
.	.
if	IN
we	PRP
do	VBP
so	RB
,	,
you	PRP
just	RB
say	VBP
to	IN
us	PRP
,	,
as	IN
old	JJ
chloe	NNP
did	VBD
in	IN
uncle	NNP
tom	NNP
,	,
'	``
tink	VB
ob	FW
yer	NNP
marcies	NNPS
,	,
chillen	NN
!	.
'	''
'	``
tink	VB
ob	FW
yer	NNP
marcies	NNPS
!	.
'	''
"	''
added	VBD
jo	NNP
,	,
who	WP
could	MD
not	RB
,	,
for	IN
the	DT
life	NN
of	IN
her	PRP
,	,
help	VB
getting	VBG
a	DT
morsel	NN
of	IN
fun	NN
out	IN
of	IN
the	DT
little	JJ
sermon	NN
,	,
though	IN
she	PRP
took	VBD
it	PRP
to	IN
heart	NN
as	RB
much	RB
as	IN
any	DT
of	IN
them	PRP
.	.
chapter	NN
five	CD
being	VBG
neighborly	JJ
"	``
what	WP
in	IN
the	DT
world	NN
are	VBP
you	PRP
going	VBG
to	TO
do	VB
now	RB
,	,
jo	NNP
?	.
"	''
asked	VBD
meg	NNP
one	CD
snowy	JJ
afternoon	NN
,	,
as	IN
her	PRP$
sister	NN
came	VBD
tramping	VBG
through	IN
the	DT
hall	NN
,	,
in	IN
rubber	NN
boots	NNS
,	,
old	JJ
sack	NN
,	,
and	CC
hood	NN
,	,
with	IN
a	DT
broom	NN
in	IN
one	CD
hand	NN
and	CC
a	DT
shovel	NN
in	IN
the	DT
other	JJ
.	.
"	``
going	VBG
out	RB
for	IN
exercise	NN
,	,
"	''
answered	VBD
jo	NNP
with	IN
a	DT
mischievous	JJ
twinkle	NN
in	IN
her	PRP$
eyes	NNS
.	.
"	``
i	PRP
should	MD
think	VB
two	CD
long	JJ
walks	NNS
this	DT
morning	NN
would	MD
have	VB
been	VBN
enough	JJ
!	.
it	PRP
's	VBZ
cold	JJ
and	CC
dull	JJ
out	RB
,	,
and	CC
i	PRP
advise	VBP
you	PRP
to	TO
stay	VB
warm	JJ
and	CC
dry	JJ
by	IN
the	DT
fire	NN
,	,
as	IN
i	PRP
do	VBP
,	,
"	''
said	VBD
meg	NNP
with	IN
a	DT
shiver	NN
.	.
"	``
never	RB
take	VB
advice	NN
!	.
ca	MD
n't	RB
keep	VB
still	JJ
all	DT
day	NN
,	,
and	CC
not	RB
being	VBG
a	DT
pussycat	NN
,	,
i	PRP
do	VBP
n't	RB
like	VB
to	TO
doze	VB
by	IN
the	DT
fire	NN
.	.
i	PRP
like	VBP
adventures	NNS
,	,
and	CC
iam	VBP
going	VBG
to	TO
find	VB
some	DT
.	.
"	``
yet	CC
it	PRP
seemed	VBD
a	DT
lonely	JJ
,	,
lifeless	JJ
sort	NN
of	IN
house	NN
,	,
for	IN
no	DT
children	NNS
frolicked	VBD
on	IN
the	DT
lawn	NN
,	,
no	DT
motherly	JJ
face	NN
ever	RB
smiled	VBD
at	IN
the	DT
windows	NNS
,	,
and	CC
few	JJ
people	NNS
went	VBD
in	IN
and	CC
out	IN
,	,
except	IN
the	DT
old	JJ
gentleman	NN
and	CC
his	PRP$
grandson	NN
.	.
"	``
that	DT
boy	NN
is	VBZ
suffering	VBG
for	IN
society	NN
and	CC
fun	NN
,	,
"	''
she	PRP
said	VBD
to	IN
herself	PRP
.	.
"	``
his	PRP$
grandpa	NN
does	VBZ
not	RB
know	VB
what	WP
's	VBZ
good	JJ
for	IN
him	PRP
,	,
and	CC
keeps	VBZ
him	PRP
shut	VBN
up	RP
all	RB
alone	RB
.	.
he	PRP
needs	VBZ
a	DT
party	NN
of	IN
jolly	JJ
boys	NNS
to	TO
play	VB
with	IN
,	,
or	CC
somebody	NN
young	JJ
and	CC
lively	JJ
.	.
ihave	PRP
a	DT
great	JJ
mind	NN
to	TO
go	VB
over	RB
and	CC
tell	VB
the	DT
old	JJ
gentleman	NN
so	RB
!	.
"	''
the	DT
idea	NN
amused	VBD
jo	NNP
,	,
who	WP
liked	VBD
to	TO
do	VB
daring	JJ
things	NNS
and	CC
was	VBD
always	RB
scandalizing	VBG
meg	PRP
by	IN
her	PRP$
queer	JJ
performances	NNS
.	.
the	DT
plan	NN
of	IN
'	``
going	VBG
over	RB
'	''
was	VBD
not	RB
forgotten	VBN
.	.
and	CC
when	WRB
the	DT
snowy	JJ
afternoon	NN
came	VBD
,	,
jo	NNP
resolved	VBD
to	TO
try	VB
what	WP
could	MD
be	VB
done	VBN
.	.
she	PRP
saw	VBD
mr	NNP
.	NNP
lawrence	NNP
drive	VB
off	RB
,	,
and	CC
then	RB
sallied	VBD
out	RB
to	TO
dig	VB
her	PRP$
way	NN
down	RB
to	IN
the	DT
hedge	NN
,	,
where	WRB
she	PRP
paused	VBD
and	CC
took	VBD
a	DT
survey	NN
.	.
all	DT
quiet	JJ
,	,
curtains	NNS
down	RB
at	IN
the	DT
lower	JJR
windows	NNS
,	,
servants	NNS
out	IN
of	IN
sight	NN
,	,
and	CC
nothing	NN
human	JJ
visible	JJ
but	IN
a	DT
curly	JJ
black	JJ
head	NN
leaning	VBG
on	IN
a	DT
thin	JJ
hand	NN
at	IN
the	DT
upper	JJ
window	NN
.	.
"	``
there	RB
he	PRP
is	VBZ
,	,
"	''
thought	VBD
jo	NNP
,	,
"	``
poor	JJ
boy	NN
!	.
all	RB
alone	JJ
and	CC
sick	JJ
this	DT
dismal	JJ
day	NN
.	.
it	PRP
's	VBZ
a	DT
shame	NN
!	.
iwill	PRP
toss	VB
up	RP
a	DT
snowball	NN
and	CC
make	VB
him	PRP
look	VB
out	RP
,	,
and	CC
then	RB
say	VB
a	DT
kind	JJ
word	NN
to	IN
him	PRP
.	.
"	``
up	RB
went	VBD
a	DT
handful	NN
of	IN
soft	JJ
snow	NN
,	,
and	CC
the	DT
head	NN
turned	VBD
at	IN
once	RB
,	,
showing	VBG
a	DT
face	NN
which	WDT
lost	VBD
its	PRP$
listless	JJ
look	NN
in	IN
a	DT
minute	NN
,	,
as	IN
the	DT
big	JJ
eyes	NNS
brightened	VBD
and	CC
the	DT
mouth	NN
began	VBD
to	TO
smile	VB
.	.
jo	NNP
nodded	VBD
and	CC
laughed	VBD
,	,
and	CC
flourished	VBD
her	PRP$
broom	NN
as	IN
she	PRP
called	VBD
out	RP
...	:
"	``
how	WRB
do	VBP
you	PRP
do	VB
?	.
are	VBP
you	PRP
sick	JJ
?	.
