what	WDT
or	CC
thereabouts	RB
,	,
gorges	NNP
and	CC
mason	NNP
obtained	VBD
from	IN
england	NNP
the	DT
grant	NN
of	IN
a	DT
large	JJ
tract	NN
lying	VBG
between	IN
the	DT
merrimac	NNP
and	CC
kennebec	NNP
rivers	NNPS
.	.
this	DT
patent	NN
was	VBD
afterwards	RB
dissolved	VBN
,	,
mason	NNP
taking	VBG
what	WP
is	VBZ
now	RB
new	NNP
hampshire	NNP
,	,
and	CC
gorges	NNP
taking	VBG
maine	NNP
.	.
he	PRP
afterwards	RB
sold	VBD
the	DT
state	NN
to	IN
massachusetts	NNP
for	IN
six	CD
thousand	CD
dollars	NNS
.	.
the	DT
growth	NN
of	IN
the	DT
state	NN
may	MD
be	VB
noticed	VBN
since	IN
that	DT
time	NN
,	,
for	IN
one	CD
county	NN
cost	VBD
more	JJR
than	IN
that	DT
last	JJ
november	NNP
.	.
in	IN
1820	CD
maine	NNP
was	VBD
separated	VBN
from	IN
massachusetts	NNP
.	.
maine	NNP
is	VBZ
noted	VBN
for	IN
being	VBG
the	DT
easternmost	JJS
state	NN
in	IN
the	DT
union	NNP
,	,
and	CC
has	VBZ
been	VBN
utilized	VBN
by	IN
a	DT
number	NN
of	IN
eminent	JJ
men	NNS
as	IN
a	DT
birthplace	NN
.	.
white	JJ
-	HYPH
birch	NN
spools	NNS
for	IN
thread	NN
,	,
christmas	NNP
-	HYPH
trees	NNS
,	,
and	CC
tamarack	NNP
and	CC
spruce	NN
-	HYPH
gum	NN
are	VBP
found	VBN
in	IN
great	JJ
abundance	NN
.	.
it	PRP
is	VBZ
the	DT
home	NN
of	IN
an	DT
industrious	JJ
and	CC
peace	NN
-	HYPH
loving	VBG
people	NNS
.	.
bar	NNP
harbor	NNP
is	VBZ
a	DT
cool	JJ
place	NN
to	TO
go	VB
to	IN
in	IN
summer	NN
-	HYPH
time	NN
and	CC
violate	VB
the	DT
liquor	NN
law	NN
of	IN
the	DT
state	NN
.	.
the	DT
dutch	NNP
were	VBD
first	JJ
to	TO
claim	VB
connecticut	NNP
.	.
they	PRP
built	VBD
a	DT
trading	NN
-	HYPH
post	NN
at	IN
hartford	NNP
,	,
where	WRB
they	PRP
swapped	VBD
bone	NN
collar	NN
-	HYPH
buttons	NNS
with	IN
the	DT
indians	NNPS
for	IN
beaver	NN
-	HYPH
and	CC
otter	NN
-	HYPH
skins	NNS
.	.
traders	NNS
from	IN
plymouth	NNP
who	WP
went	VBD
up	IN
the	DT
river	NN
were	VBD
threatened	VBN
by	IN
the	DT
dutch	NNP
,	,
but	CC
they	PRP
pressed	VBD
on	RP
and	CC
established	VBD
a	DT
post	NN
at	IN
windsor	NNP
.	.
in	IN
1635	CD
,	,
john	NNP
steele	NNP
led	VBD
a	DT
company	NN
"	``
out	RB
west	RB
"	''
to	IN
hartford	NNP
,	,
and	CC
thomas	NNP
hooker	NNP
,	,
a	DT
clergyman	NN
,	,
followed	VBD
with	IN
his	PRP$
congregation	NN
,	,
driving	VBG
their	PRP$
stock	NN
before	IN
them	PRP
.	.
hartford	NNP
thus	RB
had	VBD
quite	PDT
a	DT
boom	NN
quite	RB
early	RB
in	IN
the	DT
seventeenth	JJ
century	NN
.	.
the	DT
dutch	NNPS
were	VBD
driven	VBN
out	IN
of	IN
the	DT
connecticut	NNP
valley	NNP
,	,
and	CC
began	VBD
to	TO
look	VB
towards	IN
new	NNP
york	NNP
.	.
soon	RB
after	IN
this	DT
the	DT
pequod	NNP
war	NN
broke	VBD
out	RP
.	.
these	DT
indians	NNPS
had	VBD
hoped	VBN
to	TO
form	VB
an	DT
alliance	NN
with	IN
the	DT
narragansetts	NNPS
,	,
but	CC
roger	NNP
williams	NNP
prevented	VBD
this	DT
by	IN
seeing	VBG
the	DT
narragansett	NNP
chief	NNP
personally	RB
.	.
thus	RB
the	DT
puritans	NNPS
had	VBD
coals	NNS
of	IN
fire	NN
heaped	VBN
on	IN
their	PRP$
heads	NNS
by	IN
their	PRP$
gentle	JJ
pastor	NN
,	,
until	IN
the	DT
odor	NN
of	IN
burning	VBG
hair	NN
could	MD
be	VB
detected	VBN
as	RB
far	RB
away	RB
as	IN
new	NNP
haven	NNP
.	.
the	DT
pequods	NNPS
were	VBD
thus	RB
compelled	VBN
to	TO
fight	VB
alone	RB
,	,
and	CC
captain	NNP
mason	NNP
by	IN
a	DT
coup	FW
d'état	FW
surrounded	VBD
their	PRP$
camp	NN
before	IN
daylight	NN
and	CC
entered	VBD
the	DT
palisades	NNS
with	IN
the	DT
indian	JJ
picket	NN
,	,
who	WP
cried	VBD
out	RP
"	``
owanux	FW
!	.
owanux	FW
!	.
"	''
meaning	VBG
"	``
englishmen	NNPS
.	.
englishmen	NNPS
.	.
"	''
mason	NNP
and	CC
his	PRP$
men	NNS
killed	VBD
these	DT
pequods	NNS
and	CC
burned	VBD
their	PRP$
lodges	NNS
to	IN
the	DT
ground	NN
.	.
there	EX
has	VBZ
never	RB
been	VBN
a	DT
prosperous	JJ
pequod	NN
lodge	NN
since	RB
.	.
those	DT
who	WP
escaped	VBD
to	IN
the	DT
forest	NN
were	VBD
shot	VBN
down	RP
like	IN
jack	NNS
-	HYPH
rabbits	NNS
as	IN
they	PRP
fled	VBD
,	,
and	CC
there	EX
has	VBZ
been	VBN
no	DT
pequoding	NN
done	VBN
since	IN
that	DT
time	NN
.	.
the	DT
new	NNP
haven	NNP
colony	NNP
was	VBD
founded	VBN
in	IN
1638	CD
by	IN
wealthy	JJ
church	NN
members	NNS
from	IN
abroad	RB
.	.
they	PRP
took	VBD
the	DT
bible	NNP
as	IN
their	PRP$
standard	NN
and	CC
statute	NN
.	.
they	PRP
had	VBD
no	DT
other	JJ
law	NN
.	.
only	JJ
church	NN
members	NNS
could	MD
vote	VB
,	,
which	WDT
was	VBD
different	JJ
from	IN
the	DT
arrangements	NNS
in	IN
new	NNP
york	NNP
city	NNP
in	IN
after	NNP
-	HYPH
years	NNP
.	.
the	DT
connecticut	NNP
colony	NNP
had	VBD
a	DT
regular	JJ
constitution	NN
,	,
said	VBN
to	TO
have	VB
been	VBN
the	DT
first	JJ
written	VBN
constitution	NN
ever	RB
adopted	VBN
by	IN
the	DT
people	NNS
,	,
framed	VBN
for	IN
the	DT
people	NNS
by	IN
the	DT
people	NNS
.	.
it	PRP
was	VBD
at	IN
once	RB
prosperous	JJ
,	,
and	CC
soon	RB
bought	VBD
out	RP
the	DT
saybrook	NNP
colony	NNP
.	.
in	IN
1662	CD
a	DT
royal	JJ
charter	NN
was	VBD
obtained	VBN
which	WDT
united	VBD
the	DT
two	CD
above	JJ
colonies	NNS
and	CC
guaranteed	VBD
to	IN
the	DT
people	NNS
the	DT
rights	NNS
agreed	VBN
upon	IN
by	IN
them	PRP
.	.
it	PRP
amounted	VBD
to	IN
a	DT
duly	RB
-	HYPH
authenticated	VBN
independence	NN
.	.
a	DT
quarter	NN
of	IN
a	DT
century	NN
afterwards	RB
governor	NNP
andros	NNP
,	,
in	IN
his	PRP$
other	JJ
clothes	NNS
and	CC
a	DT
reigning	VBG
coat	NN
of	IN
red	JJ
and	CC
gold	NN
trimmings	NNS
,	,
marched	VBD
into	IN
the	DT
assembly	NN
and	CC
demanded	VBD
this	DT
precious	JJ
charter	NN
.	.
a	DT
long	JJ
debate	NN
ensued	VBD
,	,
and	CC
,	,
according	VBG
to	IN
tradition	NN
,	,
while	IN
the	DT
members	NNS
of	IN
the	DT
assembly	NN
stood	VBD
around	IN
the	DT
table	NN
taking	VBG
a	DT
farewell	JJ
look	NN
at	IN
the	DT
charter	NN
,	,
one	CD
of	IN
the	DT
largest	JJS
members	NNS
of	IN
the	DT
house	NN
fell	VBD
on	IN
the	DT
governor	NN
's	POS
breast	NN
and	CC
wept	VBD
so	RB
copiously	RB
on	IN
his	PRP$
shirt	NN
-	HYPH
frill	NN
that	IN
harsh	JJ
words	NNS
were	VBD
used	VBN
by	IN
his	PRP$
excellency	NN
;	:
a	DT
general	JJ
quarrel	NN
ensued	VBD
,	,
the	DT
lights	NNS
went	VBD
out	RP
,	,
and	CC
when	WRB
they	PRP
were	VBD
relighted	VBN
the	DT
charter	NN
was	VBD
gone	VBN
.	.
captain	NNP
wadsworth	NNP
had	VBD
taken	VBN
it	PRP
and	CC
concealed	VBD
it	PRP
in	IN
a	DT
hollow	JJ
tree	NN
,	,
since	IN
called	VBN
the	DT
charter	NN
oak	NN
.	.
after	IN
andros	NNP
was	VBD
ejected	VBN
from	IN
the	DT
boston	NNP
office	NN
,	,
the	DT
charter	NN
was	VBD
brought	VBN
out	RP
again	RB
,	,
and	CC
business	NN
under	IN
it	PRP
was	VBD
resumed	VBN
.	.
roger	NNP
williams	NNP
now	RB
settled	VBD
at	IN
providence	NNP
plantation	NNP
,	,
where	WRB
he	PRP
was	VBD
joined	VBN
by	IN
mrs	NNP
.	NNP
hutchinson	NNP
,	,
who	WP
also	RB
believed	VBD
that	IN
the	DT
church	NN
and	CC
state	NN
should	MD
not	RB
be	VB
united	VBN
,	,
but	CC
that	IN
the	DT
state	NN
should	MD
protect	VB
the	DT
church	NN
and	CC
that	IN
neither	DT
should	MD
undertake	VB
to	TO
boss	VB
the	DT
other	JJ
.	.
it	PRP
was	VBD
also	RB
held	VBN
that	IN
religious	JJ
qualifications	NNS
should	MD
not	RB
be	VB
required	VBN
of	IN
political	JJ
aspirants	NNS
,	,
also	RB
that	IN
no	DT
man	NN
should	MD
be	VB
required	VBN
to	TO
whittle	VB
his	PRP$
soul	NN
into	IN
a	DT
shape	NN
to	TO
fit	VB
the	DT
religious	JJ
auger	NN
-	HYPH
hole	NN
of	IN
another	DT
.	.
this	DT
was	VBD
the	DT
beginning	NN
of	IN
rhode	NNP
island	NNP
.	.
she	PRP
desired	VBD
at	IN
once	RB
to	TO
join	VB
the	DT
new	NNP
england	NNP
colony	NNP
,	,
but	CC
was	VBD
refused	VBN
,	,
as	IN
she	PRP
had	VBD
no	DT
charter	NN
.	.
plymouth	NNP
claimed	VBD
also	RB
to	TO
have	VB
jurisdiction	NN
over	IN
rhode	NNP
island	NNP
.	.
this	DT
was	VBD
very	RB
much	RB
like	IN
plymouth	NNP
.	.
having	VBG
banished	VBN
roger	NNP
williams	NNP
and	CC
mrs	NNP
.	NNP
hutchinson	NNP
to	TO
be	VB
skinned	VBN
by	IN
the	DT
pequods	NNPS
and	CC
narragansetts	NNPS
over	IN
at	IN
narragansett	NNP
pier	NNP
,	,
they	PRP
went	VBD
on	RP
about	IN
their	PRP$
business	NN
,	,
flogging	VBG
quakers	NNS
,	,
also	RB
ducking	VBG
old	JJ
women	NNS
who	WP
had	VBD
lumbago	NN
,	,
and	CC
burning	VBG
other	JJ
women	NNS
who	WP
would	MD
not	RB
answer	VB
affirmatively	RB
when	WRB
asked	VBN
,	,
"	``
be	VB
you	PRP
a	DT
witch	NN
?	.
"	''
then	RB
when	WRB
roger	NNP
began	VBD
to	TO
make	VB
improvements	NNS
and	CC
draw	VB
the	DT
attention	NN
of	IN
eastern	JJ
capital	NNP
to	IN
rhode	NNP
island	NNP
and	CC
to	TO
organize	VB
a	DT
state	NN
or	CC
colony	NN
with	IN
a	DT
charter	NN
,	,
plymouth	NNP
said	VBD
,	,
"	``
hold	VB
on	RP
,	,
roger	NNP
religiously	RB
we	PRP
have	VBP
cast	VBN
you	PRP
out	RP
,	,
to	TO
live	VB
on	IN
wild	JJ
strawberries	NNS
,	,
clams	NNS
,	,
and	CC
indians	NNPS
,	,
but	CC
from	IN
a	DT
mercantile	JJ
and	CC
political	JJ
point	NN
of	IN
view	NN
you	PRP
will	MD
please	RB
notice	VB
that	IN
we	PRP
have	VBP
a	DT
string	NN
which	WDT
you	PRP
will	MD
notice	VB
is	VBZ
attached	VBN
to	IN
your	PRP$
wages	NNS
and	CC
discoveries	NNS
.	.
"	''
afterwards	RB
,	,
however	RB
,	,
roger	NNP
williams	NNP
obtained	VBD
the	DT
necessary	JJ
funds	NNS
from	IN
admiring	VBG
friends	NNS
with	IN
which	WDT
to	TO
go	VB
to	IN
england	NNP
and	CC
obtain	VB
a	DT
charter	NN
which	WDT
united	VBD
the	DT
colonies	NNPS
yet	RB
gave	VBD
to	IN
all	DT
the	DT
first	JJ
official	JJ
right	NN
to	IN
liberty	NN
of	IN
conscience	NN
ever	RB
granted	VBN
in	IN
europe	NNP
or	CC
america	NNP
.	.
prior	RB
to	IN
that	DT
a	DT
man	NN
's	POS
conscience	NN
had	VBD
a	DT
brass	NN
collar	NN
on	IN
it	PRP
with	IN
the	DT
royal	JJ
arms	NNS
engraved	VBN
thereon	RB
,	,
and	CC
was	VBD
kept	VBN
picketed	VBN
out	RP
in	IN
the	DT
king	NN
's	POS
grounds	NNS
.	.
the	DT
owner	NN
could	MD
go	VB
and	CC
look	VB
at	IN
it	PRP
on	IN
sundays	NNS
,	,
but	CC
he	PRP
never	RB
had	VBD
the	DT
use	NN
of	IN
it	PRP
.	.
with	IN
the	DT
advent	NN
of	IN
freedom	NN
of	IN
political	JJ
opinion	NN
,	,
the	DT
individual	JJ
use	NN
of	IN
the	DT
conscience	NN
has	VBZ
become	VBN
popularized	VBN
,	,
and	CC
the	DT
time	NN
is	VBZ
coming	VBG
when	WRB
it	PRP
will	MD
grow	VB
to	IN
a	DT
great	JJ
size	NN
under	IN
our	PRP$
wise	JJ
institutions	NNS
and	CC
fostering	VBG
skies	NNS
.	.
instead	RB
of	IN
turning	VBG
over	RP
our	PRP$
consciences	NNS
to	IN
the	DT
safety	NN
deposit	NN
company	NN
of	IN
a	DT
great	JJ
political	JJ
party	NN
or	CC
religious	JJ
organization	NN
and	CC
taking	VBG
the	DT
key	NN
in	IN
our	PRP$
pocket	NN
,	,
let	VB
us	PRP
have	VB
individual	JJ
charge	NN
of	IN
this	DT
useful	JJ
little	JJ
instrument	NN
and	CC
be	VB
able	JJ
finally	RB
to	TO
answer	VB
for	IN
its	PRP$
growth	NN
or	CC
decay	NN
.	.
chapter	NN
vii	LS
.	CD
the	DT
discovery	NN
of	IN
new	NNP
york	NNP
.	.
