“	``
inducing	VBG
those	DT
vast	JJ
aggregations	NNS
.	.
now	RB
,	,
though	IN
such	JJ
great	JJ
bodies	NNS
are	VBP
at	IN
times	NNS
encountered	VBN
,	,
yet	RB
,	,
as	IN
must	MD
have	VB
been	VBN
seen	VBN
,	,
even	RB
at	IN
the	DT
present	JJ
day	NN
,	,
small	JJ
detached	JJ
bands	NNS
are	VBP
occasionally	RB
observed	VBN
,	,
embracing	VBG
from	IN
twenty	CD
to	TO
fifty	CD
individuals	NNS
each	DT
.	.
such	JJ
bands	NNS
are	VBP
known	VBN
as	IN
schools	NNS
.	.
they	PRP
generally	RB
are	VBP
of	IN
two	CD
sorts	NNS
;	:
those	DT
composed	VBN
almost	RB
entirely	RB
of	IN
females	NNS
,	,
and	CC
those	DT
mustering	VBG
none	NN
but	CC
young	JJ
vigorous	JJ
males	NNS
,	,
or	CC
bulls	NNS
,	,
as	IN
they	PRP
are	VBP
familiarly	RB
designated	VBN
.	.
but	CC
supposing	VBG
the	DT
invader	NN
of	IN
domestic	JJ
bliss	NN
to	TO
betake	VB
himself	PRP
away	RB
at	IN
the	DT
first	JJ
rush	NN
of	IN
the	DT
harem	NN
’s	POS
lord	NNP
,	,
then	RB
is	VBZ
it	PRP
very	RB
diverting	JJ
to	TO
watch	VB
that	DT
lord	NNP
.	.
gently	RB
he	PRP
insinuates	VBZ
his	PRP$
vast	JJ
bulk	NN
among	IN
them	PRP
again	RB
and	CC
revels	VBZ
there	RB
awhile	RB
,	,
still	RB
in	IN
tantalizing	JJ
vicinity	NN
to	IN
young	JJ
lothario	NNP
,	,
like	IN
pious	JJ
solomon	NNP
devoutly	RB
worshipping	VBG
among	IN
his	PRP$
thousand	CD
concubines	NNS
.	.
now	RB
,	,
as	IN
the	DT
harem	NN
of	IN
whales	NNS
is	VBZ
called	VBN
by	IN
the	DT
fishermen	NNS
a	DT
school	NN
,	,
so	RB
is	VBZ
the	DT
lord	NNP
and	CC
master	NN
of	IN
that	DT
school	NN
technically	RB
known	VBN
as	IN
the	DT
schoolmaster	NN
.	.
it	PRP
is	VBZ
therefore	RB
not	RB
in	IN
strict	JJ
character	NN
,	,
however	RB
admirably	RB
satirical	JJ
,	,
that	IN
after	IN
going	VBG
to	IN
school	NN
himself	PRP
,	,
he	PRP
should	MD
then	RB
go	VB
abroad	RB
inculcating	VBG
not	RB
what	WP
he	PRP
learned	VBD
there	RB
,	,
but	CC
the	DT
folly	NN
of	IN
it	PRP
.	.
his	PRP$
title	NN
,	,
schoolmaster	NN
,	,
would	MD
very	RB
naturally	RB
seem	VB
derived	VBN
from	IN
the	DT
name	NN
bestowed	VBN
upon	IN
the	DT
harem	NN
itself	PRP
,	,
but	CC
some	DT
have	VBP
surmised	VBN
that	IN
the	DT
man	NN
who	WP
first	RB
thus	RB
entitled	VBD
this	DT
sort	NN
of	IN
ottoman	NN
whale	NN
,	,
must	MD
have	VB
read	VBN
the	DT
memoirs	NNS
of	IN
vidocq	NNP
,	,
and	CC
informed	VBD
himself	PRP
what	WP
sort	NN
of	IN
a	DT
country	NN
-	HYPH
schoolmaster	NN
that	DT
famous	JJ
frenchman	NNP
was	VBD
in	IN
his	PRP$
younger	JJR
days	NNS
,	,
and	CC
what	WP
was	VBD
the	DT
nature	NN
of	IN
those	DT
occult	JJ
lessons	NNS
he	PRP
inculcated	VBD
into	IN
some	DT
of	IN
his	PRP$
pupils	NNS
.	.
the	DT
same	JJ
secludedness	NN
and	CC
isolation	NN
to	TO
which	WDT
the	DT
schoolmaster	NN
whale	NNP
betakes	VBZ
himself	PRP
in	IN
his	PRP$
advancing	VBG
years	NNS
,	,
is	VBZ
true	JJ
of	IN
all	DT
aged	JJ
sperm	NN
whales	NNS
.	.
almost	RB
universally	RB
,	,
a	DT
lone	JJ
whale	NN
—	:
as	IN
a	DT
solitary	JJ
leviathan	NN
is	VBZ
called	VBN
—	:
proves	VBZ
an	DT
ancient	JJ
one	NN
.	.
like	IN
venerable	JJ
moss	NN
-	HYPH
bearded	JJ
daniel	NNP
boone	NNP
,	,
he	PRP
will	MD
have	VB
no	DT
one	NN
near	IN
him	PRP
but	IN
nature	NN
herself	PRP
;	:
and	CC
her	PRP$
he	PRP
takes	VBZ
to	IN
wife	NN
in	IN
the	DT
wilderness	NN
of	IN
waters	NNS
,	,
and	CC
the	DT
best	JJS
of	IN
wives	NNS
she	PRP
is	VBZ
,	,
though	IN
she	PRP
keeps	VBZ
so	RB
many	JJ
moody	JJ
secrets	NNS
.	.
the	DT
schools	NNS
composing	VBG
none	NN
but	CC
young	JJ
and	CC
vigorous	JJ
males	NNS
,	,
previously	RB
mentioned	VBN
,	,
offer	VBP
a	DT
strong	JJ
contrast	NN
to	IN
the	DT
harem	NN
schools	NNS
.	.
for	IN
while	IN
those	DT
female	JJ
whales	NNS
are	VBP
characteristically	RB
timid	JJ
,	,
the	DT
young	JJ
males	NNS
,	,
or	CC
forty	CD
-	HYPH
barrel	NN
-	HYPH
bulls	NNS
,	,
as	IN
they	PRP
call	VBP
them	PRP
,	,
are	VBP
by	IN
far	RB
the	DT
most	RBS
pugnacious	JJ
of	IN
all	DT
leviathans	NNPS
,	,
and	CC
proverbially	RB
the	DT
most	RBS
dangerous	JJ
to	TO
encounter	VB
;	:
excepting	VBG
those	DT
wondrous	JJ
grey	JJ
-	HYPH
headed	JJ
,	,
grizzled	JJ
whales	NNS
,	,
sometimes	RB
met	VBN
,	,
and	CC
these	DT
will	MD
fight	VB
you	PRP
like	IN
grim	JJ
fiends	NNS
exasperated	VBN
by	IN
a	DT
penal	JJ
gout	NN
.	.
the	DT
forty	CD
-	HYPH
barrel	NN
-	HYPH
bull	NN
schools	NNS
are	VBP
larger	JJR
than	IN
the	DT
harem	NN
schools	NNS
.	.
like	IN
a	DT
mob	NN
of	IN
young	JJ
collegians	NNS
,	,
they	PRP
are	VBP
full	JJ
of	IN
fight	NN
,	,
fun	NN
,	,
and	CC
wickedness	NN
,	,
tumbling	VBG
round	IN
the	DT
world	NN
at	IN
such	PDT
a	DT
reckless	JJ
,	,
rollicking	JJ
rate	NN
,	,
that	IN
no	DT
prudent	JJ
underwriter	NN
would	MD
insure	VB
them	PRP
any	DT
more	RBR
than	IN
he	PRP
would	MD
a	DT
riotous	JJ
lad	NN
at	IN
yale	NNP
or	CC
harvard	NNP
.	.
they	PRP
soon	RB
relinquish	VBP
this	DT
turbulence	NN
though	RB
,	,
and	CC
when	WRB
about	IN
three	CD
-	HYPH
fourths	NNS
grown	VBN
,	,
break	VBP
up	RP
,	,
and	CC
separately	RB
go	VBP
about	RB
in	IN
quest	NN
of	IN
settlements	NNS
,	,
that	DT
is	VBZ
,	,
harems	NNS
.	.
another	DT
point	NN
of	IN
difference	NN
between	IN
the	DT
male	JJ
and	CC
female	JJ
schools	NNS
is	VBZ
still	RB
more	RBR
characteristic	JJ
of	IN
the	DT
sexes	NNS
.	.
say	VB
you	PRP
strike	VBP
a	DT
forty	CD
-	HYPH
barrel	NN
-	HYPH
bull	NN
—	:
poor	JJ
devil	NN
!	.
all	DT
his	PRP$
comrades	NNS
quit	VBD
him	PRP
.	.
but	CC
strike	VB
a	DT
member	NN
of	IN
the	DT
harem	NN
school	NN
,	,
and	CC
her	PRP$
companions	NNS
swim	VBP
around	IN
her	PRP
with	IN
every	DT
token	NN
of	IN
concern	NN
,	,
sometimes	RB
lingering	VBG
so	RB
near	IN
her	PRP
and	CC
so	RB
long	RB
,	,
as	IN
themselves	PRP
to	TO
fall	VB
a	DT
prey	NN
.	.
chapter	NN
89	CD
.	.
fast	JJ
-	HYPH
fish	NN
and	CC
loose	JJ
-	HYPH
fish	NN
.	.
the	DT
allusion	NN
to	IN
the	DT
waif	NN
and	CC
waif	NN
-	HYPH
poles	NNS
in	IN
the	DT
last	JJ
chapter	NN
but	CC
one	CD
,	,
necessitates	VBZ
some	DT
account	NN
of	IN
the	DT
laws	NNS
and	CC
regulations	NNS
of	IN
the	DT
whale	NN
fishery	NN
,	,
of	IN
which	WDT
the	DT
waif	NN
may	MD
be	VB
deemed	VBN
the	DT
grand	JJ
symbol	NN
and	CC
badge	NN
.	.
i.	LS
a	DT
fast	JJ
-	HYPH
fish	NN
belongs	VBZ
to	IN
the	DT
party	NN
fast	RB
to	IN
it	PRP
.	.
ii	LS
.	.
a	DT
loose	JJ
-	HYPH
fish	NN
is	VBZ
fair	JJ
game	NN
for	IN
anybody	NN
who	WP
can	MD
soonest	RB
catch	VB
it	PRP
.	.
but	CC
what	WP
plays	VBZ
the	DT
mischief	NN
with	IN
this	DT
masterly	JJ
code	NN
is	VBZ
the	DT
admirable	JJ
brevity	NN
of	IN
it	PRP
,	,
which	WDT
necessitates	VBZ
a	DT
vast	JJ
volume	NN
of	IN
commentaries	NNS
to	TO
expound	VB
it	PRP
.	.
first	RB
what	WP
is	VBZ
a	DT
fast	JJ
-	HYPH
fish	NN
?	.
alive	JJ
or	CC
dead	JJ
a	DT
fish	NN
is	VBZ
technically	RB
fast	JJ
,	,
when	WRB
it	PRP
is	VBZ
connected	VBN
with	IN
an	DT
occupied	JJ
ship	NN
or	CC
boat	NN
,	,
by	IN
any	DT
medium	NN
at	RB
all	RB
controllable	JJ
by	IN
the	DT
occupant	NN
or	CC
occupants,—a	DT
mast	NN
,	,
an	DT
oar	NN
,	,
a	DT
nine	CD
-	HYPH
inch	NN
cable	NN
,	,
a	DT
telegraph	NN
wire	NN
,	,
or	CC
a	DT
strand	NN
of	IN
cobweb	NN
,	,
it	PRP
is	VBZ
all	RB
the	DT
same	JJ
.	.
likewise	RB
a	DT
fish	NN
is	VBZ
technically	RB
fast	JJ
when	WRB
it	PRP
bears	VBZ
a	DT
waif	NN
,	,
or	CC
any	DT
other	JJ
recognised	VBN
symbol	NN
of	IN
possession	NN
;	:
so	RB
long	RB
as	IN
the	DT
party	NN
waifing	VBG
it	PRP
plainly	RB
evince	VBP
their	PRP$
ability	NN
at	IN
any	DT
time	NN
to	TO
take	VB
it	PRP
alongside	RB
,	,
as	RB
well	RB
as	IN
their	PRP$
intention	NN
so	RB
to	TO
do	VB
.	.
these	DT
are	VBP
scientific	JJ
commentaries	NNS
;	:
but	CC
the	DT
commentaries	NNS
of	IN
the	DT
whalemen	NNS
themselves	PRP
sometimes	RB
consist	VBP
in	IN
hard	JJ
words	NNS
and	CC
harder	JJR
knocks	NNS
—	:
the	DT
coke	NN
-	HYPH
upon	IN
-	HYPH
littleton	NN
of	IN
the	DT
fist	NN
.	.
true	JJ
,	,
among	IN
the	DT
more	RBR
upright	JJ
and	CC
honorable	JJ
whalemen	NNS
allowances	NNS
are	VBP
always	RB
made	VBN
for	IN
peculiar	JJ
cases	NNS
,	,
where	WRB
it	PRP
would	MD
be	VB
an	DT
outrageous	JJ
moral	JJ
injustice	NN
for	IN
one	CD
party	NN
to	TO
claim	VB
possession	NN
of	IN
a	DT
whale	NN
previously	RB
chased	VBN
or	CC
killed	VBN
by	IN
another	DT
party	NN
.	.
but	CC
others	NNS
are	VBP
by	IN
no	DT
means	NNS
so	RB
scrupulous	JJ
.	.
teeth	VBZ
,	,
and	CC
assured	VBD
them	PRP
that	IN
by	IN
way	NN
of	IN
doxology	NN
to	IN
the	DT
deed	NN
he	PRP
had	VBD
done	VBN
,	,
he	PRP
would	MD
now	RB
retain	VB
their	PRP$
line	NN
,	,
harpoons	NNS
,	,
and	CC
boat	NN
,	,
which	WDT
had	VBD
remained	VBN
attached	JJ
to	IN
the	DT
whale	NN
at	IN
the	DT
time	NN
of	IN
the	DT
seizure	NN
.	.
wherefore	RB
the	DT
plaintiffs	NNS
now	RB
sued	VBD
for	IN
the	DT
recovery	NN
of	IN
the	DT
value	NN
of	IN
their	PRP$
whale	NN
,	,
line	NN
,	,
harpoons	NNS
,	,
and	CC
boat	NN
.	.
now	RB
in	IN
the	DT
present	JJ
case	NN
erskine	NNP
contended	VBD
that	IN
the	DT
examples	NNS
of	IN
the	DT
whale	NN
and	CC
the	DT
lady	NN
were	VBD
reciprocally	RB
illustrative	JJ
of	IN
each	DT
other	JJ
.	.
these	DT
pleadings	NNS
,	,
and	CC
the	DT
counter	NN
pleadings	NNS
,	,
being	VBG
duly	RB
heard	VBN
,	,
the	DT
very	RB
learned	JJ
judge	NN
in	IN
set	JJ
terms	NNS
decided	VBD
,	,
to	IN
wit,—that	IN
as	IN
for	IN
the	DT
boat	NN
,	,
he	PRP
awarded	VBD
it	PRP
to	IN
the	DT
plaintiffs	NNS
,	,
because	IN
they	PRP
had	VBD
merely	RB
abandoned	VBN
it	PRP
to	TO
save	VB
their	PRP$
lives	NNS
;	:
but	CC
that	IN
with	IN
regard	NN
to	IN
the	DT
controverted	JJ
whale	NN
,	,
harpoons	NNS
,	,
and	CC
line	NN
,	,
they	PRP
belonged	VBD
to	IN
the	DT
defendants	NNS
;	:
the	DT
whale	NN
,	,
because	IN
it	PRP
was	VBD
a	DT
loose	JJ
-	HYPH
fish	NN
at	IN
the	DT
time	NN
of	IN
the	DT
final	JJ
capture	NN
;	:
and	CC
the	DT
harpoons	NNS
and	CC
line	NN
because	IN
when	WRB
the	DT
fish	NN
made	VBD
off	RP
with	IN
them	PRP
,	,
it	PRP
(	-LRB-
the	DT
fish	NN
)	-RRB-
acquired	VBD
a	DT
property	NN
in	IN
those	DT
articles	NNS
;	:
and	CC
hence	RB
anybody	NN
who	WP
afterwards	RB
took	VBD
the	DT
fish	NN
had	VBD
a	DT
right	NN
to	IN
them	PRP
.	.
now	RB
the	DT
defendants	NNS
afterwards	RB
took	VBD
the	DT
fish	NN
;	:
ergo	UH
,	,
the	DT
aforesaid	JJ
articles	NNS
were	VBD
theirs	PRP
.	.
a	DT
common	JJ
man	NN
looking	VBG
at	IN
this	DT
decision	NN
of	IN
the	DT
very	RB
learned	JJ
judge	NN
,	,
might	MD
possibly	RB
object	VB
to	IN
it	PRP
.	.
but	CC
ploughed	VBD
up	RB
to	IN
the	DT
primary	JJ
rock	NN
of	IN
the	DT
matter	NN
,	,
the	DT
two	CD
great	JJ
principles	NNS
laid	VBN
down	RP
in	IN
the	DT
twin	JJ
whaling	NN
laws	NNS
previously	RB
quoted	VBN
,	,
and	CC
applied	VBN
and	CC
elucidated	VBN
by	IN
lord	NNP
ellenborough	NNP
in	IN
the	DT
above	RB
cited	VBN
case	NN
;	:
these	DT
two	CD
laws	NNS
touching	VBG
fast	JJ
-	HYPH
fish	NN
and	CC
loose	JJ
-	HYPH
fish	NN
,	,
i	PRP
say	VBP
,	,
will	MD
,	,
on	IN
reflection	NN
,	,
be	VB
found	VBN
the	DT
fundamentals	NNS
of	IN
all	DT
human	JJ
jurisprudence	NN
;	:
for	IN
notwithstanding	IN
its	PRP$
complicated	JJ
tracery	NN
of	IN
sculpture	NN
,	,
the	DT
temple	NN
of	IN
the	DT
law	NN
,	,
like	IN
the	DT
temple	NN
of	IN
the	DT
philistines	NNP
,	,
has	VBZ
but	RB
two	CD
props	NNS
to	TO
stand	VB
on	IN
.	.
is	VBZ
it	PRP
not	RB
a	DT
saying	NN
in	IN
every	DT
one	NN
’s	POS
mouth	NN
,	,
possession	NN
is	VBZ
half	NN
of	IN
the	DT
law	NN
that	DT
is	VBZ
,	,
regardless	RB
of	IN
how	WRB
the	DT
thing	NN
came	VBD
into	IN
possession	NN
?	.
but	CC
often	RB
possession	NN
is	VBZ
the	DT
whole	NN
of	IN
the	DT
law	NN
.	.
what	WP
are	VBP
the	DT
sinews	NNS
and	CC
souls	NNS
of	IN
russian	JJ
serfs	NNS
and	CC
republican	JJ
slaves	NNS
but	CC
fast	JJ
-	HYPH
fish	NN
,	,
whereof	WRB
possession	NN
is	VBZ
the	DT
whole	NN
of	IN
the	DT
law	NN
?	.
what	WP
to	IN
the	DT
rapacious	JJ
landlord	NN
is	VBZ
the	DT
widow	NN
’s	POS
last	JJ
mite	NN
but	CC
a	DT
fast	JJ
-	HYPH
fish	NN
?	.
what	WP
is	VBZ
yonder	PRP$
undetected	JJ
villain	NN
’s	POS
marble	NN
mansion	NN
with	IN
a	DT
door	NN
-	HYPH
plate	NN
for	IN
a	DT
waif	NN
;	:
what	WP
is	VBZ
that	DT
but	CC
a	DT
fast	JJ
-	HYPH
fish	NN
?	.
but	CC
if	IN
the	DT
doctrine	NN
of	IN
fast	JJ
-	HYPH
fish	NN
be	VBP
pretty	RB
generally	RB
applicable	JJ
,	,
the	DT
kindred	NN
doctrine	NN
of	IN
loose	JJ
-	HYPH
fish	NN
is	VBZ
still	RB
more	RBR
widely	RB
so	RB
.	.
that	DT
is	VBZ
internationally	RB
and	CC
universally	RB
applicable	JJ
.	.
what	WP
was	VBD
america	NNP
in	IN
1492	CD
but	CC
a	DT
loose	JJ
-	HYPH
fish	NN
,	,
in	IN
which	WDT
columbus	NNP
struck	VBD
the	DT
spanish	JJ
standard	NN
by	IN
way	NN
of	IN
waifing	VBG
it	PRP
for	IN
his	PRP$
royal	JJ
master	NN
and	CC
mistress	NN
?	.
what	WP
was	VBD
poland	NNP
to	IN
the	DT
czar	NN
?	.
what	WDT
greece	NN
to	IN
the	DT
turk	NNP
?	.
what	WDT
india	NNP
to	IN
england	NNP
?	.
what	WP
at	IN
last	RB
will	MD
mexico	NNP
be	VB
to	IN
the	DT
united	NNP
states	NNP
?	.
all	DT
loose	JJ
-	HYPH
fish	NN
.	.
what	WP
are	VBP
the	DT
rights	NNS
of	IN
man	NN
and	CC
the	DT
liberties	NNS
of	IN
the	DT
world	NN
but	CC
loose	JJ
-	HYPH
fish	NN
?	.
what	WP
all	DT
men	NNS
’s	POS
minds	NNS
and	CC
opinions	NNS
but	IN
loose	JJ
-	HYPH
fish	NN
?	.
what	WP
is	VBZ
the	DT
principle	NN
of	IN
religious	JJ
belief	NN
in	IN
them	PRP
but	CC
a	DT
loose	JJ
-	HYPH
fish	NN
?	.
what	WP
to	IN
the	DT
ostentatious	JJ
smuggling	NN
verbalists	NNS
are	VBP
the	DT
thoughts	NNS
of	IN
thinkers	NNS
but	CC
loose	JJ
-	HYPH
fish	NN
?	.
what	WP
is	VBZ
the	DT
great	JJ
globe	NNP
itself	PRP
but	CC
a	DT
loose	JJ
-	HYPH
fish	NN
?	.
and	CC
what	WP
are	VBP
you	PRP
,	,
reader	NN
,	,
but	CC
a	DT
loose	JJ
-	HYPH
fish	NN
and	CC
a	DT
fast	JJ
-	HYPH
fish	NN
,	,
too	RB
?	.
chapter	NN
90	CD
.	.
heads	NNS
or	CC
tails	NNS
.	.
“	``
de	FW
balena	NNP
vero	FW
sufficit	FW
,	,
si	FW
rex	FW
habeat	NNP
caput	NNP
,	,
et	FW
regina	NNP
caudam	FW
.	.
”	''
bracton	NNP
,	,
l.	NNP
3	CD
,	,
c.	NNP
3	CD
.	.
it	PRP
seems	VBZ
that	IN
some	DT
honest	JJ
mariners	NNS
of	IN
dover	NNP
,	,
or	CC
sandwich	NNP
,	,
or	CC
some	DT
one	CD
of	IN
the	DT
cinque	JJ
ports	NNS
,	,
had	VBD
after	IN
a	DT
hard	JJ
chase	NN
succeeded	VBN
in	IN
killing	VBG
and	CC
beaching	VBG
a	DT
fine	JJ
whale	NN
which	WDT
they	PRP
had	VBD
originally	RB
descried	VBN
afar	RB
off	RB
from	IN
the	DT
shore	NN
.	.
now	RB
the	DT
cinque	JJ
ports	NNPS
are	VBP
partially	RB
or	CC
somehow	RB
under	IN
the	DT
jurisdiction	NN
of	IN
a	DT
sort	NN
of	IN
policeman	NN
or	CC
beadle	NN
,	,
called	VBN
a	DT
lord	NNP
warden	NNP
.	.
holding	VBG
the	DT
office	NN
directly	RB
from	IN
the	DT
crown	NN
,	,
i	PRP
believe	VBP
,	,
all	PDT
the	DT
royal	JJ
emoluments	NNS
incident	NN
to	IN
the	DT
cinque	JJ
port	JJ
territories	NNS
become	VBP
by	IN
assignment	NN
his	PRP$
.	.
by	IN
some	DT
writers	NNS
this	DT
office	NN
is	VBZ
called	VBN
a	DT
sinecure	NN
.	.
but	CC
not	RB
so	RB
.	.
because	IN
the	DT
lord	NNP
warden	NN
is	VBZ
busily	RB
employed	VBN
at	IN
times	NNS
in	IN
fobbing	VBG
his	PRP$
perquisites	NNS
;	:
which	WDT
are	VBP
his	PRP$
chiefly	RB
by	IN
virtue	NN
of	IN
that	DT
same	JJ
fobbing	NN
of	IN
them	PRP
.	.
“	``
please	UH
,	,
sir	NNP
,	,
who	WP
is	VBZ
the	DT
lord	NNP
warden	NNP
?	.
”	''
“	``
the	DT
duke	NN
.	.
”	''
“	``
but	CC
the	DT
duke	NN
had	VBD
nothing	NN
to	TO
do	VB
with	IN
taking	VBG
this	DT
fish	NN
?	.
”	''
“	``
it	PRP
is	VBZ
his	PRP$
.	.
”	''
“	``
we	PRP
have	VBP
been	VBN
at	IN
great	JJ
trouble	NN
,	,
and	CC
peril	NN
,	,
and	CC
some	DT
expense	NN
,	,
and	CC
is	VBZ
all	PDT
that	DT
to	TO
go	VB
to	IN
the	DT
duke	NN
’s	POS
benefit	NN
;	:
we	PRP
getting	VBG
nothing	NN
at	RB
all	RB
for	IN
our	PRP$
pains	NNS
but	CC
our	PRP$
blisters	NNS
?	.
”	''
“	``
it	PRP
is	VBZ
his	PRP$
.	.
”	''
“	``
is	VBZ
the	DT
duke	NNP
so	RB
very	RB
poor	JJ
as	IN
to	TO
be	VB
forced	VBN
to	IN
this	DT
desperate	JJ
mode	NN
of	IN
getting	VBG
a	DT
livelihood	NN
?	.
”	''
“	``
it	PRP
is	VBZ
his	PRP$
.	.
”	''
“	``
i	PRP
thought	VBD
to	TO
relieve	VB
my	PRP$
old	JJ
bed	NN
-	HYPH
ridden	JJ
mother	NN
by	IN
part	NN
of	IN
my	PRP$
share	NN
of	IN
this	DT
whale	NN
.	.
”	''
“	``
it	PRP
is	VBZ
his	PRP$
.	.
”	''
“	``
wo	MD
n’t	RB
the	DT
duke	NN
be	VB
content	JJ
with	IN
a	DT
quarter	NN
or	CC
a	DT
half	NN
?	.
”	''
“	``
it	PRP
is	VBZ
his	PRP$
.	.
”	''
in	IN
a	DT
word	NN
,	,
the	DT
whale	NN
was	VBD
seized	VBN
and	CC
sold	VBN
,	,
and	CC
his	PRP$
grace	NN
the	DT
duke	NNP
of	IN
wellington	NNP
received	VBD
the	DT
money	NN
.	.
thinking	VBG
that	IN
viewed	VBN
in	IN
some	DT
particular	JJ
lights	NNS
,	,
the	DT
case	NN
might	MD
by	IN
a	DT
bare	JJ
possibility	NN
in	IN
some	DT
small	JJ
degree	NN
be	VB
deemed	VBN
,	,
under	IN
the	DT
circumstances	NNS
,	,
a	DT
rather	RB
hard	JJ
one	CD
,	,
an	DT
honest	JJ
clergyman	NN
of	IN
the	DT
town	NN
respectfully	RB
addressed	VBD
a	DT
note	NN
to	IN
his	PRP$
grace	NN
,	,
begging	VBG
him	PRP
to	TO
take	VB
the	DT
case	NN
of	IN
those	DT
unfortunate	JJ
mariners	NNS
into	IN
full	JJ
consideration	NN
.	.
to	TO
which	WDT
my	PRP$
lord	NNP
duke	NNP
in	IN
substance	NN
replied	VBD
(	-LRB-
both	DT
letters	NNS
were	VBD
published	VBN
)	-RRB-
that	IN
he	PRP
had	VBD
already	RB
done	VBN
so	RB
,	,
and	CC
received	VBD
the	DT
money	NN
,	,
and	CC
would	MD
be	VB
obliged	VBN
to	IN
the	DT
reverend	JJ
gentleman	NN
if	IN
for	IN
the	DT
future	NN
he	PRP
(	-LRB-
the	DT
reverend	JJ
gentleman	NN
)	-RRB-
would	MD
decline	VB
meddling	VBG
with	IN
other	JJ
people	NNS
’s	POS
business	NN
.	.
is	VBZ
this	DT
the	DT
still	RB
militant	JJ
old	JJ
man	NN
,	,
standing	VBG
at	IN
the	DT
corners	NNS
of	IN
the	DT
three	CD
kingdoms	NNS
,	,
on	IN
all	DT
hands	NNS
coercing	VBG
alms	NNS
of	IN
beggars	NNS
?	.
