“	``
side	NN
.	.
crouching	VBG
down	RB
in	IN
a	DT
corner	NN
,	,
peeping	VBG
up	IN
the	DT
lane	NN
,	,
the	DT
next	JJ
object	NN
that	WDT
young	JJ
jerry	NNP
saw	VBD
,	,
was	VBD
the	DT
form	NN
of	IN
his	PRP$
honoured	VBN
parent	NN
,	,
pretty	RB
well	RB
defined	VBN
against	IN
a	DT
watery	JJ
and	CC
clouded	JJ
moon	NN
,	,
nimbly	RB
scaling	VBG
an	DT
iron	NN
gate	NN
.	.
he	PRP
was	VBD
soon	RB
over	RB
,	,
and	CC
then	RB
the	DT
second	JJ
fisherman	NN
got	VBD
over	RP
,	,
and	CC
then	RB
the	DT
third	JJ
.	.
they	PRP
all	DT
dropped	VBD
softly	RB
on	IN
the	DT
ground	NN
within	IN
the	DT
gate	NN
,	,
and	CC
lay	VBD
there	RB
a	DT
little	JJ
listening	NN
perhaps	RB
.	.
then	RB
,	,
they	PRP
moved	VBD
away	RB
on	IN
their	PRP$
hands	NNS
and	CC
knees	NNS
.	.
it	PRP
was	VBD
now	RB
young	JJ
jerry	NNP
's	POS
turn	NN
to	TO
approach	VB
the	DT
gate	NN
which	WDT
he	PRP
did	VBD
,	,
holding	VBG
his	PRP$
breath	NN
.	.
crouching	VBG
down	RB
again	RB
in	IN
a	DT
corner	NN
there	RB
,	,
and	CC
looking	VBG
in	RB
,	,
he	PRP
made	VBD
out	RP
the	DT
three	CD
fishermen	NNS
creeping	VBG
through	IN
some	DT
rank	JJ
grass	NN
!	.
and	CC
all	PDT
the	DT
gravestones	NNS
in	IN
the	DT
churchyard	NN
it	PRP
was	VBD
a	DT
large	JJ
churchyard	NN
that	WDT
they	PRP
were	VBD
in	IN
looking	VBG
on	IN
like	IN
ghosts	NNS
in	IN
white	JJ
,	,
while	IN
the	DT
church	NN
tower	NN
itself	PRP
looked	VBD
on	RP
like	IN
the	DT
ghost	NN
of	IN
a	DT
monstrous	JJ
giant	NN
.	.
they	PRP
did	VBD
not	RB
creep	VB
far	RB
,	,
before	IN
they	PRP
stopped	VBD
and	CC
stood	VBD
upright	RB
.	.
and	CC
then	RB
they	PRP
began	VBD
to	TO
fish	VB
.	.
they	PRP
fished	VBD
with	IN
a	DT
spade	NN
,	,
at	IN
first	RB
.	.
presently	RB
the	DT
honoured	JJ
parent	NN
appeared	VBD
to	TO
be	VB
adjusting	VBG
some	DT
instrument	NN
like	IN
a	DT
great	JJ
corkscrew	NN
.	.
whatever	WDT
tools	NNS
they	PRP
worked	VBD
with	IN
,	,
they	PRP
worked	VBD
hard	RB
,	,
until	IN
the	DT
awful	JJ
striking	NN
of	IN
the	DT
church	NN
clock	NN
so	RB
terrified	VBD
young	JJ
jerry	NNP
,	,
that	IN
he	PRP
made	VBD
off	RP
,	,
with	IN
his	PRP$
hair	NN
as	RB
stiff	JJ
as	IN
his	PRP$
father	NN
's	POS
.	.
from	IN
his	PRP$
oppressed	JJ
slumber	NN
,	,
young	JJ
jerry	NNP
in	IN
his	PRP$
closet	NN
was	VBD
awakened	VBN
after	IN
daybreak	NN
and	CC
before	IN
sunrise	NN
,	,
by	IN
the	DT
presence	NN
of	IN
his	PRP$
father	NN
in	IN
the	DT
family	NN
room	NN
.	.
something	NN
had	VBD
gone	VBN
wrong	JJ
with	IN
him	PRP
;	:
at	IN
least	JJS
,	,
so	RB
young	JJ
jerry	NNP
inferred	VBD
,	,
from	IN
the	DT
circumstance	NN
of	IN
his	PRP$
holding	VBG
mrs	NNP
.	NNP
cruncher	NNP
by	IN
the	DT
ears	NNS
,	,
and	CC
knocking	VBG
the	DT
back	NN
of	IN
her	PRP$
head	NN
against	IN
the	DT
head	NN
-	HYPH
board	NN
of	IN
the	DT
bed	NN
.	.
“	``
i	PRP
told	VBD
you	PRP
i	PRP
would	MD
,	,
”	''
said	VBD
mr	NNP
.	NNP
cruncher	NNP
,	,
“	``
and	CC
i	PRP
did	VBD
.	.
”	''
“	``
jerry	NNP
,	,
jerry	NNP
,	,
jerry	NNP
!	.
”	''
his	PRP$
wife	NN
implored	VBD
.	.
“	``
you	PRP
oppose	VBP
yourself	PRP
to	IN
the	DT
profit	NN
of	IN
the	DT
business	NN
,	,
”	''
said	VBD
jerry	NNP
,	,
“	``
and	CC
me	PRP
and	CC
my	PRP$
partners	NNS
suffer	VBP
.	.
you	PRP
was	VBD
to	TO
honour	VB
and	CC
obey	VB
;	:
why	WRB
the	DT
devil	NN
do	VBP
n't	RB
you	PRP
?	.
”	''
“	``
i	PRP
try	VBP
to	TO
be	VB
a	DT
good	JJ
wife	NN
,	,
jerry	NNP
,	,
”	''
the	DT
poor	JJ
woman	NN
protested	VBD
,	,
with	IN
tears	NNS
.	.
“	``
is	VBZ
it	PRP
being	VBG
a	DT
good	JJ
wife	NN
to	TO
oppose	VB
your	PRP$
husband	NN
's	POS
business	NN
?	.
is	VBZ
it	PRP
honouring	VBG
your	PRP$
husband	NN
to	TO
dishonour	VB
his	PRP$
business	NN
?	.
is	VBZ
it	PRP
obeying	VBG
your	PRP$
husband	NN
to	TO
disobey	VB
him	PRP
on	IN
the	DT
wital	JJ
subject	NN
of	IN
his	PRP$
business	NN
?	.
”	''
“	``
you	PRP
had	VBD
n't	RB
taken	VBN
to	IN
the	DT
dreadful	JJ
business	NN
then	RB
,	,
jerry	NNP
.	.
”	''
“	``
it	PRP
's	VBZ
enough	JJ
for	IN
you	PRP
,	,
”	''
retorted	VBD
mr	NNP
.	NNP
cruncher	NNP
,	,
“	``
to	TO
be	VB
the	DT
wife	NN
of	IN
a	DT
honest	JJ
tradesman	NN
,	,
and	CC
not	RB
to	TO
occupy	VB
your	PRP$
female	JJ
mind	NN
with	IN
calculations	NNS
when	WRB
he	PRP
took	VBD
to	IN
his	PRP$
trade	NN
or	CC
when	WRB
he	PRP
did	VBD
n't	RB
.	.
a	DT
honouring	VBG
and	CC
obeying	VBG
wife	NN
would	MD
let	VB
his	PRP$
trade	NN
alone	RB
altogether	RB
.	.
call	VB
yourself	PRP
a	DT
religious	JJ
woman	NN
?	.
if	IN
youare	PRP
a	DT
religious	JJ
woman	NN
,	,
give	VB
me	PRP
a	DT
irreligious	JJ
one	NN
!	.
you	PRP
have	VBP
no	DT
more	JJR
natural	JJ
sense	NN
of	IN
duty	NN
than	IN
the	DT
bed	NN
of	IN
this	DT
here	RB
thames	NNP
river	NNP
has	VBZ
of	IN
a	DT
pile	NN
,	,
and	CC
similarly	RB
it	PRP
must	MD
be	VB
knocked	VBN
into	IN
you	PRP
.	.
”	''
the	DT
altercation	NN
was	VBD
conducted	VBN
in	IN
a	DT
low	JJ
tone	NN
of	IN
voice	NN
,	,
and	CC
terminated	VBD
in	IN
the	DT
honest	JJ
tradesman	NN
's	POS
kicking	VBG
off	RP
his	PRP$
clay	NN
-	HYPH
soiled	VBN
boots	NNS
,	,
and	CC
lying	VBG
down	RP
at	IN
his	PRP$
length	NN
on	IN
the	DT
floor	NN
.	.
after	IN
taking	VBG
a	DT
timid	JJ
peep	NN
at	IN
him	PRP
lying	VBG
on	IN
his	PRP$
back	NN
,	,
with	IN
his	PRP$
rusty	JJ
hands	NNS
under	IN
his	PRP$
head	NN
for	IN
a	DT
pillow	NN
,	,
his	PRP$
son	NN
lay	VBD
down	RB
too	RB
,	,
and	CC
fell	VBD
asleep	JJ
again	RB
.	.
there	EX
was	VBD
no	DT
fish	NN
for	IN
breakfast	NN
,	,
and	CC
not	RB
much	JJ
of	IN
anything	NN
else	RB
.	.
mr	NNP
.	NNP
cruncher	NNP
was	VBD
out	IN
of	IN
spirits	NNS
,	,
and	CC
out	IN
of	IN
temper	NN
,	,
and	CC
kept	VBD
an	DT
iron	NN
pot	NN
-	HYPH
lid	NN
by	IN
him	PRP
as	IN
a	DT
projectile	NN
for	IN
the	DT
correction	NN
of	IN
mrs	NNP
.	NNP
cruncher	NNP
,	,
in	IN
case	NN
he	PRP
should	MD
observe	VB
any	DT
symptoms	NNS
of	IN
her	PRP$
saying	VBG
grace	NN
.	.
he	PRP
was	VBD
brushed	VBN
and	CC
washed	VBN
at	IN
the	DT
usual	JJ
hour	NN
,	,
and	CC
set	VBD
off	RP
with	IN
his	PRP$
son	NN
to	TO
pursue	VB
his	PRP$
ostensible	JJ
calling	NN
.	.
young	NNP
jerry	NNP
,	,
walking	VBG
with	IN
the	DT
stool	NN
under	IN
his	PRP$
arm	NN
at	IN
his	PRP$
father	NN
's	POS
side	NN
along	IN
sunny	JJ
and	CC
crowded	JJ
fleet	NNP
-	HYPH
street	NNP
,	,
was	VBD
a	DT
very	RB
different	JJ
young	JJ
jerry	NN
from	IN
him	PRP
of	IN
the	DT
previous	JJ
night	NN
,	,
running	VBG
home	RB
through	IN
darkness	NN
and	CC
solitude	NN
from	IN
his	PRP$
grim	JJ
pursuer	NN
.	.
his	PRP$
cunning	NN
was	VBD
fresh	JJ
with	IN
the	DT
day	NN
,	,
and	CC
his	PRP$
qualms	NNS
were	VBD
gone	VBN
with	IN
the	DT
night	NN
in	IN
which	WDT
particulars	NNS
it	PRP
is	VBZ
not	RB
improbable	JJ
that	IN
he	PRP
had	VBD
compeers	NNS
in	IN
fleet	NNP
-	HYPH
street	NNP
and	CC
the	DT
city	NN
of	IN
london	NNP
,	,
that	DT
fine	JJ
morning	NN
.	.
“	``
father	NNP
,	,
”	''
said	VBD
young	JJ
jerry	NNP
,	,
as	IN
they	PRP
walked	VBD
along	RB
taking	VBG
care	NN
to	TO
keep	VB
at	IN
arm	NN
length	NN
and	CC
to	TO
have	VB
the	DT
stool	NN
well	RB
between	IN
them	PRP
“	``
what	WP
's	VBZ
a	DT
resurrection	NN
-	HYPH
man	NN
?	.
”	''
mr	NNP
.	NNP
cruncher	NNP
came	VBD
to	IN
a	DT
stop	NN
on	IN
the	DT
pavement	NN
before	IN
he	PRP
answered	VBD
,	,
“	``
how	WRB
should	MD
i	PRP
know	VB
?	.
”	''
“	``
i	PRP
thought	VBD
you	PRP
knowed	VBD
everything	NN
,	,
father	NN
,	,
”	''
said	VBD
the	DT
artless	JJ
boy	NN
.	.
“	``
hem	UH
!	.
well	RB
,	,
”	''
returned	VBD
mr	NNP
.	NNP
cruncher	NNP
,	,
going	VBG
on	RP
again	RB
,	,
and	CC
lifting	VBG
off	RP
his	PRP$
hat	NN
to	TO
give	VB
his	PRP$
spikes	NNS
free	JJ
play	NN
,	,
“	``
he	PRP
's	VBZ
a	DT
tradesman	NN
.	.
”	''
“	``
what	WP
's	VBZ
his	PRP$
goods	NNS
,	,
father	NN
?	.
”	''
asked	VBD
the	DT
brisk	JJ
young	JJ
jerry	NN
.	.
“	``
his	PRP$
goods	NNS
,	,
”	''
said	VBD
mr	NNP
.	NNP
cruncher	NNP
,	,
after	IN
turning	VBG
it	PRP
over	RP
in	IN
his	PRP$
mind	NN
,	,
“	``
is	VBZ
a	DT
branch	NN
of	IN
scientific	JJ
goods	NNS
.	.
”	''
“	``
persons	NNS
'	POS
bodies	NNS
,	,
ai	VBP
n't	RB
it	PRP
,	,
father	NN
?	.
”	''
asked	VBD
the	DT
lively	JJ
boy	NN
.	.
“	``
i	PRP
believe	VBP
it	PRP
is	VBZ
something	NN
of	IN
that	DT
sort	NN
,	,
”	''
said	VBD
mr	NNP
.	NNP
cruncher	NNP
.	.
“	``
oh	UH
,	,
father	NN
,	,
i	PRP
should	MD
so	RB
like	VB
to	TO
be	VB
a	DT
resurrection	NN
-	HYPH
man	NN
when	WRB
iam	PRP
quite	RB
growed	VBN
up	RP
!	.
”	''
mr	NNP
.	NNP
cruncher	NNP
was	VBD
soothed	VBN
,	,
but	CC
shook	VBD
his	PRP$
head	NN
in	IN
a	DT
dubious	JJ
and	CC
moral	JJ
way	NN
.	.
“	``
it	PRP
depends	VBZ
upon	IN
how	WRB
you	PRP
dewelop	VBP
your	PRP$
talents	NNS
.	.
be	VB
careful	JJ
to	TO
dewelop	VB
your	PRP$
talents	NNS
,	,
and	CC
never	RB
to	TO
say	VB
no	DT
more	JJR
than	IN
you	PRP
can	MD
help	VB
to	IN
nobody	NN
,	,
and	CC
there	EX
's	VBZ
no	DT
telling	VBG
at	IN
the	DT
present	JJ
time	NN
what	WP
you	PRP
may	MD
not	RB
come	VB
to	TO
be	VB
fit	JJ
for	IN
.	.
”	''
as	IN
young	JJ
jerry	NNP
,	,
thus	RB
encouraged	VBN
,	,
went	VBD
on	RP
a	DT
few	JJ
yards	NNS
in	IN
advance	NN
,	,
to	TO
plant	VB
the	DT
stool	NN
in	IN
the	DT
shadow	NN
of	IN
the	DT
bar	NN
,	,
mr	NNP
.	NNP
cruncher	NNP
added	VBD
to	IN
himself	PRP
“	``
jerry	NNP
,	,
you	PRP
honest	JJ
tradesman	NN
,	,
there	EX
's	VBZ
hopes	NNS
wot	XX
that	DT
boy	NN
will	MD
yet	RB
be	VB
a	DT
blessing	NN
to	IN
you	PRP
,	,
and	CC
a	DT
recompense	NN
to	IN
you	PRP
for	IN
his	PRP$
mother	NN
!	.
”	''
xv	XX
.	.
knitting	VBG
notwithstanding	IN
an	DT
unusual	JJ
flow	NN
of	IN
company	NN
,	,
the	DT
master	NN
of	IN
the	DT
wine	NN
-	HYPH
shop	NN
was	VBD
not	RB
visible	JJ
.	.
he	PRP
was	VBD
not	RB
missed	VBN
;	:
for	CC
,	,
nobody	NN
who	WP
crossed	VBD
the	DT
threshold	NN
looked	VBD
for	IN
him	PRP
,	,
nobody	NN
asked	VBD
for	IN
him	PRP
,	,
nobody	NN
wondered	VBD
to	TO
see	VB
only	RB
madame	NNP
defarge	NNP
in	IN
her	PRP$
seat	NN
,	,
presiding	VBG
over	IN
the	DT
distribution	NN
of	IN
wine	NN
,	,
with	IN
a	DT
bowl	NN
of	IN
battered	JJ
small	JJ
coins	NNS
before	IN
her	PRP
,	,
as	RB
much	RB
defaced	VBN
and	CC
beaten	VBN
out	IN
of	IN
their	PRP$
original	JJ
impress	NN
as	IN
the	DT
small	JJ
coinage	NN
of	IN
humanity	NN
from	IN
whose	WP$
ragged	JJ
pockets	NNS
they	PRP
had	VBD
come	VBN
.	.
a	DT
suspended	VBN
interest	NN
and	CC
a	DT
prevalent	JJ
absence	NN
of	IN
mind	NN
,	,
were	VBD
perhaps	RB
observed	VBN
by	IN
the	DT
spies	NNS
who	WP
looked	VBD
in	RB
at	IN
the	DT
wine	NN
-	HYPH
shop	NN
,	,
as	IN
they	PRP
looked	VBD
in	RB
at	IN
every	DT
place	NN
,	,
high	JJ
and	CC
low	JJ
,	,
from	IN
the	DT
king	NN
's	POS
palace	NN
to	IN
the	DT
criminal	NN
's	POS
gaol	NN
.	.
games	NNS
at	IN
cards	NNS
languished	VBD
,	,
players	NNS
at	IN
dominoes	NNS
musingly	RB
built	VBD
towers	NNS
with	IN
them	PRP
,	,
drinkers	NNS
drew	VBD
figures	NNS
on	IN
the	DT
tables	NNS
with	IN
spilt	JJ
drops	NNS
of	IN
wine	NN
,	,
madame	NNP
defarge	NNP
herself	PRP
picked	VBD
out	RP
the	DT
pattern	NN
on	IN
her	PRP$
sleeve	NN
with	IN
her	PRP$
toothpick	NN
,	,
and	CC
saw	VBD
and	CC
heard	VBD
something	NN
inaudible	JJ
and	CC
invisible	JJ
a	DT
long	JJ
way	NN
off	RB
.	.
“	``
good	JJ
day	NN
,	,
gentlemen	NNS
!	.
”	''
said	VBD
monsieur	NNP
defarge	NNP
.	.
it	PRP
may	MD
have	VB
been	VBN
a	DT
signal	NN
for	IN
loosening	VBG
the	DT
general	JJ
tongue	NN
.	.
it	PRP
elicited	VBD
an	DT
answering	VBG
chorus	NN
of	IN
“	``
good	JJ
day	NN
!	.
”	''
“	``
it	PRP
is	VBZ
bad	JJ
weather	NN
,	,
gentlemen	NNS
,	,
”	''
said	VBD
defarge	NNP
,	,
shaking	VBG
his	PRP$
head	NN
.	.
upon	IN
which	WDT
,	,
every	DT
man	NN
looked	VBD
at	IN
his	PRP$
neighbour	NN
,	,
and	CC
then	RB
all	DT
cast	VBD
down	RP
their	PRP$
eyes	NNS
and	CC
sat	VBD
silent	JJ
.	.
except	IN
one	CD
man	NN
,	,
who	WP
got	VBD
up	RP
and	CC
went	VBD
out	RP
.	.
“	``
my	PRP$
wife	NN
,	,
”	''
said	VBD
defarge	NNP
aloud	RB
,	,
addressing	VBG
madame	NNP
defarge	NNP
“	``
i	PRP
have	VBP
travelled	VBN
certain	JJ
leagues	NNS
with	IN
this	DT
good	JJ
mender	NN
of	IN
roads	NNS
,	,
called	VBN
jacques	NNP
.	.
i	PRP
met	VBD
him	PRP
by	IN
accident	NN
a	DT
day	NN
and	CC
half	NN
's	POS
journey	NN
out	IN
of	IN
paris	NNP
.	.
he	PRP
is	VBZ
a	DT
good	JJ
child	NN
,	,
this	DT
mender	NN
of	IN
roads	NNS
,	,
called	VBN
jacques	NNP
.	.
give	VB
him	PRP
to	TO
drink	VB
,	,
my	PRP$
wife	NN
!	.
”	''
a	DT
second	JJ
man	NN
got	VBD
up	RP
and	CC
went	VBD
out	RP
.	.
madame	NNP
defarge	NNP
set	VBD
wine	NN
before	IN
the	DT
mender	NN
of	IN
roads	NNS
called	VBN
jacques	NNP
,	,
who	WP
doffed	VBD
his	PRP$
blue	JJ
cap	NN
to	IN
the	DT
company	NN
,	,
and	CC
drank	VBD
.	.
in	IN
the	DT
breast	NN
of	IN
his	PRP$
blouse	NN
he	PRP
carried	VBD
some	DT
coarse	JJ
dark	JJ
bread	NN
;	:
he	PRP
ate	VBD
of	IN
this	DT
between	IN
whiles	NNS
,	,
and	CC
sat	VBD
munching	VBG
and	CC
drinking	VBG
near	IN
madame	NNP
defarge	NNP
's	POS
counter	NN
.	.
a	DT
third	JJ
man	NN
got	VBD
up	RP
and	CC
went	VBD
out	RB
.	.
defarge	NNP
refreshed	VBD
himself	PRP
with	IN
a	DT
draught	NN
of	IN
wine	NN
but	CC
,	,
he	PRP
took	VBD
less	JJR
than	IN
was	VBD
given	VBN
to	IN
the	DT
stranger	NN
,	,
as	IN
being	VBG
himself	PRP
a	DT
man	NN
to	TO
whom	WP
it	PRP
was	VBD
no	DT
rarity	NN
and	CC
stood	VBD
waiting	VBG
until	IN
the	DT
countryman	NN
had	VBD
made	VBN
his	PRP$
breakfast	NN
.	.
he	PRP
looked	VBD
at	IN
no	DT
one	NN
present	JJ
,	,
and	CC
no	DT
one	PRP
now	RB
looked	VBD
at	IN
him	PRP
;	:
not	RB
even	RB
madame	NNP
defarge	NNP
,	,
who	WP
had	VBD
taken	VBN
up	RP
her	PRP$
knitting	NN
,	,
and	CC
was	VBD
at	IN
work	NN
.	.
“	``
have	VBP
you	PRP
finished	VBN
your	PRP$
repast	NN
,	,
friend	NN
?	.
”	''
he	PRP
asked	VBD
,	,
in	IN
due	JJ
season	NN
.	.
“	``
yes	UH
,	,
thank	VBP
you	PRP
.	.
”	''
“	``
come	VB
,	,
then	RB
!	.
you	PRP
shall	MD
see	VB
the	DT
apartment	NN
that	WDT
i	PRP
told	VBD
you	PRP
you	PRP
could	MD
occupy	VB
.	.
it	PRP
will	MD
suit	VB
you	PRP
to	IN
a	DT
marvel	NN
.	.
”	''
out	IN
of	IN
the	DT
wine	NN
-	HYPH
shop	NN
into	IN
the	DT
street	NN
,	,
out	IN
of	IN
the	DT
street	NN
into	IN
a	DT
courtyard	NN
,	,
out	IN
of	IN
the	DT
courtyard	NN
up	IN
a	DT
steep	JJ
staircase	NN
,	,
out	IN
of	IN
the	DT
staircase	NN
into	IN
a	DT
garret	NN
formerly	RB
the	DT
garret	NN
where	WRB
a	DT
white	JJ
-	HYPH
haired	JJ
man	NN
sat	VBD
on	IN
a	DT
low	JJ
bench	NN
,	,
stooping	VBG
forward	RB
and	CC
very	RB
busy	JJ
,	,
making	VBG
shoes	NNS
.	.
no	DT
white	JJ
-	HYPH
haired	JJ
man	NN
was	VBD
there	RB
now	RB
;	:
but	CC
,	,
the	DT
three	CD
men	NNS
were	VBD
there	RB
who	WP
had	VBD
gone	VBN
out	IN
of	IN
the	DT
wine	NN
-	HYPH
shop	NN
singly	RB
.	.
and	CC
between	IN
them	PRP
and	CC
the	DT
white	JJ
-	HYPH
haired	JJ
man	NN
afar	RB
off	RB
,	,
was	VBD
the	DT
one	CD
small	JJ
link	NN
,	,
that	IN
they	PRP
had	VBD
once	RB
looked	VBN
in	RP
at	IN
him	PRP
through	IN
the	DT
chinks	NNS
in	IN
the	DT
wall	NN
.	.
defarge	NNP
closed	VBD
the	DT
door	NN
carefully	RB
,	,
and	CC
spoke	VBD
in	IN
a	DT
subdued	JJ
voice	NN
“	``
jacques	NNP
one	CD
,	,
jacques	NNP
two	CD
,	,
jacques	NNP
three	CD
!	.
this	DT
is	VBZ
the	DT
witness	NN
encountered	VBN
by	IN
appointment	NN
,	,
by	IN
me	PRP
,	,
jacques	NNP
four	CD
.	.
he	PRP
will	MD
tell	VB
you	PRP
all	DT
.	.
speak	VB
,	,
jacques	NNP
five	CD
!	.
”	''
the	DT
mender	NNP
of	IN
roads	NNPS
,	,
blue	JJ
cap	NN
in	IN
hand	NN
,	,
wiped	VBD
his	PRP$
swarthy	JJ
forehead	NN
with	IN
it	PRP
,	,
and	CC
said	VBD
,	,
“	``
where	WRB
shall	MD
i	PRP
commence	VB
,	,
monsieur	NN
?	.
”	''
“	``
commence	NN
,	,
”	''
was	VBD
monsieur	NNP
defarge	NNP
's	POS
not	RB
unreasonable	JJ
reply	NN
,	,
“	``
at	IN
the	DT
commencement	NN
.	.
”	''
“	``
i	PRP
saw	VBD
him	PRP
then	RB
,	,
messieurs	NNS
,	,
”	''
began	VBD
the	DT
mender	NNP
of	IN
roads	NNPS
,	,
“	``
a	DT
year	NN
ago	RB
this	DT
running	VBG
summer	NN
,	,
underneath	IN
the	DT
carriage	NN
of	IN
the	DT
marquis	NNS
,	,
hanging	VBG
by	IN
the	DT
chain	NN
.	.
behold	VB
the	DT
manner	NN
of	IN
it	PRP
.	.
i	PRP
leaving	VBG
my	PRP$
work	NN
on	IN
the	DT
road	NN
,	,
the	DT
sun	NN
going	VBG
to	IN
bed	NN
,	,
the	DT
carriage	NN
of	IN
the	DT
marquis	NN
slowly	RB
ascending	VBG
the	DT
hill	NN
,	,
he	PRP
hanging	VBG
by	IN
the	DT
chain	NN
like	IN
this	DT
.	.
”	''
