"	``
we	PRP
are	VBP
no	DT
pirates	NNS
,	,
mighty	JJ
sir	NN
,	,
but	CC
greeks	NNS
,	,
sailing	VBG
back	RB
from	IN
troy	NNP
.	.
and	CC
we	PRP
beg	VBP
hospitality	NN
of	IN
you	PRP
in	IN
the	DT
name	NN
of	IN
jupiter	NNP
who	WP
rewards	VBZ
or	CC
punishes	VBZ
the	DT
host	NN
according	VBG
as	IN
he	PRP
is	VBZ
hospitable	JJ
or	CC
not	RB
.	.
"	``
"	``
drink	VB
,	,
cyclops	NNS
,	,
now	RB
that	IN
you	PRP
have	VBP
feasted	VBN
.	.
drink	VB
and	CC
see	VB
what	WP
a	DT
strange	JJ
draught	NN
we	PRP
had	VBD
in	IN
our	PRP$
ship	NN
.	.
"	''
so	RB
the	DT
cyclops	NNS
drank	VBD
,	,
and	CC
was	VBD
greatly	RB
pleased	JJ
.	.
"	``
give	VB
me	PRP
more	JJR
,	,
"	''
he	PRP
demanded	VBD
.	.
"	``
in	IN
good	JJ
truth	NN
this	DT
is	VBZ
a	DT
strange	JJ
draught	NN
.	.
we	PRP
,	,
too	RB
,	,
have	VBP
vines	NNS
but	CC
they	PRP
do	VBP
not	RB
yield	VB
any	DT
juices	NNS
like	IN
this	DT
,	,
which	WDT
indeed	RB
must	MD
be	VB
such	JJ
as	IN
the	DT
gods	NNS
drink	VBP
.	.
"	''
then	RB
ulysses	NNP
gave	VBD
him	PRP
the	DT
skin	NN
again	RB
and	CC
he	PRP
drank	VBD
from	IN
it	PRP
.	.
three	CD
times	NNS
he	PRP
gave	VBD
it	PRP
to	IN
him	PRP
and	CC
three	CD
times	NNS
the	DT
giant	NN
drank	VBD
,	,
not	RB
knowing	VBG
how	WRB
it	PRP
would	MD
work	VB
on	IN
his	PRP$
brain	NN
.	.
at	IN
last	RB
he	PRP
fell	VBD
into	IN
a	DT
deep	JJ
slumber	NN
.	.
ulysses	NNP
told	VBD
his	PRP$
men	NNS
to	TO
be	VB
of	IN
good	JJ
courage	NN
for	IN
the	DT
time	NN
of	IN
their	PRP$
deliverance	NN
was	VBD
come	VBN
.	.
they	PRP
thrust	VBD
the	DT
olive	JJ
stick	NN
into	IN
the	DT
fire	NN
until	IN
,	,
green	JJ
as	IN
it	PRP
was	VBD
,	,
it	PRP
was	VBD
ready	JJ
to	TO
burst	VB
into	IN
flame	NN
and	CC
they	PRP
thrust	VBP
it	PRP
into	IN
the	DT
monster	NN
's	POS
eye	NN
,	,
for	IN
he	PRP
had	VBD
but	RB
one	CD
eye	NN
set	VBN
in	IN
the	DT
middle	NN
of	IN
his	PRP$
great	JJ
forehead	NN
,	,
and	CC
made	VBD
him	PRP
sightless	JJ
.	.
then	RB
the	DT
cyclops	NNS
leaped	VBD
up	RP
and	CC
bore	VBD
away	RB
the	DT
stake	NN
and	CC
cried	VBD
aloud	RB
so	IN
that	IN
all	PDT
the	DT
cyclopes	NNS
who	WP
lived	VBD
on	IN
the	DT
mountain	NN
side	NN
heard	VBD
him	PRP
and	CC
came	VBD
down	RP
,	,
crowding	VBG
about	IN
the	DT
entrance	NN
to	IN
his	PRP$
cave	NN
.	.
the	DT
cyclops	NNS
rolled	VBD
away	RB
the	DT
great	JJ
stone	NN
from	IN
the	DT
door	NN
of	IN
the	DT
cave	NN
and	CC
came	VBD
out	RP
in	IN
the	DT
midst	NN
of	IN
the	DT
other	JJ
giants	NNS
stretching	VBG
out	RP
his	PRP$
hands	NNS
to	TO
try	VB
and	CC
gather	VB
his	PRP$
sheep	NNS
together	RB
.	.
and	CC
ulysses	NNP
wondered	VBD
how	WRB
he	PRP
and	CC
his	PRP$
men	NNS
would	MD
be	VB
able	JJ
to	TO
escape	VB
.	.
they	PRP
had	VBD
gone	VBN
twice	RB
as	RB
far	RB
as	IN
before	RB
,	,
when	WRB
ulysses	NNP
'	POS
pride	NN
became	VBD
so	RB
great	JJ
that	IN
he	PRP
could	MD
no	RB
longer	RB
contain	VB
himself	PRP
.	.
he	PRP
stood	VBD
up	RP
in	IN
the	DT
boat	NN
and	CC
called	VBD
out	RP
.	.
"	``
hear	VB
,	,
cyclops	NNS
.	.
if	IN
any	DT
man	NN
asks	VBZ
who	WP
destroyed	VBD
your	PRP$
power	NN
for	IN
evil	NN
,	,
say	VB
it	PRP
was	VBD
the	DT
warrior	NN
ulysses	NNP
,	,
dwelling	VBG
in	IN
ithaca	NNP
.	.
"	''
the	DT
giant	NN
heard	VBD
and	CC
he	PRP
lifted	VBD
up	RP
his	PRP$
hands	NNS
and	CC
spoke	VBD
to	IN
neptune	NNP
,	,
the	DT
god	NN
of	IN
the	DT
sea	NN
,	,
who	WP
was	VBD
the	DT
father	NN
of	IN
the	DT
cyclopes	NNS
.	.
"	``
hear	VB
me	PRP
,	,
neptune	NNP
,	,
if	IN
i	PRP
am	VBP
indeed	RB
your	PRP$
son	NN
and	CC
you	PRP
are	VBP
my	PRP$
father	NN
.	.
may	MD
this	DT
ulysses	NNP
never	RB
reach	VB
his	PRP$
home	NN
;	:
or	CC
,	,
if	IN
the	DT
fates	NNS
have	VBP
ordered	VBN
that	IN
he	PRP
shall	MD
reach	VB
it	PRP
,	,
may	MD
he	PRP
come	VB
alone	JJ
,	,
with	IN
all	DT
his	PRP$
comrades	NNS
lost	VBN
.	.
"	''
and	CC
as	IN
the	DT
cyclops	NNS
ended	VBD
this	DT
wicked	JJ
prayer	NN
,	,
he	PRP
hurled	VBD
another	DT
mighty	JJ
rock	NN
which	WDT
almost	RB
lighted	VBD
on	IN
the	DT
rudder	NN
's	POS
end	NN
,	,
yet	CC
missed	VBD
it	PRP
as	IN
if	IN
by	IN
a	DT
hair	NN
breadth	NN
.	.
so	RB
ulysses	NNP
escaped	VBD
and	CC
all	DT
his	PRP$
comrades	NNS
with	IN
him	PRP
,	,
and	CC
they	PRP
came	VBD
to	IN
the	DT
island	NN
of	IN
the	DT
wild	JJ
goats	NNS
where	WRB
they	PRP
found	VBD
the	DT
rest	NN
of	IN
their	PRP$
men	NNS
who	WP
had	VBD
waited	VBN
long	RB
for	IN
them	PRP
in	IN
sore	JJ
fear	NN
lest	IN
they	PRP
had	VBD
perished	VBN
.	.
and	CC
they	PRP
went	VBD
home	RB
in	IN
triumph	NN
to	IN
greece	NNP
.	.
the	DT
best	JJS
american	JJ
humorous	JJ
short	JJ
stories	NNS
the	DT
little	JJ
frenchman	NNP
and	CC
his	PRP$
water	NN
lots	NNS
look	VBP
into	IN
those	DT
they	PRP
call	VBP
unfortunate	JJ
,	,
and	CC
,	,
closer	JJR
viewhad	VBN
or	CC
would	MD
,	,
you	PRP
will	MD
find	VB
they	PRP
are	VBP
unwise	JJ
.	.
young	JJ
.	.
let	VB
wealth	NN
come	VB
in	RP
by	IN
comely	JJ
thrift	NN
,	,
and	CC
not	RB
by	IN
any	DT
foolish	JJ
shift	NN
‘	``
tis	XX
haste	NN
makes	VBZ
waste	NN
who	WP
gripes	VBZ
too	RB
hard	RB
the	DT
dry	JJ
and	CC
slippery	JJ
sand	NN
holds	VBZ
none	NN
at	RB
all	RB
,	,
or	CC
little	JJ
,	,
in	IN
his	PRP$
hand	NN
.	.
herrick	NNP
.	.
let	VB
well	RB
alone	RB
.	.
proverb	NN
.	.
there	EX
was	VBD
the	DT
auctioneer	NN
,	,
with	IN
his	PRP$
beautiful	JJ
and	CC
inviting	JJ
lithographic	JJ
maps	NNS
all	PDT
the	DT
lots	NNS
as	RB
smooth	JJ
and	CC
square	JJ
and	CC
enticingly	RB
laid	VBN
out	RP
as	IN
possible	JJ
and	CC
there	EX
were	VBD
the	DT
speculators	NNS
and	CC
there	RB
,	,
in	IN
the	DT
midst	NN
of	IN
them	PRP
,	,
stood	VBD
monsieur	NNP
poopoo	NNP
.	.
"	``
here	RB
they	PRP
are	VBP
,	,
gentlemen	NNS
,	,
"	''
said	VBD
he	PRP
of	IN
the	DT
hammer	NN
,	,
"	``
the	DT
most	RBS
valuable	JJ
lots	NNS
ever	RB
offered	VBN
for	IN
sale	NN
.	.
give	VB
me	PRP
a	DT
bid	NN
for	IN
them	PRP
!	.
"	''
"	``
one	CD
hundred	CD
each	DT
,	,
"	''
said	VBD
a	DT
bystander	NN
.	.
"	``
one	CD
hundred	CD
!	.
"	''
said	VBD
the	DT
auctioneer	NN
,	,
"	``
scarcely	RB
enough	JJ
to	TO
pay	VB
for	IN
the	DT
maps	NNS
.	.
one	CD
hundred	CD
going	VBG
and	CC
fifty	CD
gone	VBN
!	.
mr	NNP
.	NNP
h.	NNP
,	,
they	PRP
are	VBP
yours	PRP$
.	.
a	DT
noble	JJ
purchase	NN
.	.
youwill	PRP
sell	VB
those	DT
same	JJ
lots	NNS
in	IN
less	JJR
than	IN
a	DT
fortnight	NN
for	IN
fifty	CD
thousand	CD
dollars	NNS
profit	NN
!	.
"	''
monsieur	NNP
poopoo	NNP
pricked	VBD
up	RP
his	PRP$
ears	NNS
at	IN
this	DT
,	,
and	CC
was	VBD
lost	VBN
in	IN
astonishment	NN
.	.
this	DT
was	VBD
a	DT
much	RB
easier	JJR
way	NN
certainly	RB
of	IN
accumulating	VBG
riches	NNS
than	IN
selling	VBG
toys	NNS
in	IN
chatham	NNP
street	NNP
,	,
and	CC
he	PRP
determined	VBD
to	TO
buy	VB
and	CC
mend	VB
his	PRP$
fortune	NN
without	IN
delay	NN
.	.
the	DT
auctioneer	NN
proceeded	VBD
in	IN
his	PRP$
sale	NN
.	.
other	JJ
parcels	NNS
were	VBD
offered	VBN
and	CC
disposed	VBN
of	IN
,	,
and	CC
all	PDT
the	DT
purchasers	NNS
were	VBD
promised	VBN
immense	JJ
advantages	NNS
for	IN
their	PRP$
enterprise	NN
.	.
at	IN
last	RB
came	VBD
a	DT
more	RBR
valuable	JJ
parcel	NN
than	IN
all	PDT
the	DT
rest	NN
.	.
the	DT
company	NN
pressed	VBD
around	IN
the	DT
stand	NN
,	,
and	CC
monsieur	NNP
poopoo	NNP
did	VBD
the	DT
same	JJ
.	.
"	``
i	PRP
now	RB
offer	VBP
you	PRP
,	,
gentlemen	NNS
,	,
these	DT
magnificent	JJ
lots	NNS
,	,
delightfully	RB
situated	VBN
on	IN
long	NNP
island	NNP
,	,
with	IN
valuable	JJ
water	NN
privileges	NNS
.	.
property	NN
in	IN
fee	NN
title	NN
indisputable	JJ
terms	NNS
of	IN
sale	NN
,	,
cash	NN
deeds	NNS
ready	JJ
for	IN
delivery	NN
immediately	RB
after	IN
the	DT
sale	NN
.	.
how	WRB
much	JJ
for	IN
them	PRP
?	.
give	VB
them	PRP
a	DT
start	NN
at	IN
something	NN
.	.
how	WRB
much	JJ
?	.
"	''
the	DT
auctioneer	NN
looked	VBD
around	RB
;	:
there	EX
were	VBD
no	DT
bidders	NNS
.	.
at	IN
last	RB
he	PRP
caught	VBD
the	DT
eye	NN
of	IN
monsieur	NNP
poopoo	NNP
.	.
"	``
did	VBD
you	PRP
say	VB
one	CD
hundred	CD
,	,
sir	NN
?	.
beautiful	JJ
lots	NNS
valuable	JJ
water	NN
privileges	NNS
shall	MD
i	PRP
say	VB
one	CD
hundred	CD
for	IN
you	PRP
?	.
"	''
"	``
oui	NNP
,	,
monsieur	FW
;	:
i	PRP
will	MD
give	VB
you	PRP
von	$
hundred	CD
dollar	NN
apiece	RB
,	,
for	IN
de	FW
lot	FW
vid	FW
de	FW
valuarble	FW
vatare	FW
privalege	FW
;	:
c'est	FW
ça	FW
.	.
"	''
"	``
only	RB
one	CD
hundred	CD
apiece	RB
for	IN
these	DT
sixty	CD
valuable	JJ
lots	NNS
only	RB
one	CD
hundred	CD
going	VBG
going	VBG
going	VBG
gone	VBN
!	.
"	''
monsieur	NNP
poopoo	NNP
was	VBD
the	DT
fortunate	JJ
possessor	NN
.	.
the	DT
auctioneer	NN
congratulated	VBD
him	PRP
the	DT
sale	NN
closed	VBN
and	CC
the	DT
company	NN
dispersed	VBD
.	.
"	``
pardonnez	NNP
-	HYPH
moi	NNP
,	,
monsieur	NNP
,	,
"	''
said	VBD
poopoo	NNP
,	,
as	IN
the	DT
auctioneer	NN
descended	VBD
his	PRP$
pedestal	NN
,	,
"	``
you	PRP
shall	MD
excusez	NNP
-	HYPH
moi	NNP
,	,
if	IN
i	PRP
shall	MD
go	VB
to	IN
votre	NNP
bureau	NNP
,	,
your	PRP$
counting	NN
-	HYPH
house	NN
,	,
ver	XX
quick	JJ
to	TO
make	VB
every	DT
ting	NNP
sure	JJ
wid	IN
respec	FW
to	IN
de	FW
lot	NN
vid	FW
de	FW
valuarble	FW
vatare	FW
privalege	FW
.	.
von	NNP
leetle	NNP
bird	NNP
in	IN
de	DT
hand	NN
he	PRP
vorth	XX
two	CD
in	IN
de	FW
tree	NNP
,	,
c'est	FW
vrai	FW
eh	UH
?	.
"	''
"	``
certainly	RB
,	,
sir	NN
.	.
"	''
"	``
vell	FW
den	FW
,	,
allons	FW
.	.
"	''
and	CC
the	DT
gentlemen	NNS
repaired	VBD
to	IN
the	DT
counting	NN
-	HYPH
house	NN
,	,
where	WRB
the	DT
six	CD
thousand	CD
dollars	NNS
were	VBD
paid	VBN
,	,
and	CC
the	DT
deeds	NNS
of	IN
the	DT
property	NN
delivered	VBN
.	.
monsieur	NNP
poopoo	NNP
put	VBD
these	DT
carefully	RB
in	IN
his	PRP$
pocket	NN
,	,
and	CC
as	IN
he	PRP
was	VBD
about	IN
taking	VBG
his	PRP$
leave	NN
,	,
the	DT
auctioneer	NN
made	VBD
him	PRP
a	DT
present	NN
of	IN
the	DT
lithographic	JJ
outline	NN
of	IN
the	DT
lots	NNS
,	,
which	WDT
was	VBD
a	DT
very	RB
liberal	JJ
thing	NN
on	IN
his	PRP$
part	NN
,	,
considering	VBG
the	DT
map	NN
was	VBD
a	DT
beautiful	JJ
specimen	NN
of	IN
that	DT
glorious	JJ
art	NN
.	.
poopoo	NNP
could	MD
not	RB
admire	VB
it	PRP
sufficiently	RB
.	.
there	EX
were	VBD
his	PRP$
sixty	CD
lots	NNS
,	,
as	RB
uniform	JJ
as	IN
possible	JJ
,	,
and	CC
his	PRP$
little	JJ
gray	JJ
eyes	NNS
sparkled	VBD
like	IN
diamonds	NNS
as	IN
they	PRP
wandered	VBD
from	IN
one	CD
end	NN
of	IN
the	DT
spacious	JJ
sheet	NN
to	IN
the	DT
other	JJ
.	.
poopoo	NNP
's	POS
heart	NN
was	VBD
as	RB
light	JJ
as	IN
a	DT
feather	NN
,	,
and	CC
he	PRP
snapped	VBD
his	PRP$
fingers	NNS
in	IN
the	DT
very	JJ
wantonness	NN
of	IN
joy	NN
as	IN
he	PRP
repaired	VBD
to	IN
delmonico	NNP
's	POS
,	,
and	CC
ordered	VBD
the	DT
first	JJ
good	JJ
french	JJ
dinner	NN
that	WDT
had	VBD
gladdened	VBN
his	PRP$
palate	NN
since	IN
his	PRP$
arrival	NN
in	IN
america	NNP
.	.
after	IN
having	VBG
discussed	VBN
his	PRP$
repast	NN
,	,
and	CC
washed	VBN
it	PRP
down	RP
with	IN
a	DT
bottle	NN
of	IN
choice	NN
old	JJ
claret	NN
,	,
he	PRP
resolved	VBD
upon	IN
a	DT
visit	NN
to	IN
long	NNP
island	NNP
to	TO
view	VB
his	PRP$
purchase	NN
.	.
he	PRP
consequently	RB
immediately	RB
hired	VBD
a	DT
horse	NN
and	CC
gig	NN
,	,
crossed	VBD
the	DT
brooklyn	NNP
ferry	NN
,	,
and	CC
drove	VBD
along	IN
the	DT
margin	NN
of	IN
the	DT
river	NN
to	IN
the	DT
wallabout	NN
,	,
the	DT
location	NN
in	IN
question	NN
.	.
our	PRP$
friend	NN
,	,
however	RB
,	,
was	VBD
not	RB
a	DT
little	JJ
perplexed	JJ
to	TO
find	VB
his	PRP$
property	NN
.	.
everything	NN
on	IN
the	DT
map	NN
was	VBD
as	RB
fair	JJ
and	CC
even	JJ
as	IN
possible	JJ
,	,
while	IN
all	PDT
the	DT
grounds	NNS
about	IN
him	PRP
were	VBD
as	RB
undulated	JJ
as	IN
they	PRP
could	MD
well	RB
be	VB
imagined	VBN
,	,
and	CC
there	EX
was	VBD
an	DT
elbow	NN
of	IN
the	DT
east	NNP
river	NN
thrusting	VBG
itself	PRP
quite	RB
into	IN
the	DT
ribs	NNS
of	IN
the	DT
land	NN
,	,
which	WDT
seemed	VBD
to	TO
have	VB
no	DT
business	NN
there	RB
.	.
this	DT
puzzled	VBD
the	DT
frenchman	NN
exceedingly	RB
;	:
and	CC
,	,
being	VBG
a	DT
stranger	NN
in	IN
those	DT
parts	NNS
,	,
he	PRP
called	VBD
to	IN
a	DT
farmer	NN
in	IN
an	DT
adjacent	JJ
field	NN
.	.
"	``
mon	FW
ami	FW
,	,
are	VBP
you	PRP
acquaint	VB
vid	FW
dis	DT
part	NN
of	IN
de	FW
country	NN
eh	UH
?	.
"	''
"	``
yes	UH
,	,
i	PRP
was	VBD
born	VBN
here	RB
,	,
and	CC
know	VBP
every	DT
inch	NN
of	IN
it	PRP
.	.
"	``
"	``
ah	UH
,	,
c'est	FW
bien	FW
,	,
dat	IN
vill	MD
do	VB
,	,
"	''
and	CC
the	DT
frenchman	NN
got	VBD
out	IN
of	IN
the	DT
gig	NN
,	,
tied	VBD
the	DT
horse	NN
,	,
and	CC
produced	VBD
his	PRP$
lithographic	JJ
map	NN
.	.
"	``
den	XX
maybe	RB
you	PRP
vill	MD
have	VB
de	DT
kindness	NN
to	TO
show	VB
me	PRP
de	DT
sixty	CD
lot	NN
vich	FW
i	PRP
have	VBP
bought	VBN
,	,
vid	FW
de	FW
valuarble	FW
vatare	FW
privalege	FW
?	.
"	''
the	DT
farmer	NN
glanced	VBD
his	PRP$
eye	NN
over	IN
the	DT
paper	NN
.	.
"	``
yes	UH
,	,
sir	NN
,	,
with	IN
pleasure	NN
;	:
if	IN
you	PRP
will	MD
be	VB
good	JJ
enough	RB
to	TO
get	VB
into	IN
my	PRP$
boat	NN
,	,
i	PRP
will	MD
row	VB
you	PRP
out	RP
to	IN
them	PRP
!	.
"	''
"	``
vat	IN
dat	XX
you	PRP
say	VBP
,	,
sure	JJ
?	.
"	''
"	``
my	PRP$
friend	NN
,	,
"	''
said	VBD
the	DT
farmer	NN
,	,
"	``
this	DT
section	NN
of	IN
long	NNP
island	NNP
has	VBZ
recently	RB
been	VBN
bought	VBN
up	RP
by	IN
the	DT
speculators	NNS
of	IN
new	NNP
york	NNP
,	,
and	CC
laid	VBN
out	RP
for	IN
a	DT
great	JJ
city	NN
;	:
but	CC
the	DT
principal	JJ
street	NN
is	VBZ
only	RB
visible	JJ
at	IN
low	JJ
tide	NN
.	.
when	WRB
this	DT
part	NN
of	IN
the	DT
east	JJ
river	NN
is	VBZ
filled	VBN
up	RP
,	,
it	PRP
will	MD
be	VB
just	RB
there	RB
.	.
your	PRP$
lots	NNS
,	,
as	IN
you	PRP
will	MD
perceive	VB
,	,
are	VBP
beyond	IN
it	PRP
;	:
and	CC
are	VBP
now	RB
all	DT
under	IN
water	NN
.	.
"	``
it	PRP
was	VBD
near	IN
night	NN
when	WRB
he	PRP
arrived	VBD
at	IN
the	DT
auction	NN
-	HYPH
room	NN
his	PRP$
horse	NN
in	IN
a	DT
foam	NN
and	CC
himself	PRP
in	IN
a	DT
fury	NN
.	.
the	DT
auctioneer	NN
was	VBD
leaning	VBG
back	RB
in	IN
his	PRP$
chair	NN
,	,
with	IN
his	PRP$
legs	NNS
stuck	VBN
out	IN
of	IN
a	DT
low	JJ
window	NN
,	,
quietly	RB
smoking	VBG
a	DT
cigar	NN
after	IN
the	DT
labors	NNS
of	IN
the	DT
day	NN
,	,
and	CC
humming	VBG
the	DT
music	NN
from	IN
the	DT
last	JJ
new	JJ
opera	NN
.	.
"	``
monsieur	FW
,	,
i	PRP
have	VBP
much	JJ
plaisir	NN
to	TO
fin	VB
'	VBP
you	PRP
,	,
chez	FW
vous	FW
,	,
at	IN
home	NN
.	.
"	``
"	``
ah	UH
,	,
poopoo	UH
!	.
glad	JJ
to	TO
see	VB
you	PRP
.	.
take	VB
a	DT
seat	NN
,	,
old	JJ
boy	NN
.	.
"	``
"	``
but	CC
i	PRP
shall	MD
not	RB
take	VB
de	FW
seat	NN
,	,
sare	NNP
.	.
"	''
"	``
no	UH
why	WRB
,	,
what	WP
's	VBZ
the	DT
matter	NN
?	.
"	''
"	``
oh	UH
,	,
beaucoup	FW
de	FW
matter	NN
.	.
i	PRP
have	VBP
been	VBN
to	TO
see	VB
de	NNP
gran	NNP
lot	NNP
vot	NNP
you	PRP
sell	VBP
me	PRP
to	IN
-	HYPH
day	NN
.	.
"	``
"	``
well	UH
,	,
sir	NN
,	,
i	PRP
hope	VBP
you	PRP
like	VBP
your	PRP$
purchase	NN
?	.
"	''
"	``
no	UH
,	,
monsieur	FW
,	,
i	PRP
no	RB
like	VBP
him	PRP
.	.
"	``
"	``
iam	VBP
sorry	JJ
for	IN
it	PRP
;	:
but	CC
there	EX
is	VBZ
no	DT
ground	NN
for	IN
your	PRP$
complaint	NN
.	.
"	''
"	``
no	UH
,	,
sare	NNP
;	:
dare	VBP
is	VBZ
no	DT
ground	NN
at	RB
all	RB
de	XX
ground	NN
is	VBZ
all	DT
vatare	FW
!	.
"	''
"	``
you	PRP
joke	VBP
!	.
"	''
"	``
i	PRP
no	DT
joke	VBP
.	.
i	PRP
nevare	VBP
joke	VBP
;	:
je	FW
n'entends	FW
pas	FW
la	FW
raillerie	NNP
,	,
sare	NNP
,	,
voulez	FW
-	HYPH
vous	FW
have	VBP
de	FW
kindness	NN
to	TO
give	VB
me	PRP
back	RP
de	FW
money	NN
vot	FW
i	PRP
pay	VBP
!	.
"	''
"	``
certainly	RB
not	RB
.	.
"	``
"	``
den	MD
vill	MD
you	PRP
be	VB
so	RB
good	JJ
as	IN
to	TO
take	VB
de	NNP
east	NNP
river	NNP
off	IN
de	FW
top	NN
of	IN
my	PRP$
lot	NN
?	.
"	''
"	``
that	DT
's	VBZ
your	PRP$
business	NN
,	,
sir	NN
,	,
not	RB
mine	PRP
.	.
"	``
"	``
den	MD
i	PRP
make	VB
von	NNP
mauvaise	NNP
affaire	FW
von	NNP
gran	NNP
mistake	NN
!	.
"	''
"	``
i	PRP
hope	VBP
not	RB
.	.
i	PRP
do	VBP
n't	RB
think	VB
you	PRP
have	VBP
thrown	VBN
your	PRP$
money	NN
away	RP
in	IN
the	DT
land	NN
.	.
"	``
"	``
no	UH
,	,
sare	NNP
;	:
but	CC
i	PRP
tro	VBP
it	PRP
avay	FW
in	IN
de	NNP
vatare	NNP
!	.
"	''
"	``
that	DT
's	VBZ
not	RB
my	PRP$
fault	NN
.	.
"	''
"	``
yes	UH
,	,
sare	NNP
,	,
but	CC
it	PRP
is	VBZ
your	PRP$
fault	NN
.	.
youare	VBP
von	NNP
ver	NNP
gran	NNP
rascal	NN
to	TO
swindle	VB
me	PRP
out	IN
of	IN
de	NNP
l'argent	NNP
.	.
"	``
"	``
hello	UH
,	,
old	NNP
poopoo	NNP
,	,
you	PRP
grow	VBP
personal	JJ
;	:
and	CC
if	IN
you	PRP
ca	MD
n't	RB
keep	VB
a	DT
civil	JJ
tongue	NN
in	IN
your	PRP$
head	NN
,	,
you	PRP
must	MD
go	VB
out	IN
of	IN
my	PRP$
counting	NN
-	HYPH
room	NN
.	.
"	``
"	``
vare	XX
shall	MD
i	PRP
go	VB
to	IN
,	,
eh	UH
?	.
"	''
"	``
to	IN
the	DT
devil	NNP
,	,
for	IN
aught	NN
i	PRP
care	VBP
,	,
you	PRP
foolish	JJ
old	JJ
frenchman	NNP
!	.
"	''
said	VBD
